trial,seed,H,fc,method,initial_quantity_price,initial_price_hex,first_feasible_evaluation,first_feasible_price,final_valid,final_price,final_price_hex,best_evaluation,evaluations
1,142345,3,240,BA,29924.3644800000,02ECA3531739DD40,45,11467.0541500000,True,3076.9201542857,D668761ED709A840,750,5000
2,142346,3,240,BA,29924.3644800000,02ECA3531739DD40,65,7060.4364800000,True,3076.9201542857,D668761ED709A840,179,5000
3,142347,3,240,BA,29924.3644800000,02ECA3531739DD40,36,8626.2710400000,True,3076.9201542857,D668761ED709A840,205,5000
4,142348,3,240,BA,29924.3644800000,02ECA3531739DD40,19,10402.7530920000,True,3076.9201542857,D668761ED709A840,426,5000
5,142349,3,240,BA,29924.3644800000,02ECA3531739DD40,143,13539.0404400000,True,3076.9201542857,D668761ED709A840,445,5000
6,142350,3,240,BA,29924.3644800000,02ECA3531739DD40,20,8208.7108740000,True,3076.9201542857,D668761ED709A840,395,5000
7,142351,3,240,BA,29924.3644800000,02ECA3531739DD40,128,11449.2311600000,True,3076.9201542857,D668761ED709A840,262,5000
8,142352,3,240,BA,29924.3644800000,02ECA3531739DD40,82,10659.0066100000,True,3076.9201542857,D668761ED709A840,337,5000
9,142353,3,240,BA,29924.3644800000,02ECA3531739DD40,28,7975.6107100000,True,3076.9201542857,D668761ED709A840,275,5000
10,142354,3,240,BA,29924.3644800000,02ECA3531739DD40,148,11859.3021540000,True,3076.9201542857,D668761ED709A840,314,5000
11,142355,3,240,BA,29924.3644800000,02ECA3531739DD40,40,7093.3042457143,True,3076.9201542857,D668761ED709A840,142,5000
12,142356,3,240,BA,29924.3644800000,02ECA3531739DD40,77,10573.9263428571,True,3076.9201542857,D668761ED709A840,333,5000
13,142357,3,240,BA,29924.3644800000,02ECA3531739DD40,23,11387.0295700000,True,3076.9201542857,D668761ED709A840,473,5000
14,142358,3,240,BA,29924.3644800000,02ECA3531739DD40,20,7865.8720000000,True,3076.9201542857,D668761ED709A840,426,5000
15,142359,3,240,BA,29924.3644800000,02ECA3531739DD40,34,13760.2105757143,True,3076.9201542857,D668761ED709A840,182,5000
16,142360,3,240,BA,29924.3644800000,02ECA3531739DD40,36,10120.5399840000,True,3076.9201542857,D668761ED709A840,585,5000
17,142361,3,240,BA,29924.3644800000,02ECA3531739DD40,33,13474.9283760000,True,3076.9201542857,D668761ED709A840,277,5000
18,142362,3,240,BA,29924.3644800000,02ECA3531739DD40,83,9249.4878300000,True,3076.9201542857,D668761ED709A840,221,5000
19,142363,3,240,BA,29924.3644800000,02ECA3531739DD40,252,10851.2653380000,True,3076.9201542857,D668761ED709A840,526,5000
20,142364,3,240,BA,29924.3644800000,02ECA3531739DD40,26,8858.7305348571,True,3076.9201542857,D668761ED709A840,485,5000
21,142365,3,240,BA,29924.3644800000,02ECA3531739DD40,80,13615.0132200000,True,3076.9201542857,D668761ED709A840,702,5000
22,142366,3,240,BA,29924.3644800000,02ECA3531739DD40,36,10442.1370560000,True,3076.9201542857,D668761ED709A840,232,5000
23,142367,3,240,BA,29924.3644800000,02ECA3531739DD40,48,13034.3388800000,True,3076.9201542857,D668761ED709A840,270,5000
24,142368,3,240,BA,29924.3644800000,02ECA3531739DD40,20,8832.9225800000,True,3076.9201542857,D668761ED709A840,249,5000
25,142369,3,240,BA,29924.3644800000,02ECA3531739DD40,179,11485.7596500000,True,3076.9201542857,D668761ED709A840,607,5000
26,142370,3,240,BA,29924.3644800000,02ECA3531739DD40,117,9741.2061600000,True,3076.9201542857,D668761ED709A840,213,5000
27,142371,3,240,BA,29924.3644800000,02ECA3531739DD40,9,8838.1502000000,True,3076.9201542857,D668761ED709A840,489,5000
28,142372,3,240,BA,29924.3644800000,02ECA3531739DD40,15,7298.8025000000,True,3076.9201542857,D668761ED709A840,129,5000
