No.,Rejected,Passed,Passed and Better value
0,33912.91,,
1,,,16813.80
2,14352.12,,
3,,,16592.95
4,11021.80,,
5,,,14995.98
6,12464.93,,
7,,,13755.45
8,,,10849.57
9,9804.30,,
10,,,10624.11
11,11202.10,,
12,,,8777.69
13,10239.09,,
14,7839.15,,
15,,,8280.61
16,9045.33,,
17,9240.10,,
18,,,8194.92
19,,8308.72,
20,,8316.59,
21,,,7915.79
22,,,6554.37
23,5735.76,,
24,,6981.12,
25,,,6019.63
26,5430.56,,
27,,6109.09,
28,,,6001.73
29,,6087.42,
30,,6061.41,
31,,,5946.65
32,,,5854.84
33,,,5793.63
34,5463.17,,
35,,5987.62,
36,,,5584.07
37,4923.08,,
38,,5639.04,
39,,,5518.80
40,,,5475.08
41,,6293.68,
42,5582.83,,
43,,5958.19,
44,,5622.63,
45,,5571.40,
46,,5499.67,
47,5407.31,,
48,,5689.79,
49,5401.46,,
50,,5843.16,
51,,5532.34,
52,,,5444.16
53,5134.97,,
54,,,5411.37
55,5950.43,,
56,,6212.84,
57,,,5328.74
58,4834.65,,
59,6240.72,,
60,,5543.46,
61,5255.12,,
62,,5696.83,
63,,5386.00,
64,5136.28,,
65,4816.24,,
66,6116.45,,
67,,5424.93,
68,5051.45,,
69,6293.80,,
70,5101.58,,
71,,5811.85,
72,,5426.72,
73,,5886.08,
74,5019.55,,
75,,5388.29,
76,,5362.11,
77,,5342.48,
78,,,5315.00
79,,5397.63,
80,5204.01,,
81,,6133.60,
82,5250.73,,
83,,5529.71,
84,5241.38,,
85,,5683.08,
86,,5372.26,
87,6531.96,,
88,,5335.98,
89,5278.28,,
90,,5363.96,
91,,,5300.31
92,5252.21,,
93,4991.12,,
94,5309.79,,
95,,6499.45,
96,,5912.73,
97,,5908.42,
98,5846.99,,
99,,5938.20,
100,,5870.44,
101,5463.85,,
102,,5953.37,
103,5365.70,,
104,,6713.97,
105,5467.61,,
106,4967.16,,
107,5280.58,,
108,,5515.03,
109,5226.69,,
110,,5668.39,
111,,5357.57,
112,,5363.96,
113,,5335.98,
114,,5315.00,
115,,,5285.62
116,5237.52,,
117,5311.47,,
118,5319.05,,
119,6576.30,,
120,5500.32,,
121,5769.18,,
122,4803.01,,
123,4750.54,,
124,5845.47,,
125,,6104.22,
126,5910.63,,
127,6091.69,,
128,4976.43,,
129,5339.74,,
130,,5351.72,
131,,5390.40,
132,5959.49,,
133,7139.26,,
134,5539.72,,
135,6284.45,,
136,6433.72,,
137,5791.24,,
138,5927.57,,
139,5272.14,,
140,,6262.40,
141,,5908.04,
142,5480.60,,
143,5298.88,,
144,,5347.46,
145,6213.38,,
146,,6185.58,
147,5252.98,,
148,6228.09,,
149,5157.71,,
150,4805.32,,
151,5716.02,,
152,4853.00,,
153,4867.45,,
154,,5768.73,
155,4641.39,,
156,5107.15,,
157,5745.10,,
158,5234.21,,
159,5978.27,,
160,6178.00,,
161,5113.85,,
162,5507.92,,
163,6111.81,,
164,5286.51,,
165,,,5168.88
166,5069.38,,
167,5877.88,,
168,,5234.99,
169,5120.79,,
170,,5198.26,
171,5145.80,,
172,,5219.25,
173,5161.54,,
174,4859.69,,
175,5257.27,,
176,5361.87,,
177,6090.97,,
178,5887.60,,
179,5350.62,,
180,4717.11,,
181,5136.25,,
182,4997.11,,
183,4931.82,,
184,,5230.72,
185,5394.77,,
186,4418.51,,
187,5418.44,,
188,5334.51,,
189,5490.62,,
190,6199.02,,
191,,5273.67,
192,,6337.24,
193,5686.38,,
194,4993.65,,
195,5117.47,,
196,5545.35,,
197,,5383.60,
198,5095.27,,
199,,5536.97,
200,,5226.14,
201,4799.76,,
202,,5652.00,
203,5995.07,,
204,4771.22,,
205,5019.24,,
206,,5987.49,
207,6609.06,,
208,,6663.23,
209,,5617.07,
210,5987.54,,
211,,5196.37,
212,5147.29,,
213,,5216.00,
214,,,5162.01
215,4719.29,,
216,5055.84,,
217,4701.81,,
218,,5645.12,
219,5528.84,,
220,4684.56,,
221,,5242.17,
222,4750.85,,
223,5301.73,,
224,,6578.17,
225,5110.60,,
226,,5182.63,
227,6889.05,,
228,4791.13,,
229,5419.24,,
230,4990.24,,
231,5988.70,,
232,,5410.85,
233,,6456.12,
234,,5191.39,
235,5138.93,,
236,,5212.38,
237,5154.67,,
238,6888.67,,
239,4936.13,,
240,,5980.62,
241,,5743.35,
242,5433.25,,
243,4584.85,,
244,,5278.82,
245,4852.82,,
246,5622.32,,
247,5919.27,,
248,5829.94,,
249,,5242.67,
250,6283.69,,
251,5710.48,,
252,6128.22,,
253,,5228.12,
254,6072.12,,
255,,5274.02,
256,5127.13,,
257,7000.03,,
258,5603.57,,
259,7207.49,,
260,,5376.73,
261,5088.40,,
262,,5530.10,
263,,5219.27,
264,4826.97,,
265,4743.67,,
266,6207.45,,
267,,5829.45,
268,5828.72,,
269,6244.12,,
270,5147.96,,
271,4710.24,,
272,6733.21,,
273,5147.74,,
274,5193.35,,
275,6221.31,,
276,,6097.85,
277,4710.44,,
278,4715.42,,
279,5086.29,,
280,5539.02,,
281,4740.77,,
282,5650.04,,
283,,5331.65,
284,5217.08,,
285,5721.97,,
286,5495.36,,
287,5593.71,,
288,,5725.29,
289,,5711.23,
290,5630.40,,
291,5597.27,,
292,,5986.52,
293,6443.76,,
294,4732.24,,
295,5988.20,,
296,4672.29,,
297,4675.92,,
298,5442.97,,
299,5305.55,,
300,5614.74,,
301,5575.76,,
302,5158.05,,
303,4821.14,,
304,5204.55,,
305,,5285.37,
306,4818.47,,
307,,5749.48,
308,,5248.65,
309,5196.19,,
310,,5269.64,
311,5211.93,,
312,4971.69,,
313,5548.26,,
314,4924.95,,
315,,6550.08,
316,,5247.07,
317,5855.14,,
318,5036.35,,
319,6324.19,,
320,5878.59,,
321,,6114.54,
322,,6666.81,
323,5008.02,,
324,5106.98,,
325,5695.51,,
326,6289.01,,
327,,5479.87,
328,5029.82,,
329,5166.08,,
330,5633.65,,
331,,5417.85,
332,4969.56,,
333,5419.24,,
334,6105.43,,
335,4764.35,,
336,5559.57,,
337,5966.34,,
338,,5719.97,
339,5779.17,,
340,5213.39,,
341,6100.45,,
342,5674.24,,
343,5758.82,,
344,,5308.28,
345,5123.46,,
346,5285.45,,
347,5754.73,,
348,4626.93,,
349,4684.38,,
350,4881.09,,
351,5091.91,,
352,6402.60,,
353,6003.07,,
354,4742.09,,
355,4943.71,,
356,5733.24,,
357,4806.47,,
358,5395.48,,
359,6179.51,,
360,4921.98,,
361,5173.15,,
362,5507.29,,
363,5313.13,,
364,5542.91,,
365,5640.83,,
366,5228.96,,
367,4663.66,,
368,5837.04,,
369,5712.11,,
370,5095.88,,
371,5492.66,,
372,5716.04,,
373,5781.57,,
374,5648.11,,
375,6440.92,,
376,,6357.25,
377,5657.69,,
378,5122.68,,
379,5164.59,,
380,6565.91,,
381,5150.84,,
382,5733.47,,
383,6294.48,,
384,4759.48,,
385,5401.13,,
386,4997.82,,
387,5569.52,,
388,5255.55,,
389,5954.61,,
390,5698.95,,
391,6058.68,,
392,5473.23,,
393,5622.86,,
394,6375.73,,
395,5274.24,,
396,,5699.11,
397,,5679.48,
398,,5652.00,
399,,5791.39,
400,,5665.74,
401,,5674.50,
402,5622.04,,
403,,5695.49,
404,5637.78,,
405,5146.77,,
406,,6278.96,
407,,5224.90,
408,5734.66,,
409,5803.41,,
410,5739.16,,
411,6307.80,,
412,5637.04,,
413,5158.42,,
414,4444.47,,
415,4818.67,,
416,5196.39,,
417,4703.94,,
418,,5433.97,
419,5848.62,,
420,6140.12,,
421,4933.88,,
422,4575.76,,
423,5388.85,,
424,4731.55,,
425,5547.36,,
426,,5274.02,
427,5853.96,,
428,4634.52,,
429,5956.39,,
430,4965.57,,
431,5207.47,,
432,,6065.15,
433,5786.07,,
434,4771.57,,
435,5141.34,,
436,5833.55,,
437,5535.97,,
438,4644.31,,
439,4742.09,,
440,4401.05,,
441,5831.50,,
442,,6433.34,
443,4852.82,,
444,5493.46,,
445,5761.86,,
446,6817.79,,
447,5169.01,,
448,5144.45,,
449,5598.73,,
450,5871.96,,
451,5552.46,,
452,5586.04,,
453,5883.48,,
454,5872.91,,
455,6373.70,,
456,5559.70,,
457,4995.94,,
458,,5367.86,
459,4793.54,,
460,5064.41,,
461,5151.45,,
462,5247.51,,
463,5355.91,,
464,5748.40,,
465,,5829.55,
466,6641.94,,
467,5636.51,,
468,5652.71,,
469,5131.21,,
470,4870.02,,
471,4779.23,,
472,5610.20,,
473,5848.21,,
474,4840.53,,
475,5689.17,,
476,5192.68,,
477,,5289.42,
478,6502.93,,
479,4957.79,,
480,5997.41,,
481,5223.71,,
482,4860.40,,
483,4722.52,,
484,4538.46,,
485,5485.31,,
486,6105.50,,
487,6045.70,,
488,5267.58,,
489,5546.41,,
490,5661.95,,
491,5877.37,,
492,,5761.93,
493,5690.40,,
494,7154.46,,
495,5332.97,,
496,6782.02,,
497,5303.23,,
498,5663.92,,
499,5198.46,,
500,5316.45,,
501,5062.94,,
502,5343.32,,
503,5675.84,,
504,6940.01,,
505,,5212.01,
506,,5386.58,
507,5179.10,,
508,4655.20,,
509,,5344.92,
510,4998.20,,
511,4800.71,,
512,,5368.81,
513,5732.53,,
514,5687.27,,
515,,6331.32,
516,5044.98,,
517,,6214.58,
518,6602.71,,
519,4949.22,,
520,6985.58,,
521,5422.28,,
522,5846.43,,
523,4744.32,,
524,,6854.96,
525,4866.36,,
526,4544.43,,
527,,5239.88,
528,,5402.50,
529,5076.13,,
530,,5677.33,
531,5076.13,,
532,,5331.28,
533,5375.95,,
534,5274.27,,
535,5078.32,,
536,6318.96,,
537,5723.58,,
538,5706.23,,
539,4784.91,,
540,6528.81,,
541,5685.72,,
542,5769.90,,
543,5181.11,,
544,,5866.28,
545,7315.46,,
546,5792.90,,
547,5610.24,,
548,5534.75,,
549,5202.40,,
550,5904.30,,
551,6567.60,,
552,5426.82,,
553,5288.59,,
554,5079.66,,
555,6333.01,,
556,,5213.90,
557,,5216.00,
558,,5196.37,
559,,5168.88,
560,,5471.08,
561,5612.10,,
562,5112.62,,
563,5565.63,,
564,5601.71,,
565,5445.29,,
566,5828.52,,
567,5639.20,,
568,5645.58,,
569,4862.01,,
570,,5245.38,
571,5474.38,,
572,6067.33,,
573,5522.30,,
574,6211.87,,
575,5775.10,,
576,6134.16,,
577,5871.47,,
578,,6131.67,
579,6041.51,,
580,,6181.92,
581,5258.92,,
582,4862.03,,
583,4723.61,,
584,5870.60,,
585,6752.17,,
586,6610.61,,
587,5146.67,,
588,5041.69,,
589,5147.29,,
590,5239.96,,
591,,5975.18,
592,5038.53,,
593,5147.53,,
594,5830.94,,
595,,5661.91,
596,5939.37,,
597,5450.55,,
598,5333.81,,
599,5808.50,,
600,5310.08,,
601,5616.43,,
602,5127.13,,
603,4870.84,,
604,5687.44,,
605,,5862.92,
606,4852.82,,
607,6423.28,,
608,6344.38,,
609,5193.35,,
610,4517.78,,
611,4123.31,,
612,6668.24,,
613,,5739.70,
614,5670.45,,
615,5864.70,,
616,,5645.12,
617,5127.13,,
618,4970.71,,
619,4951.38,,
620,5057.06,,
621,5676.37,,
622,4827.96,,
623,5246.92,,
624,5566.85,,
625,6619.73,,
626,6097.35,,
627,6574.41,,
628,5429.95,,
629,5986.36,,
630,5905.99,,
631,5398.30,,
632,5543.93,,
633,7040.25,,
634,5052.86,,
635,5865.98,,
636,5464.60,,
637,4778.91,,
638,5710.46,,
639,5614.54,,
640,5017.04,,
641,,6564.41,
642,5573.25,,
643,5149.43,,
644,5388.85,,
645,5880.86,,
646,5802.18,,
647,5731.47,,
648,5320.00,,
649,6575.39,,
650,5876.84,,
651,4736.40,,
652,,6376.68,
653,,5872.17,
654,5808.76,,
655,5595.75,,
656,5855.25,,
657,,6994.72,
658,5132.19,,
659,4321.69,,
660,5685.38,,
661,5123.57,,
662,,5319.75,
663,4852.82,,
664,6424.22,,
665,,5307.19,
666,5643.27,,
667,6013.26,,
668,,5388.48,
669,,6067.99,
670,5145.13,,
671,,5397.24,
672,5344.78,,
673,,5418.23,
674,,5360.52,
675,5721.42,,
676,5191.11,,
677,,5382.55,
678,4220.38,,
679,5720.30,,
680,,5946.19,
681,5500.01,,
682,5881.20,,
683,,6359.21,
684,5613.02,,
685,6130.59,,
686,5468.23,,
687,5167.86,,
688,5524.48,,
689,,5273.26,
690,,5253.63,
691,,5226.14,
692,4744.85,,
693,,5734.59,
694,4808.11,,
695,4776.54,,
696,4813.27,,
697,5190.76,,
698,6176.98,,
699,5568.97,,
700,5779.56,,
701,5933.99,,
702,7050.97,,
703,5278.75,,
704,5816.81,,
705,,5162.01,
706,6613.33,,
707,5454.51,,
708,5598.97,,
709,5683.41,,
710,5169.60,,
711,5522.58,,
712,6555.32,,
713,5088.57,,
714,6323.40,,
715,6983.68,,
716,4743.67,,
717,5560.99,,
718,5765.28,,
719,5841.81,,
720,5450.51,,
721,,5925.82,
722,5248.49,,
723,6331.28,,
724,6128.47,,
725,5716.52,,
726,5745.79,,
727,4893.60,,
728,,6941.19,
729,5305.08,,
730,4827.13,,
731,5290.28,,
732,5505.58,,
733,6358.77,,
734,6058.37,,
735,,5362.87,
736,5112.40,,
737,6136.63,,
738,5783.23,,
739,5663.58,,
740,5205.61,,
741,5311.76,,
742,5294.60,,
743,4753.03,,
744,6568.67,,
745,5816.10,,
746,5607.66,,
747,6904.31,,
748,5342.56,,
749,5638.94,,
750,5779.56,,
751,5635.15,,
752,4942.38,,
753,5728.15,,
754,5178.84,,
755,6911.60,,
756,5912.22,,
757,,5162.01,
758,,5690.52,
759,6004.51,,
760,5612.33,,
761,5382.52,,
762,5715.70,,
763,6588.04,,
764,,5514.13,
765,5091.12,,
766,5316.73,,
767,6956.75,,
768,,5420.12,
769,6502.35,,
770,,6062.92,
771,,5236.41,
772,6416.82,,
773,5124.88,,
774,6006.02,,
775,,5454.58,
776,4944.82,,
777,5725.18,,
778,5147.29,,
779,4967.94,,
780,6981.79,,
781,6441.99,,
782,4865.27,,
783,4805.63,,
784,5347.24,,
785,4900.18,,
786,,5594.32,
787,5520.78,,
788,5178.07,,
789,6002.42,,
790,5172.57,,
791,5845.66,,
792,6331.79,,
793,4771.93,,
794,5498.65,,
795,5645.58,,
796,5528.84,,
797,,5162.01,
798,6655.44,,
799,6186.52,,
800,5695.24,,
801,,5414.50,
802,,5394.87,
803,,5367.39,
804,,5446.21,
805,5345.79,,
806,,5381.13,
807,5831.32,,
808,,5583.72,
809,5255.74,,
810,4983.41,,
811,5209.50,,
812,5109.36,,
813,6890.58,,
814,6622.95,,
815,5070.41,,
816,6085.05,,
817,4852.82,,
818,5861.25,,
819,6245.24,,
820,,5623.70,
821,,5467.85,
822,6064.06,,
823,5686.48,,
824,,5305.12,
825,5824.83,,
826,6662.32,,
827,6376.36,,
828,6128.47,,
829,5243.29,,
830,,5765.88,
831,5618.33,,
832,5227.41,,
833,5091.97,,
834,4822.33,,
835,5602.02,,
836,6819.93,,
837,5130.05,,
838,5384.31,,
839,6013.60,,
840,4806.41,,
841,5793.38,,
842,5559.16,,
843,,5542.99,
844,5334.93,,
845,4970.45,,
846,,5489.23,
847,,5520.82,
848,5773.97,,
849,5334.12,,
850,5677.97,,
851,5151.85,,
852,5524.44,,
853,5147.29,,
854,5656.81,,
855,5724.17,,
856,6282.03,,
857,5562.59,,
858,5036.95,,
859,6793.87,,
860,5754.73,,
861,4696.64,,
862,5660.03,,
863,6117.55,,
864,5259.30,,
865,4684.38,,
866,5492.25,,
867,5158.42,,
868,,5756.62,
869,6418.94,,
870,5800.70,,
871,5204.60,,
872,4983.28,,
873,,5645.12,
874,5164.58,,
875,,5485.38,
876,5225.63,,
877,,5836.97,
878,5252.47,,
879,5055.59,,
880,4800.21,,
881,,5197.32,
882,6439.96,,
883,5431.97,,
884,5607.73,,
885,5374.72,,
886,5772.96,,
887,5548.70,,
888,4483.43,,
889,4293.07,,
890,5307.49,,
891,4990.24,,
892,5605.06,,
893,6440.92,,
894,,5949.20,
895,5668.42,,
896,6139.60,,
897,4906.63,,
898,,5344.21,
899,5035.02,,
900,,5827.32,
901,,5427.14,
902,6121.37,,
903,,5370.87,
904,,5326.44,
905,,5313.75,
906,5014.14,,
907,5207.16,,
908,6828.22,,
909,5952.36,,
910,4990.24,,
911,4626.93,,
912,6176.84,,
913,7059.91,,
914,5356.96,,
915,5580.49,,
916,5502.01,,
917,,5848.24,
918,,6283.38,
919,5918.64,,
920,4829.28,,
921,5836.57,,
922,5098.22,,
923,,5308.20,
924,,5980.62,
925,,5645.12,
926,6214.09,,
927,5234.72,,
928,5147.29,,
929,6243.14,,
930,6115.54,,
931,5705.86,,
932,6379.88,,
933,5759.06,,
934,6072.36,,
935,4949.16,,
936,5721.46,,
937,5956.22,,
938,6109.09,,
939,5270.65,,
940,6073.62,,
941,5629.33,,
942,5210.51,,
943,6086.99,,
944,5027.17,,
945,5508.70,,
946,5744.52,,
947,6397.87,,
948,5539.02,,
949,4987.31,,
950,5324.02,,
951,5127.13,,
952,6004.13,,
953,5234.66,,
954,7338.57,,
955,5615.48,,
956,6274.62,,
957,4763.88,,
958,4825.19,,
959,,5228.12,
960,5196.39,,
961,5762.31,,
962,5186.20,,
963,5113.45,,
964,6048.30,,
965,,5191.39,
966,5138.93,,
967,,5212.38,
968,5154.67,,
969,5731.47,,
970,5114.15,,
971,6214.27,,
972,4852.82,,
973,5629.07,,
974,,5660.43,
975,5732.29,,
976,4852.82,,
977,5885.38,,
978,6206.31,,
979,,6666.81,
980,5781.57,,
981,5851.41,,
982,4853.19,,
983,6205.91,,
984,,5401.98,
985,6481.09,,
986,5955.43,,
987,5520.22,,
988,5170.33,,
989,5668.65,,
990,5362.13,,
991,4757.43,,
992,5509.81,,
993,5538.82,,
994,6035.40,,
995,5804.31,,
996,4844.56,,
997,5668.86,,
998,,5242.17,
999,6677.50,,
1000,5126.03,,
1001,5702.91,,
1002,5945.86,,
1003,,5191.39,
1004,5138.93,,
1005,,5212.38,
1006,5154.67,,
1007,5973.66,,
1008,5971.07,,
1009,5643.44,,
1010,,6018.69,
1011,,5440.68,
1012,6908.47,,
1013,5595.67,,
1014,6639.53,,
1015,5753.27,,
1016,5226.08,,
1017,5138.32,,
1018,5542.79,,
1019,5377.47,,
1020,5092.22,,
1021,4914.32,,
1022,6607.64,,
1023,5517.12,,
1024,5350.70,,
1025,6477.26,,
1026,5224.27,,
1027,5104.17,,
1028,,6603.05,
1029,5846.73,,
1030,,5228.12,
1031,5110.60,,
1032,4936.19,,
1033,5215.80,,
1034,4771.57,,
1035,4852.82,,
1036,4771.93,,
1037,5147.29,,
1038,,5162.01,
1039,5514.45,,
1040,6598.81,,
1041,,5162.01,
1042,,6392.58,
1043,5550.02,,
1044,6914.26,,
1045,4949.22,,
1046,4881.09,,
1047,5388.85,,
1048,6316.00,,
1049,5180.73,,
1050,,5304.82,
1051,5645.49,,
1052,5751.12,,
1053,5110.60,,
1054,,5228.12,
1055,4924.95,,
1056,5995.54,,
1057,4469.76,,
1058,5271.19,,
1059,5452.74,,
1060,,6020.88,
1061,5618.25,,
1062,5171.41,,
1063,,5971.96,
1064,5761.97,,
1065,5895.80,,
1066,,7153.24,
1067,,5286.16,
1068,,6881.14,
1069,5519.37,,
1070,5731.70,,
1071,5436.27,,
1072,5750.10,,
1073,5676.92,,
1074,4970.05,,
1075,5696.59,,
1076,5617.38,,
1077,6323.20,,
1078,5648.65,,
1079,6139.84,,
1080,,5917.11,
1081,,5242.17,
1082,5810.21,,
1083,5990.91,,
1084,,6088.63,
1085,,5162.01,
1086,6081.83,,
1087,6349.63,,
1088,5735.50,,
1089,6627.69,,
1090,5510.93,,
1091,5513.47,,
1092,,5162.01,
1093,5871.96,,
1094,5917.51,,
1095,4757.43,,
1096,5625.02,,
1097,5384.31,,
1098,5243.93,,
1099,4990.24,,
1100,4990.24,,
1101,,5294.16,
1102,6160.46,,
1103,5806.92,,
1104,5751.70,,
1105,5692.25,,
1106,6791.50,,
1107,6638.35,,
1108,5344.17,,
1109,,5645.12,
1110,5163.91,,
1111,6596.27,,
1112,,6568.55,
1113,,5182.63,
1114,5821.31,,
1115,6341.66,,
1116,5176.67,,
1117,6272.56,,
1118,5616.30,,
1119,6763.24,,
1120,6294.20,,
1121,,5376.73,
1122,5088.40,,
1123,,5530.10,
1124,,5219.27,
1125,4883.52,,
1126,5795.11,,
1127,4852.82,,
1128,,5274.02,
1129,5219.38,,
1130,5185.68,,
1131,4751.32,,
1132,5305.55,,
1133,4852.82,,
1134,5841.99,,
1135,5768.55,,
1136,,5903.00,
1137,,5162.01,
1138,6271.37,,
1139,5720.10,,
1140,5754.73,,
1141,7020.58,,
1142,5592.44,,
1143,5183.81,,
1144,,5162.01,
1145,5526.16,,
1146,5914.44,,
1147,,6424.57,
1148,5575.61,,
1149,,6552.64,
1150,6303.26,,
1151,,5262.00,
1152,5410.38,,
1153,4852.82,,
1154,,5645.12,
1155,,6089.80,
1156,,5336.08,
1157,4979.24,,
1158,4816.74,,
1159,5265.10,,
1160,4836.49,,
1161,5110.12,,
1162,,5365.54,
1163,5071.47,,
1164,,5216.00,
1165,,5196.37,
1166,,5168.88,
1167,,5228.12,
1168,5950.53,,
1169,5213.16,,
1170,,5162.01,
1171,,5274.02,
1172,5455.83,,
1173,5329.51,,
1174,6259.93,,
1175,,6167.83,
1176,6229.74,,
1177,4609.18,,
1178,5695.26,,
1179,,5572.27,
1180,5287.92,,
1181,,5723.53,
1182,,5416.99,
1183,5620.35,,
1184,4888.71,,
1185,5874.01,,
1186,5255.37,,
1187,,5980.62,
1188,5537.53,,
1189,,6062.92,
