No.,Rejected,Passed,Passed and Better value
0,33912.91,,
1,31805.56,,
2,29150.28,,
3,26151.83,,
4,24425.07,,
5,24425.07,,
6,21668.98,,
7,22021.91,,
8,20190.55,,
9,22471.56,,
10,21164.44,,
11,20007.39,,
12,17309.00,,
13,20190.55,,
14,20024.36,,
15,19683.05,,
16,17342.11,,
17,20061.28,,
18,19872.21,,
19,21967.41,,
20,22964.36,,
21,23908.01,,
22,19871.76,,
23,21952.21,,
24,22736.45,,
25,22639.77,,
26,20305.58,,
27,21786.90,,
28,23106.28,,
29,25478.94,,
30,23539.41,,
31,20575.68,,
32,23948.44,,
33,24585.46,,
34,24090.36,,
35,23509.68,,
36,23275.12,,
37,22794.70,,
38,23509.68,,
39,23195.54,,
40,21932.72,,
41,24515.63,,
42,21668.93,,
43,22060.01,,
44,23749.57,,
45,23228.73,,
46,21553.85,,
47,22604.03,,
48,24504.62,,
49,25232.81,,
50,23563.39,,
51,19192.62,,
52,20884.05,,
53,22537.42,,
54,20900.39,,
55,20520.98,,
56,19156.63,,
57,16514.47,,
58,20970.14,,
59,22846.11,,
60,17283.66,,
61,21212.99,,
62,21079.71,,
63,22748.80,,
64,20811.75,,
65,21794.02,,
66,20973.10,,
67,20704.16,,
68,21610.53,,
69,20978.09,,
70,19754.48,,
71,19083.83,,
72,20626.62,,
73,21414.75,,
74,23459.68,,
75,22285.51,,
76,23909.81,,
77,21329.45,,
78,21414.75,,
79,21414.75,,
80,19096.20,,
81,20162.35,,
82,22129.66,,
83,20992.54,,
84,21155.94,,
85,22843.21,,
86,20155.33,,
87,18915.99,,
88,20516.74,,
89,18297.82,,
90,20071.78,,
91,17702.51,,
92,21637.85,,
93,22229.90,,
94,21414.75,,
95,21471.70,,
96,17409.01,,
97,21852.77,,
98,24761.46,,
99,21247.61,,
100,21699.05,,
101,19939.21,,
102,21485.65,,
103,20203.33,,
104,18959.71,,
105,20311.60,,
106,22222.15,,
107,21299.07,,
108,18380.50,,
109,21952.62,,
110,21478.61,,
111,20484.31,,
112,22557.90,,
113,24149.85,,
114,22492.38,,
115,21952.62,,
116,22192.51,,
117,22281.63,,
118,20767.61,,
119,22236.80,,
120,22192.51,,
121,20887.31,,
122,24965.49,,
123,23062.58,,
124,23910.54,,
125,23448.66,,
126,21706.75,,
127,23810.92,,
128,21867.33,,
129,23134.06,,
130,20817.54,,
131,19955.67,,
132,19817.74,,
133,22634.17,,
134,23903.70,,
135,20930.17,,
136,21533.30,,
137,21988.97,,
138,21709.54,,
139,21863.58,,
140,18107.55,,
141,18254.01,,
142,15881.65,,
143,17738.95,,
144,17901.89,,
145,16512.14,,
146,17916.76,,
147,17733.77,,
148,18727.28,,
149,17420.01,,
150,18227.27,,
151,16677.16,,
152,18040.38,,
153,18542.16,,
154,17755.51,,
155,16705.09,,
156,18727.28,,
157,18768.81,,
158,16251.13,,
159,18197.67,,
160,16911.68,,
161,17902.13,,
162,18267.41,,
163,16423.28,,
164,15452.57,,
165,17943.15,,
166,18107.55,,
167,17318.47,,
168,16204.11,,
169,18689.67,,
170,17733.77,,
171,16919.75,,
172,15828.59,,
173,17599.90,,
174,17941.91,,
175,18370.83,,
176,22320.59,,
177,17672.95,,
178,19716.45,,
179,18708.67,,
180,,,17216.62
181,14537.01,,
182,15057.44,,
183,16673.72,,
184,16718.45,,
185,20617.81,,
186,,,16488.77
187,17252.31,,
188,,17705.09,
189,,16488.77,
190,,17136.81,
191,,,15534.58
192,16589.20,,
193,,,15107.41
194,,,14994.08
195,,,14461.32
196,13695.36,,
197,,,13224.41
198,12699.15,,
199,,13224.41,
200,,13438.60,
201,13087.33,,
202,,,13163.26
203,13208.84,,
204,,,12075.14
205,,12075.14,
206,,,11544.41
207,,12124.22,
208,,,11167.88
209,,,11152.80
210,,,10855.31
211,10315.27,,
212,,,9403.97
213,9377.57,,
214,,9501.99,
215,,,9305.95
216,7498.66,,
217,9517.93,,
218,10186.24,,
219,8516.16,,
220,7137.41,,
221,8363.02,,
222,9742.52,,
223,7663.27,,
224,9094.24,,
225,10638.32,,
226,8543.80,,
227,8912.16,,
228,8543.80,,
229,,,8786.73
230,,8786.73,
231,,9099.09,
232,7614.73,,
233,8630.93,,
234,9703.50,,
235,9109.92,,
236,7585.92,,
237,,8821.56,
238,8578.84,,
239,,8786.73,
240,8302.20,,
241,8941.22,,
242,,9104.59,
243,8493.63,,
244,9977.72,,
245,7227.05,,
246,10041.20,,
247,,8786.73,
248,,9099.09,
249,,9689.81,
250,,10176.28,
251,,8825.54,
252,8189.43,,
253,,8821.56,
254,,9873.70,
255,,,8761.86
256,8753.20,,
257,8317.49,,
258,8424.65,,
259,6963.88,,
260,,,8703.57
261,8781.96,,
262,,,8372.71
263,,8389.48,
264,7911.12,,
265,9663.78,,
266,8947.66,,
267,7835.92,,
268,9161.93,,
269,7549.22,,
270,7115.97,,
271,8815.45,,
272,10069.72,,
273,8688.56,,
274,,8378.73,
275,7842.78,,
276,,9405.30,
277,,8416.43,
278,8108.01,,
279,,,7525.01
280,7960.49,,
281,,7525.01,
282,,7572.00,
283,6138.98,,
284,8605.71,,
285,8058.81,,
286,,,7291.54
287,7502.87,,
