mode,method,H,fc,evaluations,entry,tt,tb,TBase,B,toe,heel,stem_DB,stem_SP,toe_DB,toe_SP,heel_DB,heel_SP,quantity_price,exported_price,price_hex,design_signature,valid,reason,optimizer_cost
current,BA,3,240,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,29924.3644800000,29924.36,02ECA3531739DD40,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MAXIMUM_MAIN_STEEL_REVERSED_HEEL,999999999.0000000000
current,HCA,3,240,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,29924.3644800000,29924.36,02ECA3531739DD40,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MAXIMUM_MAIN_STEEL_REVERSED_HEEL,999999999.0000000000
catalog_max,BA,3,240,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,29924.3644800000,29924.36,02ECA3531739DD40,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MAXIMUM_MAIN_STEEL_REVERSED_HEEL,999999999.0000000000
catalog_max,HCA,3,240,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,29924.3644800000,29924.36,02ECA3531739DD40,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MAXIMUM_MAIN_STEEL_REVERSED_HEEL,999999999.0000000000
current,BA,4,280,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,33912.9116800000,33912.91,0D897B2C1D8FE040,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MEMBER_FLEXURE,999999999.0000000000
current,HCA,4,280,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,33912.9116800000,33912.91,0D897B2C1D8FE040,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MEMBER_FLEXURE,999999999.0000000000
catalog_max,BA,4,280,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,33912.9116800000,33912.91,0D897B2C1D8FE040,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MEMBER_FLEXURE,999999999.0000000000
catalog_max,HCA,4,280,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,33912.9116800000,33912.91,0D897B2C1D8FE040,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MEMBER_FLEXURE,999999999.0000000000
current,BA,5,320,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,38041.6588800000,38041.66,7F828B153593E240,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MEMBER_FLEXURE,999999999.0000000000
current,HCA,5,320,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,38041.6588800000,38041.66,7F828B153593E240,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MEMBER_FLEXURE,999999999.0000000000
catalog_max,BA,5,320,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,38041.6588800000,38041.66,7F828B153593E240,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MEMBER_FLEXURE,999999999.0000000000
catalog_max,HCA,5,320,1,initial,0.6000000000,1.0000000000,1.0000000000,7.0000000000,1.2000000000,4.8000000000,28,0.1000000000,28,0.1000000000,28,0.1000000000,38041.6588800000,38041.66,7F828B153593E240,333333333333E33F000000000000F03F000000000000F03F0000000000001C40333333333333F33F3333333333331340:104:110:104:110:104:110,False,MEMBER_FLEXURE,999999999.0000000000
