eta,part,DB,spacing,depth,As,moment,fc,fs,legacy_flexure,selected
1,0,12,0.1000000000,0.3190000000,11.3097335529,9.7262000000,99.5562616704,2894.8291385277,False,False
1,0,12,0.1500000000,0.3190000000,7.5398223686,9.7262000000,117.9378566742,4289.6678434098,False,False
1,0,12,0.2000000000,0.3190000000,5.6548667765,9.7262000000,133.4786348660,5677.1081958264,False,False
1,0,12,0.2500000000,0.3190000000,4.5238934212,9.7262000000,147.1918596247,7059.8299601383,False,False
1,0,16,0.1000000000,0.3170000000,20.1061929830,9.7262000000,80.0430248937,1674.0415789671,True,True
1,0,16,0.1500000000,0.3170000000,13.4041286553,9.7262000000,93.8550429140,2472.6297609235,False,False
1,0,16,0.2000000000,0.3170000000,10.0530964915,9.7262000000,105.5574613992,3265.5879673548,False,False
1,0,16,0.2500000000,0.3170000000,8.0424771932,9.7262000000,115.8959707089,4054.9588543251,False,False
1,0,20,0.1000000000,0.3150000000,31.4159265359,9.7262000000,68.5697846842,1100.2130553910,True,False
1,0,20,0.1500000000,0.3150000000,20.9439510239,9.7262000000,79.6187058178,1620.4478422431,True,False
1,0,20,0.2000000000,0.3150000000,15.7079632679,9.7262000000,89.0050252974,2136.1119124090,False,False
1,0,20,0.2500000000,0.3150000000,12.5663706144,9.7262000000,97.3097447400,2648.8656871917,False,False
1,0,25,0.1000000000,0.3125000000,49.0873852123,9.7262000000,59.6595544414,726.7607108264,True,False
1,0,25,0.1500000000,0.3125000000,32.7249234749,9.7262000000,68.4753361396,1067.1887893164,True,False
1,0,25,0.2000000000,0.3125000000,24.5436926062,9.7262000000,75.9945174233,1403.8948734999,True,False
1,0,25,0.2500000000,0.3125000000,19.6349540849,9.7262000000,82.6622935361,1738.2316558495,False,False
1,0,28,0.1000000000,0.3110000000,61.5752160104,9.7262000000,55.9703596680,589.9865665785,True,False
1,0,28,0.1500000000,0.3110000000,41.0501440069,9.7262000000,63.8190024096,865.0205998546,True,False
1,0,28,0.2000000000,0.3110000000,30.7876080052,9.7262000000,70.5314543974,1136.6984215198,True,False
1,0,28,0.2500000000,0.3110000000,24.6300864041,9.7262000000,76.4930736212,1406.2390934482,True,False
1,1,12,0.1000000000,0.2190000000,11.3097335529,4.0546635299,75.7137703475,1781.3235689734,False,False
1,1,12,0.1500000000,0.2190000000,7.5398223686,4.0546635299,89.1260831332,2634.2602225632,False,False
1,1,12,0.2000000000,0.2190000000,5.6548667765,4.0546635299,100.4797259950,3481.7580643307,False,False
1,1,12,0.2500000000,0.2190000000,4.5238934212,4.0546635299,110.5051404503,4325.7891729010,False,False
1,1,16,0.1000000000,0.2170000000,20.1061929830,4.0546635299,61.8461813893,1036.6527309307,True,False
1,1,16,0.1500000000,0.2170000000,13.4041286553,4.0546635299,71.9344777922,1527.5619241572,True,False
1,1,16,0.2000000000,0.2170000000,10.0530964915,4.0546635299,80.5003508938,2014.3092612065,False,False
1,1,16,0.2500000000,0.2170000000,8.0424771932,4.0546635299,88.0769936354,2498.4063688688,False,False
1,1,20,0.1000000000,0.2150000000,31.4159265359,4.0546635299,53.8060699790,685.3308051916,True,False
1,1,20,0.1500000000,0.2150000000,20.9439510239,4.0546635299,61.8782866508,1006.8384550462,True,False
1,1,20,0.2000000000,0.2150000000,15.7079632679,4.0546635299,68.7581389821,1324.9504661891,True,False
1,1,20,0.2500000000,0.2150000000,12.5663706144,4.0546635299,74.8563959706,1640.9009707016,True,True
1,1,25,0.1000000000,0.2125000000,49.0873852123,4.0546635299,47.6987913207,455.7791557085,True,False
1,1,25,0.1500000000,0.2125000000,32.7249234749,4.0546635299,54.1355444456,667.5853857842,True,False
