eta,geometry_row,screening_estimate,tt,tb,TBase,Base,toe,heel,stemDB,stemSP,toeDB,toeSP,heelDB,heelSP
1,2781,13073.2798360000,0.2000000000,0.2500000000,0.7000000000,2.5000000000,0.3000000000,1.9500000000,28,0.1000000000,12,0.2500000000,16,0.2000000000
1,2782,13062.8550040000,0.2000000000,0.2500000000,0.7000000000,2.5000000000,0.4000000000,1.8500000000,28,0.1000000000,12,0.2500000000,16,0.2000000000
1,2783,12970.9269400000,0.2000000000,0.2500000000,0.7000000000,2.5000000000,0.5000000000,1.7500000000,28,0.1000000000,12,0.2500000000,16,0.2500000000
1,2784,12944.8648600000,0.2000000000,0.2500000000,0.7000000000,2.5000000000,0.6000000000,1.6500000000,28,0.1000000000,12,0.2500000000,12,0.1500000000
1,2785,12939.1785880000,0.2000000000,0.2500000000,0.7000000000,2.5000000000,0.7000000000,1.5500000000,28,0.1000000000,12,0.2500000000,12,0.1500000000
1,2786,12933.4923160000,0.2000000000,0.2500000000,0.7000000000,2.5000000000,0.8000000000,1.4500000000,28,0.1000000000,12,0.2500000000,12,0.1500000000
1,2787,12865.6124440000,0.2000000000,0.2500000000,0.7000000000,2.5000000000,0.9000000000,1.3500000000,28,0.1000000000,12,0.2500000000,12,0.2000000000
1,2788,12863.4800920000,0.2000000000,0.2500000000,0.7000000000,2.5000000000,1.0000000000,1.2500000000,28,0.1000000000,12,0.2500000000,12,0.2000000000
1,2789,12860.2815640000,0.2000000000,0.2500000000,0.7000000000,2.5000000000,1.1000000000,1.1500000000,28,0.1000000000,12,0.2000000000,12,0.2500000000
1,2901,12218.0867460000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.3000000000,1.9500000000,25,0.1000000000,12,0.2500000000,16,0.2000000000
1,2902,12122.3678340000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.4000000000,1.8500000000,25,0.1000000000,12,0.2500000000,16,0.2500000000
1,2903,12095.3580420000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.5000000000,1.7500000000,25,0.1000000000,12,0.2500000000,12,0.1500000000
1,2904,12089.6717700000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.6000000000,1.6500000000,25,0.1000000000,12,0.2500000000,12,0.1500000000
1,2905,12083.9854980000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.7000000000,1.5500000000,25,0.1000000000,12,0.2500000000,12,0.1500000000
1,2906,12012.5517060000,0.2000000000,0.2500000000,0.7500000000,2.5000000000,0.8000000000,1.4500000000,25,0.1000000000,12,0.2500000000,12,0.2000000000
