No.,Rejected,Passed,Passed and Better value
0,,,8646.94
1,11336.35,,
2,7429.61,,
3,7635.62,,
4,12071.79,,
5,10806.74,,
6,9030.15,,
7,9092.16,,
8,9920.81,,
9,8722.44,,
10,10676.33,,
11,8718.33,,
12,13476.76,,
13,6922.95,,
14,10552.74,,
15,,10543.30,
16,8387.42,,
17,8111.74,,
18,9913.45,,
19,7875.61,,
20,7602.39,,
21,13160.21,,
22,11217.98,,
23,10792.76,,
24,10078.23,,
25,10631.74,,
26,,11192.60,
27,7581.78,,
28,8101.37,,
29,8866.18,,
30,8862.68,,
31,10443.47,,
32,7715.64,,
33,8881.22,,
34,10045.66,,
35,7572.85,,
36,12535.65,,
37,11145.71,,
38,9903.42,,
39,8403.04,,
40,7304.50,,
41,8720.40,,
42,12207.49,,
43,12517.21,,
44,9758.10,,
45,9499.54,,
46,,9979.87,
47,8948.14,,
48,12772.09,,
49,11405.67,,
50,9500.30,,
51,7855.30,,
52,9102.70,,
53,12042.24,,
54,8744.88,,
55,7522.09,,
56,11848.31,,
57,8513.99,,
58,12355.95,,
59,8359.37,,
60,8023.16,,
61,12471.02,,
62,,11759.45,
63,9004.18,,
64,8974.40,,
65,9610.66,,
66,8128.49,,
67,10804.16,,
68,7536.38,,
69,7770.57,,
70,,11427.73,
71,10487.84,,
72,9241.71,,
73,12594.83,,
74,11976.50,,
75,8289.53,,
76,9202.97,,
77,12495.88,,
78,8748.86,,
79,6929.10,,
80,10292.25,,
81,8764.31,,
82,,9530.89,
83,10068.98,,
84,9027.29,,
85,,11136.24,
86,9241.03,,
87,9365.51,,
88,7924.02,,
89,6746.91,,
90,,9677.12,
91,10317.56,,
92,10918.22,,
93,9244.99,,
94,7766.64,,
95,7642.04,,
96,6558.08,,
97,11096.51,,
98,11062.41,,
99,7934.42,,
100,8097.68,,
101,9375.29,,
102,7504.83,,
103,11320.80,,
104,10075.26,,
105,9726.50,,
106,7625.94,,
107,8114.87,,
108,,12307.64,
109,8235.71,,
110,9966.27,,
111,7363.51,,
112,9414.44,,
113,9617.56,,
114,8361.59,,
115,,10776.87,
116,,11492.71,
117,7798.34,,
118,6587.23,,
119,8446.71,,
120,9411.31,,
121,7455.90,,
122,13016.12,,
123,12474.36,,
124,10478.44,,
125,9913.06,,
126,8580.75,,
127,7913.32,,
128,7756.84,,
129,9304.60,,
130,9019.31,,
131,7381.83,,
132,7903.99,,
133,13329.82,,
134,11640.85,,
135,,10001.85,
136,11938.80,,
137,9412.55,,
138,6785.07,,
139,8173.50,,
140,12355.87,,
141,13489.77,,
142,8135.86,,
143,9574.19,,
144,6755.63,,
145,9031.41,,
146,7512.10,,
147,7580.91,,
148,7601.62,,
149,8922.56,,
150,7832.76,,
151,8147.01,,
152,8847.02,,
153,8352.87,,
154,14619.93,,
155,8554.59,,
156,,9433.62,
157,7472.92,,
158,14575.45,,
159,6024.02,,
160,8483.69,,
161,8785.82,,
162,8703.81,,
163,8663.84,,
164,7573.46,,
165,7857.80,,
166,12027.38,,
167,12690.67,,
168,11446.70,,
169,10613.99,,
170,9814.24,,
171,9091.75,,
172,11873.16,,
173,10888.66,,
174,,8859.69,
175,10766.34,,
176,12432.13,,
177,8096.54,,
178,9484.99,,
179,7778.20,,
180,10098.36,,
181,8515.15,,
182,10258.97,,
183,8016.79,,
184,7273.80,,
185,7605.28,,
186,10079.86,,
187,10786.01,,
188,8983.34,,
189,7285.10,,
190,14911.38,,
191,9239.11,,
192,11804.31,,
193,9267.39,,
194,7326.11,,
195,10216.87,,
196,8826.57,,
197,9043.79,,
198,7228.12,,
199,8411.41,,
200,9334.58,,
201,,11506.24,
202,11645.67,,
203,11660.80,,
204,7967.63,,
205,9426.14,,
206,8503.69,,
207,8853.79,,
208,10047.73,,
209,10781.55,,
210,8664.71,,
211,8253.28,,
212,8723.52,,
213,9297.86,,
214,8731.25,,
215,8886.05,,
216,7156.88,,
217,7716.43,,
218,9017.52,,
219,9777.32,,
220,12689.59,,
221,9689.75,,
222,9626.55,,
223,10602.05,,
224,8897.46,,
225,9659.45,,
226,8455.35,,
227,9234.09,,
228,10502.38,,
229,9363.37,,
230,12933.14,,
231,8981.06,,
232,9211.18,,
233,7986.59,,
234,7416.55,,
235,7162.33,,
236,8694.24,,
237,6700.97,,
238,9229.62,,
239,8453.54,,
240,8334.77,,
241,12626.28,,
242,,9779.74,
243,,10370.43,
244,7867.49,,
245,12873.93,,
246,8529.20,,
247,12429.88,,
248,8407.66,,
249,13581.22,,
250,,9331.19,
251,10363.48,,
252,9396.80,,
253,9648.08,,
254,8847.70,,
255,10715.21,,
256,8943.57,,
257,7098.77,,
258,7277.88,,
259,7912.09,,
260,8886.60,,
261,9991.19,,
262,9117.44,,
263,10026.08,,
264,11273.54,,
265,13681.05,,
