No.,Rejected,Passed,Passed and Better value
0,21582.53,,
1,17226.69,,
2,20523.17,,
3,15540.47,,
4,19603.41,,
5,20782.61,,
6,20742.43,,
7,18281.16,,
8,17180.71,,
9,17091.68,,
10,20876.29,,
11,20683.98,,
12,16281.16,,
13,20727.82,,
14,17368.65,,
15,14091.04,,
16,17899.47,,
17,16794.57,,
18,20599.54,,
19,20587.56,,
20,21079.38,,
21,21582.53,,
22,19009.79,,
23,21582.53,,
24,18384.20,,
25,20727.82,,
26,16593.62,,
27,15145.13,,
28,19896.20,,
29,19208.52,,
30,19603.41,,
31,21582.53,,
32,16592.65,,
33,20873.92,,
34,17329.08,,
35,18667.56,,
36,21582.53,,
37,18732.69,,
38,19619.47,,
39,17972.05,,
40,20705.90,,
41,20311.30,,
42,17368.65,,
43,20936.70,,
44,20607.28,,
45,20936.70,,
46,20873.92,,
47,17180.71,,
48,20742.43,,
49,21045.60,,
50,18106.15,,
51,16404.47,,
52,20311.30,,
53,18384.20,,
54,20782.61,,
55,17625.84,,
56,14725.30,,
57,14806.98,,
58,20859.31,,
59,21079.38,,
60,17790.70,,
61,18957.78,,
62,21582.53,,
63,14384.17,,
64,18667.56,,
65,19896.20,,
66,17940.66,,
67,15401.75,,
68,18318.26,,
69,20683.98,,
70,19740.54,,
71,19896.20,,
72,19723.24,,
73,18674.36,,
74,19257.09,,
75,19172.53,,
76,20876.29,,
77,18667.56,,
78,14171.16,,
79,16516.17,,
80,13521.80,,
81,18528.53,,
82,18947.01,,
83,17526.92,,
84,19084.92,,
85,21582.53,,
86,20523.17,,
87,19740.54,,
88,18667.56,,
89,19896.20,,
90,19498.77,,
91,19809.72,,
92,21582.53,,
93,19688.83,,
94,21582.53,,
95,19702.81,,
96,19658.38,,
97,17298.61,,
98,17329.08,,
99,17625.84,,
100,18384.20,,
101,21582.53,,
102,17820.19,,
103,21224.58,,
104,20607.28,,
105,20589.83,,
106,20648.92,,
107,17637.68,,
108,16682.64,,
109,16699.41,,
110,17896.18,,
111,21045.60,,
112,17091.68,,
113,18384.20,,
114,18281.16,,
115,21364.75,,
116,17625.84,,
117,20124.14,,
118,20859.31,,
119,21152.84,,
120,19159.06,,
121,20589.83,,
122,19529.15,,
123,21582.53,,
124,20938.21,,
