No.,Rejected,Passed,Passed and Better value
0,8828.11,,
1,6237.11,,
2,8262.15,,
3,5280.88,,
4,7717.90,,
5,8374.10,,
6,8351.29,,
7,6831.48,,
8,6165.93,,
9,6112.09,,
10,8450.80,,
11,8318.12,,
12,5782.54,,
13,8343.00,,
14,6279.60,,
15,4553.60,,
16,6845.74,,
17,6019.14,,
18,8233.61,,
19,8263.39,,
20,8542.54,,
21,8828.11,,
22,7426.98,,
23,8828.11,,
24,6893.79,,
25,8343.00,,
26,5854.24,,
27,5133.01,,
28,7927.19,,
29,7392.33,,
30,7717.90,,
31,8828.11,,
32,5967.33,,
33,8425.93,,
34,6255.67,,
35,7065.16,,
36,8828.11,,
37,7189.16,,
38,7779.35,,
39,6644.52,,
40,8330.56,,
41,8148.96,,
42,6279.60,,
43,8461.56,,
44,8274.59,,
45,8461.56,,
46,8425.93,,
47,6165.93,,
48,8351.29,,
49,8523.36,,
50,6735.84,,
51,5888.62,,
52,8148.96,,
53,6893.79,,
54,8374.10,,
55,6435.14,,
56,5066.06,,
57,4878.40,,
58,8417.63,,
59,8542.54,,
60,6534.85,,
61,7433.61,,
62,8828.11,,
63,4644.64,,
64,7065.16,,
65,7927.19,,
66,6832.68,,
67,5234.19,,
68,6853.91,,
69,8318.12,,
70,7844.03,,
71,7927.19,,
72,7834.79,,
73,7069.28,,
74,7555.81,,
75,7375.67,,
76,8450.80,,
77,7065.16,,
78,5007.50,,
79,6012.19,,
80,4171.14,,
81,6986.19,,
82,7399.73,,
83,6375.32,,
84,7465.78,,
85,8828.11,,
86,8262.15,,
87,7844.03,,
88,7065.16,,
89,7927.19,,
90,7707.42,,
91,7880.99,,
92,8828.11,,
93,7693.03,,
94,8828.11,,
95,7830.35,,
96,7800.14,,
97,7035.76,,
98,6255.67,,
99,6435.14,,
100,6893.79,,
101,8828.11,,
102,6596.06,,
103,8624.95,,
104,8274.59,,
105,8297.76,,
106,8298.22,,
107,7273.80,,
108,5908.08,,
109,6731.78,,
110,6735.18,,
111,8523.36,,
112,6112.09,,
113,6893.79,,
114,6831.48,,
115,8704.50,,
116,6435.14,,
117,8044.57,,
118,8417.63,,
119,8598.55,,
120,7362.42,,
121,8297.76,,
122,7724.79,,
123,8828.11,,
124,8462.41,,
