evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,104,110,104,110,104,110
2,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.4000000000,2.0000000000,0.6000000000,102,113,104,110,104,110
3,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,104,110,104,110,104,112
4,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3250000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,101,112,102,113,103,111
5,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.2500000000,0.2500000000,0.4000000000,2.0000000000,0.6000000000,103,110,104,110,104,110
6,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,104,110,102,112,104,110
7,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,104,110,101,111,104,110
8,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,103,113,104,110,104,110
9,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,100,112,104,110,104,110
10,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,100,113,104,110,104,110
