No.,Rejected,Passed,Passed and Better value
0,13713.67,,
1,10270.27,,
2,13031.61,,
3,9067.43,,
4,12188.74,,
5,13086.70,,
6,13055.21,,
7,11084.43,,
8,10208.02,,
9,10137.12,,
10,13258.96,,
11,13009.40,,
12,9621.72,,
13,13043.76,,
14,10357.70,,
15,8046.33,,
16,11050.59,,
17,9951.76,,
18,12930.81,,
19,12933.82,,
20,13319.31,,
21,11945.30,,
22,13713.67,,
23,11166.50,,
24,13043.76,,
25,9766.09,,
26,8913.19,,
27,12627.95,,
28,11822.98,,
29,12188.74,,
30,13713.67,,
31,9984.23,,
32,13158.27,,
33,10326.19,,
34,11392.16,,
35,13713.67,,
36,11573.70,,
37,12449.78,,
38,10838.25,,
39,13026.58,,
40,12895.20,,
41,10357.70,,
42,13207.48,,
43,12949.28,,
44,13207.48,,
45,13158.27,,
46,10208.02,,
47,13055.21,,
48,13292.83,,
49,10951.96,,
50,9835.63,,
51,12895.20,,
52,11166.50,,
53,13086.70,,
54,10562.53,,
55,8699.59,,
56,8500.73,,
57,13146.82,,
58,13319.31,,
59,10693.82,,
60,11939.65,,
61,8270.01,,
62,11392.16,,
63,12627.95,,
64,11075.85,,
65,9053.37,,
66,11113.98,,
67,13009.40,,
68,12527.73,,
69,12627.95,,
70,12516.59,,
71,11397.58,,
72,12090.71,,
73,11797.77,,
74,13258.96,,
75,11392.16,,
76,8255.31,,
77,9985.46,,
78,7686.96,,
79,11284.89,,
80,11889.62,,
81,10483.75,,
82,11988.04,,
83,13713.67,,
84,13031.61,,
85,12527.73,,
86,11392.16,,
87,12627.95,,
88,12268.54,,
89,12572.27,,
90,13713.67,,
91,12212.41,,
92,13713.67,,
93,12405.53,,
94,12474.83,,
95,10893.77,,
96,10326.19,,
97,10562.53,,
98,11166.50,,
99,13713.67,,
100,10742.94,,
101,13433.11,,
102,12949.28,,
103,13074.53,,
104,12981.92,,
105,11082.66,,
106,9836.99,,
107,10471.50,,
108,11046.61,,
109,13292.83,,
110,10137.12,,
111,11166.50,,
112,11084.43,,
113,13542.97,,
114,10562.53,,
115,12679.77,,
116,13146.82,,
117,13437.02,,
118,11783.59,,
119,13074.53,,
120,12354.56,,
121,13208.66,,
122,8572.66,,
123,13433.11,,
124,13146.82,,
