No.,Rejected,Passed,Passed and Better value
0,8828.11,,
1,6237.11,,
2,8262.15,,
3,5280.88,,
4,7717.90,,
5,8374.10,,
6,8351.29,,
7,6831.48,,
8,6165.93,,
9,6112.09,,
10,8450.80,,
11,8318.12,,
12,5782.54,,
13,8343.00,,
14,6279.60,,
15,4553.60,,
16,6845.74,,
17,6019.14,,
18,8233.61,,
19,8263.39,,
20,8542.54,,
21,7426.98,,
22,8828.11,,
23,6893.79,,
24,8343.00,,
25,5854.24,,
26,5133.01,,
27,7927.19,,
28,7392.33,,
29,7717.90,,
30,8828.11,,
31,5967.33,,
32,8425.93,,
33,6255.67,,
34,7065.16,,
35,8828.11,,
36,7189.16,,
37,7779.35,,
38,6644.52,,
39,8330.56,,
40,8148.96,,
41,6279.60,,
42,8461.56,,
43,8274.59,,
44,8461.56,,
45,8425.93,,
46,6165.93,,
47,8351.29,,
48,8523.36,,
49,6735.84,,
50,5888.62,,
51,8148.96,,
52,6893.79,,
53,8374.10,,
54,6435.14,,
55,5066.06,,
56,4878.40,,
57,8417.63,,
58,8542.54,,
59,6534.85,,
60,7433.61,,
61,4644.64,,
62,7065.16,,
63,7927.19,,
64,6832.68,,
65,5234.19,,
66,6853.91,,
67,8318.12,,
68,7844.03,,
69,7927.19,,
70,7834.79,,
71,7069.28,,
72,7555.81,,
73,7375.67,,
74,8450.80,,
75,7065.16,,
76,5007.50,,
77,6012.19,,
78,4171.14,,
79,6986.19,,
80,7399.73,,
81,6375.32,,
82,7465.78,,
83,8828.11,,
84,8262.15,,
85,7844.03,,
86,7065.16,,
87,7927.19,,
88,7707.42,,
89,7880.99,,
90,8828.11,,
91,7693.03,,
92,8828.11,,
93,7830.35,,
94,7800.14,,
95,7035.76,,
96,6255.67,,
97,6435.14,,
98,6893.79,,
99,8828.11,,
100,6596.06,,
101,8624.95,,
102,8274.59,,
103,8297.76,,
104,8298.22,,
105,7273.80,,
106,5908.08,,
107,6731.78,,
108,6735.18,,
109,8523.36,,
110,6112.09,,
111,6893.79,,
112,6831.48,,
113,8704.50,,
114,6435.14,,
115,8044.57,,
116,8417.63,,
117,8598.55,,
118,7362.42,,
119,8297.76,,
120,7724.79,,
121,8462.41,,
122,5410.55,,
123,8624.95,,
124,8417.63,,
