No.,Rejected,Passed,Passed and Better value
0,8828.11,,
1,6237.11,,
2,8262.15,,
3,,,5280.88
4,6648.05,,
5,,5311.98,
6,,5289.17,
7,,5737.04,
8,5150.47,,
9,5017.65,,
10,,5433.92,
11,,,5256.00
12,,5782.54,
13,,5280.88,
14,5239.26,,
15,,,4553.60
16,,,4419.20
17,,,3564.57
18,5330.61,,
19,5196.57,,
20,,3755.82,
21,,4214.45,
22,3927.37,,
23,,3937.74,
24,,,3556.28
25,3116.78,,
26,,4233.18,
27,,,3341.57
28,4233.01,,
29,5107.60,,
30,5725.65,,
31,4575.56,,
32,,3424.49,
33,,,3051.33
34,4279.26,,
35,3536.44,,
36,,3456.18,
37,2956.56,,
38,,3455.59,
39,,,3038.89
40,,3181.05,
41,,3063.77,
42,,3169.89,
43,2982.92,,
44,,3169.89,
45,,3134.25,
46,2945.60,,
47,,3059.62,
48,,3231.69,
49,,3854.47,
50,5429.58,,
51,,3181.05,
52,,3702.29,
53,,3082.43,
54,,3225.47,
55,4094.70,,
56,,3999.21,
57,,3125.96,
58,,3250.87,
59,,3329.13,
60,,3179.76,
61,,4031.79,
62,3880.45,,
63,,3038.89,
64,,3350.45,
65,4160.61,,
66,,3660.83,
67,,,3026.45
68,,,2973.14
69,,3026.45,
70,,,2967.22
71,,4051.98,
72,,3115.30,
73,4370.60,,
74,,3362.10,
75,3808.78,,
76,,3637.21,
77,5021.84,,
78,3107.90,,
79,4122.61,,
80,3703.53,,
81,,3091.61,
82,,3371.18,
83,3603.96,,
84,,3241.17,
85,,2973.14,
86,,4129.72,
87,,3026.45,
88,,3388.47,
89,,2996.84,
90,3477.21,,
91,4782.63,,
92,3477.21,,
93,,4185.68,
94,2945.01,,
95,3412.83,,
96,,2967.22,
97,,3153.80,
98,,3630.62,
99,5955.38,,
100,,3589.16,
101,,3274.04,
102,2923.68,,
103,,3264.00,
104,,,2947.32
105,,3118.14,
106,2854.03,,
107,3089.30,,
108,5632.57,,
109,,3172.46,
110,2798.05,,
111,,3767.63,
112,,3545.93,
113,3353.60,,
114,,3133.90,
115,,4640.52,
116,,3066.73,
117,3436.91,,
118,4097.90,,
119,,3244.09,
120,4135.97,,
121,,3111.51,
122,4288.86,,
123,,3274.04,
124,,3066.73,
125,4285.35,,
126,,3133.90,
127,3788.87,,
128,4214.98,,
129,,4052.82,
130,5003.59,,
131,4605.81,,
132,3436.91,,
133,,3129.11,
134,2854.03,,
135,,3274.04,
136,3925.41,,
137,,3610.72,
138,,3095.40,
139,,4629.98,
140,,2947.32,
141,,3148.71,
142,,2991.74,
143,5037.89,,
144,4058.20,,
145,4193.78,,
146,3156.47,,
147,3872.80,,
148,,3178.68,
149,,3274.04,
150,,3545.93,
151,,4077.46,
152,3255.57,,
153,,3221.27,
154,4605.81,,
155,,3196.09,
156,,3663.49,
157,,3342.20,
158,,4427.65,
159,,2947.32,
160,4053.40,,
161,,3000.39,
162,,2967.22,
163,,2992.10,
164,,3062.06,
165,,3111.51,
166,,4155.51,
167,,3172.46,
168,,3610.72,
169,,2972.19,
170,,3110.65,
171,,3221.27,
172,,3105.27,
173,,3702.85,
174,,3311.88,
175,4097.90,,
176,,3244.09,
177,,2972.19,
178,,3849.57,
179,2912.49,,
180,,3023.19,
181,,3394.47,
182,,3148.71,
183,2992.79,,
184,3808.51,,
185,,3105.27,
186,,3350.45,
187,,2979.66,
188,2923.68,,
189,,3351.58,
190,6887.42,,
191,4445.40,,
192,4539.32,,
193,,3569.25,
194,3860.36,,
195,,3569.25,
196,5003.59,,
197,4243.74,,
198,,3237.55,
199,3436.91,,
200,,4615.35,
201,5621.64,,
202,2925.11,,
203,4097.90,,
204,,3016.42,
205,2911.78,,
206,,3095.40,
207,,3244.09,
208,4097.90,,
209,,3196.09,
