evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,True,PASS_IMPLEMENTED_PROJECT_CHECKS,13713.6691200000,13713.6691200000,0.4500000000,0.4500000000,0.6000000000,2.5000000000,0.8000000000,104,110,104,110,104,110
2,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,10270.2726400000,10270.2726400000,0.4000000000,0.4000000000,0.6000000000,2.5000000000,0.8000000000,102,113,104,110,104,110
3,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,9559.1924800000,9559.1924800000,0.4000000000,0.4000000000,0.6000000000,2.5000000000,0.8000000000,102,113,104,110,104,112
4,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,9559.1924800000,0.3750000000,0.4500000000,0.6000000000,2.5000000000,0.8000000000,101,112,102,113,103,111
5,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,9559.1924800000,0.3000000000,0.3000000000,0.6000000000,2.5000000000,0.8000000000,103,110,104,110,104,112
6,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,8932.2217600000,8932.2217600000,0.4000000000,0.4000000000,0.6000000000,2.5000000000,0.8000000000,102,113,102,112,104,112
7,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,8900.7300800000,8900.7300800000,0.4000000000,0.4000000000,0.6000000000,2.5000000000,0.8000000000,102,113,101,111,104,112
8,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,9343.8594800000,8900.7300800000,0.4000000000,0.4000000000,0.6000000000,2.5000000000,0.8000000000,103,113,101,111,104,112
9,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8900.7300800000,0.4000000000,0.4000000000,0.6000000000,2.5000000000,0.8000000000,100,112,101,111,104,112
10,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8900.7300800000,0.4000000000,0.4000000000,0.6000000000,2.5000000000,0.8000000000,100,113,101,111,104,112
11,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,9137.7568000000,8900.7300800000,0.4000000000,0.4000000000,0.6000000000,2.5000000000,0.8000000000,102,113,101,111,104,111
12,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8900.7300800000,0.4000000000,0.4000000000,0.6000000000,2.5000000000,0.8000000000,102,113,101,112,104,112
