No.,Rejected,Passed,Passed and Better value
0,,,8646.94
1,,8683.46,
2,8064.84,,
3,9736.78,,
4,9166.46,,
5,,10367.59,
6,9158.17,,
7,8532.79,,
8,8394.02,,
9,8394.02,,
10,7054.42,,
11,,8968.37,
12,8394.02,,
13,8520.48,,
14,8959.44,,
15,,8646.94,
16,11187.29,,
17,,9550.74,
18,7215.10,,
19,,8997.59,
20,10921.96,,
21,10970.68,,
22,8394.02,,
23,8454.24,,
24,10309.09,,
25,8394.02,,
26,8231.42,,
27,7942.53,,
28,8231.42,,
29,8394.02,,
30,10602.79,,
31,7626.73,,
32,8581.19,,
33,7702.75,,
34,,9009.76,
35,,8646.94,
36,7697.25,,
37,8618.24,,
38,,9480.22,
39,8581.19,,
40,,8646.94,
41,8231.42,,
42,10133.63,,
43,,10891.94,
44,,8968.37,
45,8394.02,,
46,,8646.94,
47,,9517.57,
48,,9531.52,
49,7828.43,,
50,10574.54,,
51,,9806.12,
52,8548.32,,
53,,,8625.02
54,9857.26,,
55,7894.49,,
56,9538.18,,
57,7456.18,,
58,11079.14,,
59,,8997.59,
60,8168.44,,
61,8528.59,,
62,8372.10,,
63,8263.71,,
64,9538.18,,
65,8168.44,,
66,7989.77,,
67,8589.96,,
68,,8997.59,
69,,9567.02,
70,,9625.67,
71,9584.63,,
72,13429.70,,
73,,8625.02,
74,6660.83,,
75,9226.07,,
76,8372.10,,
77,8880.14,,
78,,11172.77,
79,8548.32,,
80,,10266.94,
81,10378.29,,
82,8168.44,,
83,9652.33,,
84,8956.48,,
85,,8792.13,
86,6658.95,,
87,7065.70,,
88,,8625.02,
89,8528.59,,
90,7456.18,,
91,8080.84,,
92,8263.71,,
93,8619.44,,
94,8168.44,,
95,11079.14,,
96,8528.59,,
97,8438.44,,
98,8294.45,,
99,,9774.52,
100,,9226.07,
101,,11137.36,
102,8053.08,,
103,,8792.13,
104,11079.14,,
105,,9305.78,
106,,8938.92,
107,10108.36,,
108,8581.19,,
109,,9458.30,
110,8548.32,,
111,,8987.84,
112,8337.04,,
113,8209.51,,
114,7894.49,,
115,8372.10,,
116,8411.07,,
117,8581.19,,
118,7675.33,,
119,7621.53,,
120,8528.59,,
121,,,8551.97
122,,8610.41,
