No.,Rejected,Passed,Passed and Better value
0,,,21582.53
1,17687.10,,
2,,,18674.36
3,17834.25,,
4,16661.36,,
5,,,17096.12
6,,17418.83,
7,,,16528.81
8,15183.53,,
9,,16696.73,
10,,17803.22,
11,16264.71,,
12,,,16135.61
13,,,15987.50
14,,,15439.05
15,12347.07,,
16,14580.50,,
17,,15833.41,
18,13322.21,,
19,,16197.41,
20,16134.01,,
21,,,11067.28
22,8975.68,,
23,,11494.09,
24,,11067.28,
25,8918.05,,
26,,15713.08,
27,10401.76,,
28,10429.38,,
29,9117.25,,
30,12094.42,,
31,10615.96,,
32,,11871.06,
33,,,10803.18
34,,10955.45,
35,,10803.18,
36,10121.38,,
37,,11290.95,
38,13399.01,,
39,,,10058.98
40,9042.79,,
41,10166.76,,
42,9557.41,,
43,,10230.76,
44,9155.70,,
45,8888.52,,
46,8880.97,,
47,8433.07,,
48,,10127.69,
49,10939.89,,
50,9488.22,,
51,7262.60,,
52,8976.23,,
53,,10270.86,
54,9473.65,,
55,9155.70,,
56,,13233.13,
57,,10058.98,
58,,10058.98,
59,7532.67,,
60,10034.22,,
61,,10390.93,
62,8518.79,,
63,6774.59,,
64,8477.56,,
65,9467.27,,
66,6875.10,,
67,7675.11,,
68,6129.29,,
69,8527.11,,
70,8344.33,,
71,8266.89,,
72,8525.66,,
73,6969.12,,
74,8553.14,,
75,6765.52,,
76,8836.57,,
77,9107.71,,
78,11148.69,,
79,6655.94,,
80,6680.50,,
81,6611.15,,
82,7786.74,,
83,7712.45,,
84,7149.05,,
85,10430.54,,
86,6436.78,,
87,7149.05,,
88,8657.39,,
89,7298.44,,
90,9125.07,,
91,8570.32,,
92,10190.28,,
93,8464.00,,
94,8702.01,,
95,8309.50,,
96,8478.12,,
97,8728.64,,
98,6173.79,,
99,6480.62,,
100,7147.90,,
101,8678.42,,
102,7532.58,,
103,8423.23,,
104,7605.63,,
105,7605.63,,
106,6838.94,,
107,8976.85,,
108,8600.64,,
109,6457.40,,
110,9358.90,,
111,9467.97,,
112,8518.79,,
113,6556.69,,
114,6644.47,,
115,8897.79,,
116,8493.02,,
117,6480.62,,
118,9021.08,,
119,10059.75,,
120,8944.47,,
121,8047.73,,
122,5888.84,,
123,8518.79,,
124,11148.69,,
125,9678.57,,
126,7635.51,,
127,8976.85,,
128,8287.49,,
129,10086.24,,
130,8664.65,,
131,6272.42,,
132,7491.48,,
133,8026.87,,
134,8088.77,,
135,8749.61,,
136,8518.79,,
137,8140.89,,
138,10206.16,,
139,10793.86,,
140,9358.90,,
141,8630.44,,
142,10464.53,,
143,8874.77,,
144,6173.75,,
145,8944.47,,
146,6552.29,,
147,6272.42,,
148,8863.05,,
149,6655.94,,
150,8632.93,,
151,9812.50,,
152,8244.05,,
153,8863.05,,
154,7970.60,,
155,9906.00,,
156,8518.79,,
157,8694.71,,
158,6875.10,,
159,9140.49,,
160,9476.57,,
161,8518.79,,
162,8808.23,,
163,8512.03,,
164,8173.47,,
165,8640.23,,
166,9378.56,,
167,8518.79,,
168,8993.06,,
169,8026.87,,
170,9200.55,,
171,10059.75,,
172,8026.87,,
173,8690.56,,
174,8598.95,,
175,8430.24,,
176,8493.02,,
177,9487.67,,
178,6875.10,,
179,9440.85,,
180,10556.91,,
181,10556.91,,
182,8173.47,,
183,8765.95,,
184,7263.75,,
185,7443.66,,
186,8863.05,,
187,6064.17,,
188,8702.01,,
189,8570.32,,
190,8163.07,,
191,8684.12,,
192,8041.16,,
193,7919.53,,
194,8553.14,,
195,8256.10,,
196,7149.05,,
197,8845.16,,
198,7013.85,,
199,8570.32,,
200,8893.99,,
201,9977.47,,
202,8690.56,,
203,8587.50,,
204,8518.79,,
205,9476.57,,
206,8944.47,,
207,8552.91,,
208,7148.47,,
209,11577.79,,
210,8075.73,,
211,8423.23,,
212,8587.50,,
213,8863.05,,
214,8690.56,,
215,8206.04,,
216,8690.56,,
217,6948.15,,
218,7845.96,,
219,7563.86,,
220,8102.52,,
221,7906.29,,
222,8598.95,,
223,6436.78,,
224,8690.56,,
225,8389.29,,
226,10259.68,,
227,7340.00,,
228,9911.42,,
229,10230.54,,
230,8587.50,,
231,6875.10,,
232,8389.29,,
233,9282.31,,
234,7765.78,,
235,7760.15,,
236,8976.85,,
237,9052.08,,
238,6436.78,,
239,6580.79,,
240,8684.12,,
241,8834.85,,
242,6272.42,,
243,8477.56,,
244,9732.94,,
245,8832.36,,
246,8694.71,,
247,10389.39,,
248,6274.72,,
249,8702.01,,
250,11148.69,,
251,7518.78,,
252,8845.16,,
253,7872.22,,
254,7555.97,,
255,8227.76,,
256,5582.02,,
257,8684.12,,
258,10861.46,,
