No.,Rejected,Passed,Passed and Better value
0,,,21582.53
1,17687.10,,
2,,,18674.36
3,17834.25,,
4,16661.36,,
5,,,17096.12
6,,17418.83,
7,,,16528.81
8,15183.53,,
9,,16696.73,
10,,17803.22,
11,16264.71,,
12,,,16135.61
13,,,15987.50
14,,,15439.05
15,12347.07,,
16,14580.50,,
17,,15833.41,
18,13322.21,,
19,,16197.41,
20,16134.01,,
21,,,13466.18
22,,14758.71,
23,,13466.18,
24,12328.63,,
25,,17383.84,
26,11937.48,,
27,,,12242.90
28,11293.29,,
29,,14497.82,
30,12762.43,,
31,,13891.52,
32,12068.28,,
33,,,12241.55
34,,12241.55,
35,11724.64,,
36,,12623.32,
37,,15374.69,
38,11275.44,,
39,,,12204.46
40,13137.59,,
41,12025.87,,
42,,,12135.44
43,,12238.47,
44,11980.18,,
45,,,11980.53
46,11037.72,,
47,11863.25,,
48,12735.93,,
49,11731.22,,
50,9955.11,,
51,11824.35,,
52,,12470.97,
53,,11987.33,
54,11697.17,,
55,,14947.73,
56,,12270.70,
57,,12521.48,
58,10215.62,,
59,11386.99,,
60,12392.87,,
61,11290.25,,
62,11738.15,,
63,10830.21,,
64,11037.72,,
65,10593.30,,
66,10363.99,,
67,11746.26,,
68,11041.22,,
69,10110.65,,
70,11792.88,,
71,11412.67,,
72,11824.15,,
73,10938.80,,
74,,12146.67,
75,,12443.81,
76,14895.50,,
77,10839.89,,
78,9801.92,,
79,11069.09,,
80,11832.78,,
81,10449.67,,
82,11285.01,,
83,,14499.04,
84,10642.05,,
85,11285.01,,
86,10575.22,,
87,10143.08,,
88,12630.76,,
89,11843.70,,
90,14299.98,,
91,,12472.02,
92,,11993.56,
93,11092.86,,
94,10571.43,,
95,,12533.98,
96,10404.65,,
97,10681.62,,
98,11446.63,,
99,,12470.97,
100,11631.23,,
101,,12150.82,
102,11697.17,,
103,11697.17,,
104,9899.05,,
105,,12306.30,
106,12801.54,,
107,10930.06,,
108,,13279.85,
109,13371.20,,
110,,12521.48,
111,10756.92,,
112,11094.31,,
113,12198.92,,
114,11755.74,,
115,10681.62,,
116,10066.12,,
117,,13912.51,
118,,12804.74,
119,12460.09,,
120,9599.01,,
121,14895.50,,
122,13118.32,,
123,10383.90,,
124,,12306.30,
125,,11980.53,
126,,12951.27,
127,11642.04,,
128,10493.67,,
129,11594.13,,
130,11653.57,,
131,11731.22,,
132,13008.03,,
133,,12521.48,
134,11796.61,,
135,12901.78,,
136,14043.67,,
137,,13279.85,
138,,,11912.11
139,13697.77,,
140,11520.08,,
141,10329.09,,
142,,12736.33,
143,9921.81,,
144,10425.26,,
145,,12176.81,
146,10771.47,,
147,,12556.11,
148,11409.33,,
149,9608.39,,
150,,12176.81,
151,,11965.09,
152,13705.07,,
153,,12202.29,
154,,12422.99,
155,10969.31,,
156,,13275.61,
157,,13403.87,
158,,12202.29,
159,12225.00,,
160,,,11595.57
161,,11595.57,
162,,,10151.52
163,,10356.25,
164,,10313.98,
165,9799.42,,
166,9696.84,,
167,10076.61,,
168,11659.16,,
169,9696.84,,
170,,,10082.49
171,,,9978.24
172,9273.63,,
173,9857.71,,
174,,11203.47,
175,8370.10,,
176,,10770.55,
177,12268.84,,
178,12268.84,,
179,9707.48,,
180,9565.01,,
181,9099.33,,
182,8934.99,,
183,,10278.77,
184,7289.83,,
185,,10095.52,
186,,,9945.67
187,9042.07,,
188,,10075.16,
189,9774.90,,
190,9359.36,,
191,,,9926.12
192,8606.83,,
193,8586.00,,
194,,10258.41,
195,8750.26,,
196,,9945.67,
197,10301.73,,
198,11858.02,,
199,,10082.49,
200,,9965.21,
201,,11290.16,
202,,10622.61,
203,9375.14,,
204,8594.16,,
205,,13727.68,
206,9532.75,,
207,,9968.69,
208,,9965.21,
209,,10278.77,
210,,10082.49,
211,9696.23,,
212,,10082.49,
213,8389.44,,
214,8641.97,,
215,9000.41,,
216,8692.51,,
217,,,9335.44
218,,9387.56,
219,8303.54,,
220,,9491.81,
221,,9335.44,
222,10275.88,,
223,8966.57,,
224,11197.99,,
225,,11501.54,
226,,9374.53,
227,8732.38,,
228,,9335.44,
229,9619.46,,
230,,9603.75,
231,,,9045.83
232,,9440.02,
233,8895.64,,
234,7870.59,,
235,7689.42,,
236,,9106.92,
237,,9440.53,
238,7398.72,,
239,8871.87,,
240,,10469.98,
241,8791.23,,
242,,9392.34,
243,12226.24,,
244,7759.17,,
245,,9127.28,
246,12275.00,,
247,8609.25,,
248,,9290.17,
249,9301.76,,
250,8282.07,,
251,8840.50,,
252,6723.01,,
253,,9106.92,
254,11938.90,,
255,11906.47,,
256,8578.49,,
257,8854.91,,
258,10485.20,,
