No.,Rejected,Passed,Passed and Better value
0,8828.11,,
1,6494.96,,
2,4525.20,,
3,6296.34,,
4,8233.61,,
5,,,3789.90
6,6203.75,,
7,4040.28,,
8,3940.69,,
9,4076.24,,
10,,5507.98,
11,5137.68,,
12,,3873.69,
13,4005.07,,
14,,4588.97,
15,4315.27,,
16,,4250.90,
17,4228.76,,
18,6484.62,,
19,3679.20,,
20,5313.76,,
21,,,3029.12
22,,3052.81,
23,4700.06,,
24,,3817.32,
25,,3813.45,
26,,3151.53,
27,,3807.50,
28,,3751.97,
29,4872.33,,
30,3112.86,,
31,5753.15,,
32,4336.14,,
33,4221.16,,
34,,3833.07,
35,3870.67,,
36,4518.21,,
37,,3304.55,
38,4093.16,,
39,3651.39,,
40,,3439.84,
41,,3520.87,
42,,3480.30,
43,4449.25,,
44,3545.78,,
45,3842.38,,
46,3898.35,,
47,4052.34,,
48,,3371.13,
49,5532.29,,
50,,3692.52,
51,5008.08,,
52,,4729.13,
53,,3692.52,
54,,3506.55,
55,,3215.70,
56,4179.70,,
57,,3807.50,
58,,3510.72,
59,,4534.78,
60,4167.51,,
61,,3116.58,
62,,3029.12,
63,,3053.99,
64,,3318.47,
65,,3462.30,
66,,3092.30,
67,,3421.41,
68,,3635.95,
69,,3571.76,
70,,3180.38,
71,,3784.70,
72,3273.45,,
73,,3276.44,
74,,,2973.14
75,4219.61,,
76,,4068.52,
77,3841.95,,
78,,3571.76,
79,5029.42,,
80,3107.90,,
81,,3213.82,
82,,3026.45,
83,3697.85,,
84,,3036.32,
85,3680.96,,
86,,3947.58,
87,3931.30,,
88,3625.29,,
89,,3174.85,
90,,2998.02,
91,,3006.90,
92,6367.43,,
93,,3241.17,
94,4352.66,,
95,,2973.14,
96,2961.00,,
97,3359.52,,
98,3711.77,,
99,3770.64,,
100,,4157.78,
101,5647.47,,
102,,3595.08,
103,4184.70,,
104,3371.87,,
105,,3488.41,
106,4806.18,,
107,,3115.30,
108,2879.85,,
109,,3117.43,
110,5029.42,,
111,,3439.37,
112,2910.36,,
113,,3636.54,
114,3475.56,,
115,3996.63,,
116,,3276.43,
117,,3362.10,
118,,3411.26,
119,5060.57,,
120,4418.70,,
121,6082.61,,
122,,3168.61,
123,,2973.14,
124,4670.94,,
125,4288.86,,
126,4471.47,,
127,4265.74,,
128,4285.35,,
129,,3756.19,
130,5081.08,,
131,,3595.08,
132,,3792.98,
133,5029.42,,
134,4631.64,,
135,5647.35,,
136,,2998.02,
137,,3970.17,
138,3832.50,,
139,,3571.76,
140,,3636.54,
141,4830.56,,
142,,3595.08,
143,4873.21,,
144,,4093.39,
145,,3412.84,
146,4219.61,,
147,4058.20,,
148,,3503.76,
149,2945.01,,
150,3483.13,,
151,4524.32,,
152,,3820.95,
153,3932.72,,
154,,4077.46,
155,,3011.64,
156,4361.16,,
157,4934.37,,
158,,3190.94,
159,,3063.47,
160,5564.09,,
161,,3279.96,
162,4218.80,,
163,4053.40,,
164,4355.29,,
165,4057.87,,
166,3352.12,,
167,3610.05,,
168,,4285.38,
169,,3636.54,
170,,4146.23,
171,,3636.54,
172,,3945.54,
173,5605.35,,
174,,3684.52,
175,4967.44,,
176,,,2967.22
177,,3167.59,
178,4552.96,,
179,,4056.52,
180,,3998.50,
181,,3257.46,
182,3919.57,,
183,3711.43,,
184,,3257.46,
185,3512.89,,
186,,3036.32,
187,3477.21,,
188,5289.25,,
189,,2979.66,
190,4601.95,,
191,3206.02,,
192,,3371.48,
193,5641.54,,
194,4274.72,,
195,,3191.63,
196,,4134.03,
197,,3257.46,
198,,3984.04,
199,5023.50,,
200,4148.90,,
201,4771.01,,
202,3552.32,,
203,,3362.10,
204,,2967.22,
205,5793.77,,
206,3049.49,,
207,4232.22,,
208,4838.25,,
209,4082.26,,
210,,3655.32,
211,4390.94,,
212,,3196.09,
213,,3446.41,
214,4596.05,,
215,4117.99,,
216,4425.81,,
217,3518.14,,
218,4880.02,,
219,5258.05,,
220,,2996.20,
221,,,2947.32
222,,3221.27,
223,,3237.55,
224,,3784.70,
225,,4009.78,
226,4182.46,,
227,,3228.67,
228,4097.90,,
229,,3075.02,
230,3560.43,,
231,3484.08,,
232,4148.90,,
233,,3170.74,
234,4060.03,,
235,,3075.02,
236,,2953.24,
237,3793.15,,
238,,3228.67,
239,3489.98,,
240,3353.60,,
241,4089.96,,
242,3892.59,,
243,,3867.15,
244,2974.70,,
245,,3464.10,
246,6038.10,,
247,3311.65,,
248,,3111.51,
249,2854.03,,
250,,3111.51,
251,3167.19,,
252,,3722.23,
253,,2991.74,
254,2943.30,,
255,,2976.93,
256,,2947.32,
257,5136.42,,
258,5180.13,,
259,3913.18,,
260,,2976.70,
261,,3610.72,
262,3111.69,,
263,4262.66,,
264,,3459.14,
265,,3006.31,
266,4102.30,,
267,,4008.91,
268,,3110.65,
269,,3570.82,
270,5003.59,,
271,4298.56,,
272,,3075.02,
273,,3610.72,
274,4801.63,,
275,,3095.40,
276,4797.78,,
277,2925.11,,
278,4874.19,,
279,,3368.02,
280,4355.33,,
281,3156.47,,
282,,,2942.34
283,3087.86,,
284,,3038.59,
285,,2967.22,
286,,2992.10,
287,5432.39,,
288,4039.67,,
289,,3191.12,
290,,3239.12,
291,,2967.22,
292,4022.09,,
293,3052.81,,
294,,3283.25,
295,4391.59,,
296,,3346.60,
297,,3483.97,
298,3298.71,,
299,5437.28,,
300,,3540.96,
301,4605.58,,
302,,2942.34,
303,,3172.46,
304,,3075.02,
305,,2942.34,
306,4240.80,,
307,3657.70,,
308,4091.04,,
309,,2979.66,
310,5616.67,,
311,,2942.34,
312,5409.21,,
313,,3709.59,
314,3746.42,,
315,5001.41,,
316,,4071.20,
317,4757.70,,
318,,2942.34,
319,,3902.78,
320,4097.73,,
321,3905.84,,
322,,3985.59,
323,5616.67,,
324,6417.44,,
325,,3486.27,
326,2849.05,,
327,2963.57,,
328,4321.33,,
329,4669.26,,
330,,3725.98,
331,3578.97,,
332,,3719.15,
333,3020.82,,
334,4663.71,,
335,,3075.02,
336,,3476.09,
337,4459.08,,
338,,3874.01,
339,,3764.19,
340,3980.67,,
341,3609.05,,
342,,3605.74,
343,4444.32,,
344,3843.96,,
345,,3011.45,
346,3327.94,,
347,4709.11,,
348,,2942.34,
349,,2992.10,
350,,3675.53,
351,,3062.06,
352,,3191.63,
353,5689.40,,
354,7025.19,,
355,,3099.26,
356,,3899.01,
357,,3452.63,
358,2906.80,,
359,4509.75,,
360,5394.21,,
361,,2979.66,
362,4342.83,,
363,,4324.56,
364,,4993.36,
365,,3172.46,
366,,3822.72,
367,,3976.44,
368,2793.08,,
369,,4827.16,
370,,2947.32,
371,3250.84,,
372,5606.75,,
373,,3038.59,
374,5725.43,,
375,,4100.62,
376,,4990.77,
377,2912.49,,
378,3195.58,,
379,,3023.19,
380,,3519.94,
381,5280.27,,
382,4709.13,,
383,,3245.86,
384,3784.32,,
385,4124.02,,
386,3312.34,,
387,3804.53,,
388,4447.67,,
389,5886.96,,
390,4956.86,,
391,3553.79,,
392,,3143.73,
393,,4215.07,
394,,3062.06,
395,5616.67,,
396,4390.32,,
397,4862.34,,
398,6596.56,,
399,4670.95,,
400,5478.50,,
401,5643.23,,
402,4128.82,,
403,3579.09,,
404,4678.52,,
405,4379.25,,
406,,3540.96,
407,4998.62,,
408,,2948.27,
409,5542.92,,
410,,4643.17,
411,,3001.57,
412,4448.27,,
413,,4018.41,
414,,4281.31,
415,,3084.87,
416,,3948.20,
417,4179.75,,
418,3594.02,,
419,4295.56,,
420,,2967.22,
421,5339.16,,
422,3061.05,,
423,4458.09,,
424,5110.80,,
425,5616.67,,
426,,2942.34,
427,2920.13,,
428,,3137.61,
