No.,Rejected,Passed,Passed and Better value
0,8828.11,,
1,6494.96,,
2,4525.20,,
3,6296.34,,
4,8233.61,,
5,3789.90,,
6,6519.65,,
7,4364.07,,
8,7231.62,,
9,4661.77,,
10,5836.03,,
11,5834.63,,
12,6386.67,,
13,4572.49,,
14,7746.77,,
15,6553.57,,
16,8262.15,,
17,7407.73,,
18,7368.72,,
19,8263.39,,
20,5629.66,,
21,8828.11,,
22,7880.99,,
23,6365.34,,
24,4903.22,,
25,5503.82,,
26,7563.02,,
27,6774.93,,
28,4776.15,,
29,5601.91,,
30,6865.28,,
31,6725.97,,
32,7204.47,,
33,5629.75,,
34,4623.58,,
35,7065.16,,
36,5320.20,,
37,8273.70,,
38,4900.49,,
39,4796.65,,
40,4154.26,,
41,4401.84,,
42,4648.98,,
43,5475.38,,
44,5329.00,,
45,5700.23,,
46,6032.95,,
47,4662.00,,
48,4351.46,,
49,6780.76,,
50,6893.79,,
51,7850.98,,
52,5787.77,,
53,6893.79,,
54,4398.15,,
55,6435.14,,
56,7362.42,,
57,6853.91,,
58,4482.36,,
59,5308.46,,
60,4967.77,,
61,8461.56,,
62,8828.11,,
63,6121.65,,
64,7416.07,,
65,4502.79,,
66,7942.59,,
67,5234.19,,
68,5343.30,,
69,5029.09,,
70,4141.78,,
71,4417.10,,
72,4343.56,,
73,7800.22,,
74,8318.12,,
75,7454.65,,
76,5057.79,,
77,5595.03,,
78,6752.50,,
79,8075.66,,
80,4171.14,,
81,6916.07,,
82,7927.19,,
83,4295.88,,
84,7942.59,,
85,5564.83,,
86,5499.40,,
87,4967.76,,
88,8065.80,,
89,4385.05,,
90,8343.00,,
91,3644.05,,
92,8204.10,,
93,6975.93,,
94,6122.16,,
95,8318.12,,
96,4111.61,,
97,8704.50,,
98,4521.77,,
99,4838.78,,
100,4988.60,,
101,8828.11,,
102,6853.91,,
103,5621.81,,
104,4694.71,,
105,5154.70,,
106,6054.83,,
107,8065.80,,
108,6165.93,,
109,8462.41,,
110,8075.66,,
111,4549.51,,
112,4655.38,,
113,6893.79,,
114,5060.05,,
115,4785.14,,
116,5134.27,,
117,8450.80,,
118,4898.12,,
119,6733.15,,
120,5980.10,,
121,6379.81,,
122,8148.96,,
123,8828.11,,
124,5559.41,,
