No.,Rejected,Passed,Passed and Better value
0,13713.67,,
1,10641.31,,
2,8066.28,,
3,10376.48,,
4,12930.81,,
5,6349.17,,
6,10582.41,,
7,7222.46,,
8,11632.37,,
9,8252.34,,
10,9308.30,,
11,9752.09,,
12,10467.22,,
13,8102.51,,
14,12339.80,,
15,10655.51,,
16,13031.61,,
17,11907.88,,
18,11766.34,,
19,12933.82,,
20,9512.40,,
21,12572.27,,
22,10439.38,,
23,8521.35,,
24,9381.91,,
25,12122.40,,
26,11006.71,,
27,8432.60,,
28,8899.96,,
29,11124.86,,
30,10925.70,,
31,11569.05,,
32,9578.88,,
33,7496.66,,
34,11392.16,,
35,9129.55,,
36,13045.53,,
37,7918.87,,
38,7758.55,,
39,7514.88,,
40,7891.54,,
41,8258.18,,
42,9291.43,,
43,9096.08,,
44,9593.63,,
45,10007.13,,
46,7759.91,,
47,7803.42,,
48,11087.42,,
49,11166.50,,
50,12426.95,,
51,9764.34,,
52,11166.50,,
53,7675.87,,
54,10562.53,,
55,11783.59,,
56,11113.98,,
57,7991.19,,
58,9137.62,,
59,8588.09,,
60,13207.48,,
61,10143.16,,
62,11316.23,,
63,8002.28,,
64,12646.51,,
65,9053.37,,
66,9191.25,,
67,8772.72,,
68,7557.66,,
69,7485.88,,
70,7882.54,,
71,12387.44,,
72,13009.40,,
73,11905.04,,
74,8753.05,,
75,9536.62,,
76,10977.16,,
77,12716.27,,
78,7686.96,,
79,11179.17,,
80,12627.95,,
81,7733.80,,
82,12646.51,,
83,9318.41,,
84,8886.18,,
85,8626.77,,
86,12794.98,,
87,7935.63,,
88,13043.76,,
89,6834.13,,
90,12973.57,,
91,11279.91,,
92,10256.18,,
93,13009.40,,
94,7562.95,,
95,13542.97,,
96,7679.11,,
97,8493.10,,
98,8614.72,,
99,13713.67,,
100,11113.98,,
101,9573.29,,
102,8316.31,,
103,8894.46,,
104,10062.93,,
105,12794.98,,
106,10208.02,,
107,13208.66,,
108,12716.27,,
109,8084.21,,
110,8285.67,,
111,11166.50,,
112,8826.15,,
113,7699.24,,
114,8901.65,,
115,13258.96,,
116,8351.40,,
117,10270.39,,
118,9992.42,,
119,10406.99,,
120,12895.20,,
121,9416.86,,
122,8572.66,,
123,10033.80,,
124,8634.07,,
