evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,110,104,110
2,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,102,113,104,110,104,110
3,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.0000000000,1.0000000000,100,112,102,110,104,112
4,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.5750000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,101,112,104,110,104,110
5,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,103,110,104,110,104,110
6,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.5000000000,0.5000000000,0.5000000000,3.5000000000,1.0000000000,100,111,102,112,101,113
7,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.5750000000,0.6000000000,0.7500000000,3.5000000000,0.8000000000,102,111,101,111,104,110
8,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.5000000000,0.5000000000,0.5000000000,3.0000000000,1.0000000000,103,113,104,110,100,113
9,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.6500000000,3.5000000000,1.0000000000,104,110,100,113,102,111
10,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.5500000000,0.5500000000,0.7500000000,3.5000000000,1.0000000000,100,113,101,111,103,112
11,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.5750000000,0.6000000000,0.5500000000,3.5000000000,1.0000000000,103,112,103,113,104,111
12,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.5750000000,0.6000000000,0.7000000000,3.0000000000,1.0000000000,104,111,101,112,103,111
13,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.5500000000,0.5500000000,0.7500000000,3.5000000000,1.0000000000,102,112,104,110,104,110
14,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.0000000000,1.0000000000,101,111,102,113,102,112
15,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,102,111,104,113
16,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.5000000000,0.5000000000,0.7500000000,3.5000000000,1.0000000000,104,113,104,110,104,110
17,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,110,104,112
