No.,Rejected,Passed,Passed and Better value
0,8828.11,,
1,6494.96,,
2,4525.20,,
3,6296.34,,
4,8233.61,,
5,3789.90,,
6,6519.65,,
7,4364.07,,
8,7231.62,,
9,4661.77,,
10,5836.03,,
11,5834.63,,
12,6386.67,,
13,4572.49,,
14,7746.77,,
15,6553.57,,
16,8262.15,,
17,7407.73,,
18,7368.72,,
19,8263.39,,
20,5629.66,,
21,7880.99,,
22,6365.34,,
23,4903.22,,
24,5503.82,,
25,7563.02,,
26,6774.93,,
27,4776.15,,
28,5601.91,,
29,6865.28,,
30,6725.97,,
31,7204.47,,
32,5629.75,,
33,4623.58,,
34,7065.16,,
35,5320.20,,
36,8273.70,,
37,4900.49,,
38,4796.65,,
39,4154.26,,
40,4401.84,,
41,4648.98,,
42,5475.38,,
43,5329.00,,
44,5700.23,,
45,6032.95,,
46,4662.00,,
47,4351.46,,
48,6780.76,,
49,6893.79,,
50,7850.98,,
51,5787.77,,
52,6893.79,,
53,4398.15,,
54,6435.14,,
55,7362.42,,
56,6853.91,,
57,4482.36,,
58,5308.46,,
59,4967.77,,
60,8461.56,,
61,6121.65,,
62,7416.07,,
63,4502.79,,
64,7942.59,,
65,5234.19,,
66,5343.30,,
67,5029.09,,
68,4141.78,,
69,4417.10,,
70,4343.56,,
71,7800.22,,
72,8318.12,,
73,7454.65,,
74,5057.79,,
75,5595.03,,
76,6752.50,,
77,8075.66,,
78,4171.14,,
79,6916.07,,
80,7927.19,,
81,4295.88,,
82,7942.59,,
83,5564.83,,
84,5499.40,,
85,4967.76,,
86,8065.80,,
87,4385.05,,
88,8343.00,,
89,3644.05,,
90,8204.10,,
91,6975.93,,
92,6122.16,,
93,8318.12,,
94,4111.61,,
95,8704.50,,
96,4521.77,,
97,4838.78,,
98,4988.60,,
99,8828.11,,
100,6853.91,,
101,5621.81,,
102,4694.71,,
103,5154.70,,
104,6054.83,,
105,8065.80,,
106,6165.93,,
107,8462.41,,
108,8075.66,,
109,4549.51,,
110,4655.38,,
111,6893.79,,
112,5060.05,,
113,4785.14,,
114,5134.27,,
115,8450.80,,
116,4898.12,,
117,6733.15,,
118,5980.10,,
119,6379.81,,
120,8148.96,,
121,5559.41,,
122,5410.55,,
123,5964.40,,
124,4985.83,,
