No.,Rejected,Passed,Passed and Better value
0,,,13713.67
1,10029.85,,
2,7873.02,,
3,7967.39,,
4,9987.35,,
5,,,11113.98
6,8915.58,,
7,,11113.98,
8,,,8553.76
9,,,8088.36
10,7123.60,,
11,,,8000.90
12,8786.00,,
13,,,7479.34
14,9055.46,,
15,7067.20,,
16,9546.72,,
17,8209.74,,
18,,7733.03,
19,,7691.12,
20,,7481.76,
21,,,6555.48
22,5748.59,,
23,6446.10,,
24,,7668.07,
25,,7366.33,
26,,,5804.64
27,,6792.12,
28,,6790.85,
29,8575.12,,
30,5244.51,,
31,8149.23,,
32,5123.06,,
33,5847.62,,
34,6062.91,,
35,,,5434.54
36,,6708.85,
37,6485.13,,
38,6501.52,,
39,,8255.08,
40,6246.59,,
41,5546.50,,
42,5037.19,,
43,5987.78,,
44,,6378.44,
45,4523.46,,
46,5008.71,,
47,,5565.15,
48,5738.10,,
49,,5588.86,
50,5642.01,,
51,,6091.03,
52,5660.76,,
53,,6249.86,
54,5456.95,,
55,,6103.24,
56,,6218.53,
57,,6597.59,
58,5133.94,,
59,5281.71,,
60,6801.69,,
61,6330.63,,
62,5210.55,,
63,5173.23,,
64,5458.73,,
65,3988.70,,
66,5291.70,,
67,7454.29,,
68,5511.15,,
69,4433.53,,
70,4234.16,,
71,5231.65,,
72,6382.36,,
73,4581.98,,
74,5270.42,,
75,6262.17,,
76,4446.16,,
77,4104.14,,
78,6535.28,,
79,5246.48,,
80,5583.12,,
81,4360.22,,
82,5213.63,,
83,5568.41,,
84,5364.87,,
85,5465.13,,
86,4513.98,,
87,5053.09,,
88,5384.15,,
89,5292.68,,
90,8101.09,,
91,4071.92,,
92,5241.35,,
93,6899.34,,
94,5528.09,,
95,5320.23,,
96,4446.16,,
97,6378.71,,
98,4631.26,,
99,8545.46,,
100,9075.09,,
101,6389.03,,
102,6125.55,,
103,5490.94,,
104,5928.11,,
105,9269.21,,
106,5029.40,,
107,,6064.59,
108,7746.50,,
109,,6844.80,
110,5389.03,,
111,,6250.78,
112,5136.83,,
113,4808.07,,
114,6599.87,,
115,5290.25,,
116,4851.07,,
117,5237.94,,
118,,5884.23,
119,,6899.15,
120,6727.09,,
121,5099.38,,
122,6245.73,,
123,,5884.23,
124,5656.12,,
125,6260.58,,
126,,5734.31,
127,4478.50,,
128,,6366.66,
129,,5807.73,
130,6143.40,,
131,,6830.11,
132,6053.45,,
133,5455.25,,
134,5210.40,,
135,5223.23,,
136,,5627.00,
137,6608.94,,
138,,,5284.55
139,,5717.30,
140,,6454.53,
141,4662.95,,
142,,5595.18,
143,5034.83,,
144,5019.28,,
145,5910.74,,
146,,5511.29,
147,6241.64,,
148,5623.16,,
149,5055.51,,
150,6625.15,,
151,8700.07,,
152,8021.13,,
153,7326.56,,
154,,5284.55,
155,7260.10,,
156,,5756.68,
157,6506.30,,
158,5117.47,,
159,,5752.42,
160,8460.12,,
161,,5587.52,
162,8601.87,,
163,,5906.37,
164,,6239.75,
165,8275.44,,
166,6871.63,,
167,8774.98,,
168,4977.14,,
169,6486.55,,
170,,5284.55,
171,,7238.03,
172,5178.99,,
173,,6515.58,
174,7174.05,,
175,5555.10,,
176,,6356.52,
177,,6816.38,
178,4938.78,,
179,5980.90,,
180,6130.54,,
181,,5811.24,
182,,5621.94,
183,5374.87,,
184,7066.11,,
185,5775.43,,
186,,7617.02,
187,,5799.86,
188,9615.67,,
189,,6629.51,
190,,5284.55,
191,5198.20,,
192,5401.26,,
193,,6819.18,
194,6118.57,,
195,,5949.25,
196,5559.84,,
197,,5511.29,
198,,5742.61,
199,,5545.20,
200,,7718.15,
201,5293.20,,
202,5823.86,,
203,7723.36,,
204,,5284.55,
205,8409.66,,
206,5342.23,,
207,,5346.38,
208,7510.86,,
209,6167.75,,
210,5154.01,,
211,7528.81,,
212,7774.75,,
213,,,5225.91
214,5538.78,,
215,6022.75,,
216,6253.06,,
217,5770.89,,
218,6212.41,,
219,5830.86,,
220,6594.85,,
221,5940.80,,
222,,5597.29,
223,,5418.29,
224,,6187.64,
225,6292.23,,
226,5167.51,,
227,5008.99,,
