No.,Rejected,Passed,Passed and Better value
0,,,21582.53
1,17724.75,,
2,14323.75,,
3,17387.89,,
4,,,20599.54
5,11662.89,,
6,17586.71,,
7,12647.31,,
8,17540.11,,
9,14444.39,,
10,,,15659.00
11,,,15114.63
12,12736.78,,
13,11918.94,,
14,,16495.41,
15,,,12923.18
16,,,12871.13
17,12968.06,,
18,,16231.93,
19,12774.70,,
20,14310.51,,
21,,,12314.05
22,,13830.21,
23,12044.59,,
24,,12359.20,
25,,13851.80,
26,,,12074.35
27,12761.44,,
28,12854.43,,
29,11467.96,,
30,15355.26,,
31,,12956.02,
32,12479.96,,
33,10922.28,,
34,,12444.57,
35,13574.16,,
36,,12628.17,
37,11103.57,,
38,10751.80,,
39,10401.86,,
40,11372.67,,
41,11300.00,,
42,12994.63,,
43,12566.80,,
44,14173.10,,
45,13495.74,,
46,11283.24,,
47,12026.45,,
48,,15593.19,
49,,12144.25,
50,,14401.05,
51,,14189.53,
52,,12144.25,
53,10315.89,,
54,11340.47,,
55,,12965.50,
56,,12359.29,
57,11529.36,,
58,12892.67,,
59,12929.42,,
60,,12327.07,
61,11058.41,,
62,11920.55,,
63,11290.13,,
64,,12161.23,
65,13264.31,,
66,13160.54,,
67,12801.83,,
68,10640.70,,
69,10500.61,,
70,11916.98,,
71,,12990.56,
72,,12074.35,
73,,13127.13,
74,12302.44,,
75,13019.58,,
76,,,11887.83
77,,14050.62,
78,9852.11,,
79,11289.51,,
80,,11952.99,
81,11030.80,,
82,,11974.71,
83,13659.54,,
84,,,11813.06
85,11173.08,,
86,,12862.25,
87,11900.63,,
88,,,11666.96
89,9592.14,,
90,,16537.12,
91,12131.75,,
92,13934.26,,
93,11623.13,,
94,9672.77,,
95,,12303.89,
96,10554.47,,
97,11545.44,,
98,12298.16,,
99,,15324.16,
100,,11708.05,
101,,12311.24,
102,10449.68,,
103,13119.06,,
104,,13009.94,
105,,,11400.12
106,10181.05,,
107,,11610.51,
108,,13660.88,
109,11134.99,,
110,9754.93,,
111,,11514.26,
112,10998.28,,
113,11569.04,,
114,12216.05,,
115,,11923.33,
116,10826.58,,
117,15014.07,,
118,,12629.33,
119,14021.11,,
120,,11513.13,
121,12690.32,,
122,11924.65,,
123,,12725.09,
124,11577.20,,
125,11728.14,,
126,10398.26,,
127,13225.29,,
128,,,11017.87
129,,11071.97,
130,,13545.04,
131,,12844.19,
132,,13965.65,
133,9965.91,,
134,,12072.56,
135,10182.60,,
136,,,10976.78
137,,11090.92,
138,11654.93,,
139,,,10421.83
140,11371.51,,
141,,11695.03,
142,9023.17,,
143,,10926.15,
144,10452.13,,
145,,11718.89,
146,10019.94,,
147,11276.55,,
148,12665.76,,
149,9380.61,,
150,10083.82,,
151,10560.82,,
152,10177.20,,
153,,11439.44,
154,11648.28,,
155,10493.09,,
156,,,10299.52
157,11783.34,,
158,,10796.28,
159,10898.80,,
160,9206.38,,
161,10781.61,,
162,11023.28,,
163,9061.35,,
164,10898.07,,
165,10939.67,,
166,,,9772.38
167,,10544.77,
168,,9772.38,
169,9813.11,,
170,,12811.98,
171,9158.67,,
172,11267.64,,
173,9493.70,,
174,,10026.43,
175,9481.78,,
176,8773.54,,
177,11454.69,,
178,7914.53,,
179,10380.40,,
180,9501.74,,
181,9114.91,,
182,9149.44,,
183,9706.14,,
184,10627.10,,
185,,12215.66,
186,,,9750.47
187,10786.29,,
188,7662.20,,
189,9293.89,,
190,12693.34,,
191,,10901.53,
192,,10123.95,
193,10764.48,,
194,8492.80,,
195,8452.02,,
196,10876.30,,
197,,10663.63,
198,11214.49,,
199,8807.05,,
200,,10479.12,
201,12710.49,,
202,6789.56,,
203,10065.51,,
204,11597.99,,
205,11328.57,,
206,7869.95,,
207,11872.16,,
208,11614.90,,
209,,10523.74,
210,,13765.72,
211,,13342.66,
212,10896.65,,
213,10187.34,,
214,10271.63,,
215,,13458.52,
216,10197.41,,
217,9693.49,,
218,,10184.04,
219,8492.80,,
220,8356.15,,
221,9803.79,,
222,11591.37,,
223,,10202.11,
224,,11055.28,
225,,9918.49,
226,11291.11,,
227,10115.00,,
228,11324.62,,
229,10403.46,,
230,9896.88,,
231,,9918.49,
232,9530.06,,
233,,10071.90,
234,,10202.11,
235,,12373.82,
236,,10409.31,
237,9393.09,,
238,10505.45,,
239,10025.13,,
240,8076.05,,
241,9724.06,,
242,,15262.31,
243,12226.94,,
244,,9982.77,
245,8263.50,,
246,,9982.77,
247,8952.82,,
248,9888.84,,
249,9624.01,,
250,10799.80,,
251,9587.87,,
252,9693.49,,
253,11788.83,,
