No.,Rejected,Passed,Passed and Better value
0,,,8646.94
1,11336.35,,
2,7429.61,,
3,7509.75,,
4,12071.79,,
5,10806.74,,
6,9030.15,,
7,9092.16,,
8,11347.63,,
9,8667.65,,
10,10676.33,,
11,8718.33,,
12,13457.03,,
13,6846.54,,
14,10376.32,,
15,10363.24,,
16,8789.21,,
17,8092.01,,
18,9913.45,,
19,7875.61,,
20,7602.39,,
21,13160.21,,
22,11217.98,,
23,10792.76,,
24,10078.23,,
25,10538.45,,
26,10985.48,,
27,7483.16,,
28,7795.83,,
29,8829.22,,
30,8862.68,,
31,10443.47,,
32,7555.22,,
33,8787.93,,
34,10045.66,,
35,7397.52,,
36,12535.65,,
37,10698.67,,
38,9903.42,,
39,8373.72,,
40,7271.63,,
41,8691.08,,
42,12207.49,,
43,12517.21,,
44,9740.51,,
45,9499.54,,
46,9518.50,,
47,8948.14,,
48,12772.09,,
49,10549.47,,
50,9500.30,,
51,7815.31,,
52,9102.70,,
53,12042.24,,
54,8627.99,,
55,7522.09,,
56,11832.85,,
57,8513.99,,
58,,11470.73,
59,8341.77,,
60,8003.43,,
61,12471.02,,
62,,11759.45,
63,9004.18,,
64,8923.76,,
65,9507.99,,
66,8099.17,,
67,10804.16,,
68,7536.38,,
69,7675.14,,
70,,11427.73,
71,10487.84,,
72,9241.71,,
73,12594.83,,
74,11943.62,,
75,8193.18,,
76,9183.24,,
77,12495.88,,
78,8748.86,,
79,6863.35,,
80,10231.54,,
81,8764.31,,
82,,9530.89,
83,9659.44,,
84,8975.76,,
85,,10726.71,
86,9241.03,,
87,9365.51,,
88,7888.96,,
89,6711.84,,
90,,9426.46,
91,10317.56,,
92,10918.22,,
93,9244.99,,
94,7766.64,,
95,8226.46,,
96,6540.49,,
97,11067.19,,
98,11062.41,,
99,7793.28,,
100,8012.62,,
101,9271.17,,
102,7446.39,,
103,11277.86,,
104,10038.30,,
105,9629.07,,
106,7625.94,,
107,8079.80,,
108,,12307.64,
109,8235.71,,
110,9561.37,,
111,7363.51,,
112,9368.06,,
113,9617.56,,
114,8155.88,,
115,,10776.87,
116,,11492.71,
117,7754.09,,
118,6535.11,,
119,8446.71,,
120,9411.31,,
121,7426.58,,
122,13016.12,,
123,12448.59,,
124,10478.44,,
125,9869.88,,
126,8580.75,,
127,7814.70,,
128,7658.22,,
129,9304.60,,
130,9019.31,,
131,7381.83,,
132,7903.99,,
133,13329.82,,
134,11640.85,,
135,,10001.85,
136,13258.10,,
137,9348.58,,
138,6742.42,,
139,8173.50,,
140,12355.87,,
141,13489.77,,
142,8996.90,,
143,9528.88,,
144,6755.63,,
145,8940.09,,
146,7512.10,,
147,7405.59,,
148,7601.62,,
149,8640.64,,
150,7832.76,,
151,8147.01,,
152,8847.02,,
153,8352.87,,
154,14604.47,,
155,9120.06,,
156,,9316.74,
157,7472.92,,
158,14575.45,,
159,6024.02,,
160,8301.06,,
161,8694.50,,
162,8275.77,,
163,8395.82,,
164,7399.93,,
165,7857.80,,
166,11749.26,,
167,12690.67,,
168,11446.70,,
169,9728.77,,
170,9814.24,,
171,9091.75,,
172,11873.16,,
173,10888.66,,
174,,8859.69,
175,10746.61,,
176,12412.40,,
177,8076.82,,
178,9484.99,,
179,7778.20,,
180,10098.36,,
181,8515.15,,
182,9996.87,,
183,7845.25,,
184,7175.17,,
185,7445.18,,
186,10079.86,,
187,10786.01,,
188,8983.34,,
189,7285.10,,
190,14845.63,,
191,9180.67,,
192,11804.31,,
193,9188.73,,
194,7258.58,,
195,9607.58,,
196,8826.57,,
197,9043.79,,
198,7228.12,,
199,8411.41,,
200,8925.05,,
201,,10999.41,
202,11611.02,,
203,11660.80,,
204,7784.46,,
205,9426.14,,
206,8430.72,,
207,8810.85,,
208,10047.73,,
209,10256.23,,
210,8631.83,,
211,8227.51,,
212,8266.94,,
213,9180.87,,
214,8731.25,,
215,8793.35,,
216,7066.64,,
217,7542.28,,
218,9017.52,,
219,9285.30,,
220,12640.72,,
221,9514.66,,
222,9545.10,,
223,10602.05,,
224,8851.65,,
225,9254.54,,
226,8455.35,,
227,9176.34,,
228,10502.38,,
229,9343.65,,
230,12898.08,,
231,8981.06,,
232,9211.18,,
233,7966.87,,
234,7416.55,,
235,7101.62,,
236,8694.24,,
237,6648.73,,
238,9229.62,,
239,8433.82,,
240,8184.38,,
241,12584.17,,
242,,9779.74,
243,,10370.43,
244,7832.42,,
245,12873.93,,
246,8255.26,,
247,12429.88,,
248,8364.48,,
249,13581.22,,
250,9030.21,,
251,10363.48,,
252,9137.66,,
253,9648.08,,
254,8847.70,,
255,10275.28,,
256,8923.84,,
257,6918.40,,
258,7277.88,,
259,7912.09,,
260,8886.60,,
261,9991.19,,
262,8592.12,,
263,10337.05,,
264,11215.61,,
265,13376.41,,
