USER_HCA valid=True; cost=8646.93688
PAIR part=0; db=100; sp=110; valid=False; cost=0
PAIR part=0; db=100; sp=111; valid=False; cost=0
PAIR part=0; db=100; sp=112; valid=False; cost=0
PAIR part=0; db=100; sp=113; valid=False; cost=0
PAIR part=0; db=101; sp=110; valid=True; cost=8573.88408
PAIR part=0; db=101; sp=111; valid=False; cost=0
PAIR part=0; db=101; sp=112; valid=False; cost=0
PAIR part=0; db=101; sp=113; valid=False; cost=0
PAIR part=0; db=102; sp=110; valid=False; cost=0
PAIR part=0; db=102; sp=111; valid=True; cost=8646.93688
PAIR part=0; db=102; sp=112; valid=False; cost=0
PAIR part=0; db=102; sp=113; valid=False; cost=0
PAIR part=0; db=103; sp=110; valid=False; cost=0
PAIR part=0; db=103; sp=111; valid=False; cost=0
PAIR part=0; db=103; sp=112; valid=True; cost=8960.83563
PAIR part=0; db=103; sp=113; valid=False; cost=0
PAIR part=0; db=104; sp=110; valid=False; cost=0
PAIR part=0; db=104; sp=111; valid=False; cost=0
PAIR part=0; db=104; sp=112; valid=False; cost=0
PAIR part=0; db=104; sp=113; valid=True; cost=8968.3692
PAIR part=1; db=100; sp=110; valid=True; cost=8646.93688
PAIR part=1; db=100; sp=111; valid=False; cost=0
PAIR part=1; db=100; sp=112; valid=False; cost=0
PAIR part=1; db=100; sp=113; valid=False; cost=0
PAIR part=1; db=101; sp=110; valid=True; cost=8800.34776
PAIR part=1; db=101; sp=111; valid=True; cost=8683.46328
PAIR part=1; db=101; sp=112; valid=True; cost=8625.02104
PAIR part=1; db=101; sp=113; valid=False; cost=0
PAIR part=1; db=102; sp=110; valid=True; cost=8997.59032
PAIR part=1; db=102; sp=111; valid=True; cost=8814.95832
PAIR part=1; db=102; sp=112; valid=True; cost=8723.64232
PAIR part=1; db=102; sp=113; valid=True; cost=8668.85272
PAIR part=1; db=103; sp=110; valid=True; cost=9305.78182
PAIR part=1; db=103; sp=111; valid=True; cost=9020.41932
PAIR part=1; db=103; sp=112; valid=True; cost=8877.73807
PAIR part=1; db=103; sp=113; valid=True; cost=8792.12932
PAIR part=1; db=104; sp=110; valid=False; cost=0
PAIR part=1; db=104; sp=111; valid=True; cost=9165.61176
PAIR part=1; db=104; sp=112; valid=True; cost=8986.6324
PAIR part=1; db=104; sp=113; valid=True; cost=8879.244784
PAIR part=2; db=100; sp=110; valid=False; cost=0
PAIR part=2; db=100; sp=111; valid=False; cost=0
PAIR part=2; db=100; sp=112; valid=False; cost=0
PAIR part=2; db=100; sp=113; valid=False; cost=0
PAIR part=2; db=101; sp=110; valid=True; cost=8646.93688
PAIR part=2; db=101; sp=111; valid=False; cost=0
PAIR part=2; db=101; sp=112; valid=False; cost=0
PAIR part=2; db=101; sp=113; valid=False; cost=0
PAIR part=2; db=102; sp=110; valid=True; cost=8972.12056
PAIR part=2; db=102; sp=111; valid=True; cost=8671.02456
PAIR part=2; db=102; sp=112; valid=False; cost=0
PAIR part=2; db=102; sp=113; valid=False; cost=0
PAIR part=2; db=103; sp=110; valid=True; cost=9480.22006
PAIR part=2; db=103; sp=111; valid=True; cost=9009.75756
PAIR part=2; db=103; sp=112; valid=True; cost=8774.52631
PAIR part=2; db=103; sp=113; valid=True; cost=8633.38756
PAIR part=2; db=104; sp=110; valid=False; cost=0
PAIR part=2; db=104; sp=111; valid=True; cost=9249.12888
PAIR part=2; db=104; sp=112; valid=True; cost=8954.0548
PAIR part=2; db=104; sp=113; valid=True; cost=8777.010352
