No.,Rejected,Passed,Passed and Better value
0,,,21582.53
1,20640.15,,
2,,,15741.79
3,13616.31,,
4,,16173.59,
5,13023.04,,
6,,16173.59,
7,,,15627.99
8,10992.51,,
9,12393.24,,
10,,20399.88,
11,14344.82,,
12,,,14881.84
13,14109.12,,
14,,,14291.42
15,12686.49,,
16,13864.26,,
17,13996.05,,
18,14270.49,,
19,,15697.46,
20,,,14045.18
21,10290.89,,
22,9279.41,,
23,9478.37,,
24,8936.16,,
25,8941.92,,
26,14621.75,,
27,9600.25,,
28,10423.18,,
29,8783.98,,
30,12240.41,,
31,10430.00,,
32,10913.64,,
33,9435.51,,
34,,,10001.14
35,,10948.00,
36,,10001.14,
37,9563.07,,
38,,14453.81,
39,,,9832.82
40,8925.53,,
41,9242.88,,
42,11234.64,,
43,10896.44,,
44,8165.68,,
45,,10808.38,
46,10864.08,,
47,10196.66,,
48,,12697.28,
49,,9870.14,
50,7028.42,,
51,9897.09,,
52,9182.46,,
53,10259.80,,
54,10769.37,,
55,10957.03,,
56,,9952.55,
57,14631.83,,
58,10511.59,,
59,9514.85,,
60,10549.31,,
61,,9837.80,
62,8045.17,,
63,7571.19,,
64,9771.73,,
65,8421.54,,
66,7482.64,,
67,7676.69,,
68,8013.12,,
69,7841.93,,
70,8964.39,,
71,8721.11,,
72,8451.97,,
73,7612.55,,
74,6758.07,,
75,8179.79,,
76,11197.89,,
77,8186.31,,
78,13614.94,,
79,7721.18,,
80,7555.27,,
81,8860.35,,
82,7874.88,,
83,8380.11,,
84,8310.04,,
85,10603.22,,
86,7078.61,,
87,7223.17,,
88,7769.67,,
89,7843.17,,
90,7407.60,,
91,6775.19,,
92,8915.10,,
93,9806.32,,
94,7489.71,,
95,8177.85,,
96,8082.81,,
97,7784.99,,
98,6103.97,,
99,7232.81,,
100,6468.68,,
101,6277.22,,
102,9393.22,,
103,8003.27,,
104,8858.68,,
105,8045.10,,
106,7548.60,,
107,,10110.72,
108,9909.48,,
109,10723.98,,
110,10773.31,,
111,,12538.31,
112,,10560.97,
113,8791.92,,
114,8694.36,,
115,,,9828.77
116,8090.74,,
117,9867.86,,
118,,10078.20,
119,11574.57,,
120,8736.77,,
121,,,9706.08
122,8282.72,,
123,8031.16,,
