No.,Rejected,Passed,Passed and Better value
0,,,13713.67
1,10641.31,,
2,8066.28,,
3,10376.48,,
4,,,12930.81
5,6349.17,,
6,,,10582.41
7,7007.33,,
8,8929.12,,
9,8294.34,,
10,,,9235.09
11,8887.81,,
12,,,8459.40
13,7370.61,,
14,,9058.52,
15,,,8221.13
16,,,7945.41
17,7833.62,,
18,9667.22,,
19,7767.34,,
20,8677.37,,
21,,,7388.33
22,8621.58,,
23,7121.30,,
24,,,7370.75
25,,8117.87,
26,,7408.12,
27,6907.61,,
28,7624.52,,
29,6551.47,,
30,9704.99,,
31,7995.95,,
32,7317.42,,
33,5873.85,,
34,,7606.60,
35,,7909.18,
36,,7632.36,
37,6054.02,,
38,6351.06,,
39,,,5600.65
40,6219.76,,
41,5872.82,,
42,7385.19,,
43,6134.81,,
44,7408.25,,
45,,6774.67,
46,6436.00,,
47,6837.99,,
48,,8760.12,
49,,6165.33,
50,8187.81,,
51,,7571.06,
52,,6165.33,
53,,5665.17,
54,,,5515.95
55,,6828.83,
56,6327.33,,
57,,6215.77,
58,,7111.40,
59,7729.93,,
60,,5696.85,
61,5399.04,,
62,,6183.88,
63,,6142.50,
64,,5528.19,
65,7030.89,,
66,,6766.95,
67,,6552.47,
68,5645.78,,
69,,6094.61,
70,6609.51,,
71,,6015.96,
72,,,5498.78
73,6942.23,,
74,7050.40,,
75,7039.88,,
76,,5944.77,
77,7929.96,,
78,4833.24,,
79,,5563.62,
80,,5498.78,
81,6059.76,,
82,,5511.02,
83,7153.48,,
84,6598.62,,
85,,6576.79,
86,,6724.13,
87,6715.47,,
88,,5533.13,
89,5023.22,,
90,10070.97,,
91,6792.30,,
92,8233.71,,
93,,5498.78,
94,5103.30,,
95,,6032.35,
96,6251.49,,
97,7239.80,,
98,,7512.15,
99,8886.85,,
100,,6091.69,
101,6971.33,,
102,5595.75,,
103,7609.77,,
104,7492.01,,
105,,5608.95,
106,5117.62,,
107,,5698.03,
108,7929.96,,
109,,6518.50,
110,5190.50,,
111,,6148.16,
112,6462.07,,
113,6300.39,,
114,6962.49,,
115,,5914.98,
116,,5553.15,
117,9233.24,,
