No.,Rejected,Passed,Passed and Better value
0,,,8573.88
1,12066.78,,
2,8135.55,,
3,8563.14,,
4,10439.35,,
5,9935.08,,
6,7608.75,,
7,10081.87,,
8,8020.01,,
9,7836.17,,
10,,9681.25,
11,7713.99,,
12,10379.76,,
13,7815.85,,
14,7505.59,,
15,9852.02,,
16,7350.87,,
17,7844.24,,
18,8372.19,,
19,8243.57,,
20,8435.80,,
21,10447.51,,
22,7203.33,,
23,7553.91,,
24,10277.31,,
25,7900.45,,
26,7580.41,,
27,10171.61,,
28,8087.10,,
29,8400.92,,
30,7599.34,,
31,10960.63,,
32,12174.59,,
33,8853.51,,
34,7431.43,,
35,8469.53,,
36,8329.74,,
37,7735.78,,
38,8391.27,,
39,7648.41,,
40,9482.44,,
41,9557.40,,
42,10411.60,,
43,7931.04,,
44,6121.37,,
45,8349.91,,
46,9144.58,,
47,9773.89,,
48,14426.62,,
49,7698.81,,
50,9322.79,,
51,7806.83,,
52,7478.09,,
53,7313.72,,
54,7215.10,,
55,,8573.88,
56,7989.46,,
57,7697.25,,
58,7521.92,,
59,9560.10,,
60,,8646.94,
61,8190.36,,
62,7916.41,,
63,11101.05,,
64,9674.24,,
65,,8960.84,
66,8532.79,,
67,12190.00,,
68,10400.20,,
69,9505.31,,
70,,8968.37,
71,,8573.88,
72,8508.14,,
73,8475.26,,
74,8455.54,,
75,,8727.29,
76,,8610.41,
77,,,8551.97
78,8516.90,,
79,,8924.54,
80,,8741.91,
81,,8650.59,
82,,8595.80,
83,,9232.73,
84,,8947.37,
85,,8804.69,
86,,8719.08,
87,9450.52,,
88,,9092.56,
89,,8913.58,
90,,8806.19,
91,8299.05,,
92,8190.65,,
93,8136.46,,
94,8103.94,,
95,,8551.97,
96,8359.27,,
97,8262.92,,
98,8205.11,,
99,,8877.15,
100,,8576.06,
101,8425.51,,
102,8335.18,,
103,,9385.25,
104,,8914.79,
105,,8679.56,
106,,,8538.42
107,9744.31,,
108,,9154.16,
109,,8859.09,
110,,8682.04,
111,7532.81,,
112,9448.63,,
113,9927.84,,
114,10461.76,,
115,12412.48,,
116,9533.31,,
117,7326.56,,
118,6334.43,,
119,10031.71,,
120,8935.26,,
121,8898.02,,
122,8972.20,,
123,7288.92,,
124,9174.59,,
