evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,True,PASS_IMPLEMENTED_PROJECT_CHECKS,8573.8840800000,8573.8840800000,0.2000000000,0.4000000000,0.3000000000,3.0000000000,1.0000000000,101,110,100,110,101,110
2,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.3000000000,0.4000000000,3.5000000000,0.9000000000,103,110,100,110,103,112
3,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2250000000,0.4500000000,0.3000000000,2.5000000000,1.0000000000,102,112,102,110,100,112
4,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2250000000,0.4500000000,0.3500000000,2.5000000000,0.9000000000,102,111,100,112,101,111
5,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.3500000000,0.3000000000,3.0000000000,1.0000000000,103,110,100,110,100,111
6,neighbor,False,MEMBER_FLEXURE,999999999.0000000000,8573.8840800000,0.2500000000,0.4000000000,0.3500000000,3.0000000000,1.0000000000,102,110,100,110,100,110
7,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,8573.8840800000,0.2000000000,0.3500000000,0.3000000000,3.5000000000,1.0000000000,100,110,100,110,100,111
8,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.4000000000,0.5000000000,3.0000000000,0.9000000000,100,110,100,110,103,110
9,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.4500000000,0.3000000000,2.5000000000,1.0000000000,101,110,100,112,100,110
10,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8573.8840800000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,0.8000000000,102,111,100,110,103,111
11,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,9681.2456250000,8573.8840800000,0.2250000000,0.3000000000,0.3500000000,3.0000000000,1.0000000000,102,110,102,110,102,112
12,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8573.8840800000,0.2500000000,0.3500000000,0.3000000000,2.5000000000,1.0000000000,101,112,102,110,102,110
13,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.3000000000,0.4500000000,2.5000000000,1.0000000000,103,110,100,110,100,112
14,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2500000000,0.3500000000,0.3000000000,3.5000000000,0.9000000000,100,111,102,110,100,112
15,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8573.8840800000,0.2250000000,0.3000000000,0.4500000000,2.5000000000,1.0000000000,100,110,100,110,101,111
16,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.4500000000,0.4500000000,2.5000000000,1.0000000000,102,110,100,112,102,112
17,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8573.8840800000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,0.8000000000,100,110,102,110,103,112
18,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,8573.8840800000,0.2250000000,0.3500000000,0.3000000000,3.5000000000,1.0000000000,100,110,100,111,100,110
19,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.4500000000,0.3000000000,3.0000000000,1.0000000000,100,110,101,110,103,112
20,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,8573.8840800000,0.2000000000,0.3500000000,0.3500000000,3.0000000000,1.0000000000,102,112,100,110,101,110
21,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.4500000000,0.3000000000,3.5000000000,0.8000000000,100,110,100,110,101,111
22,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2500000000,0.4000000000,0.5000000000,3.0000000000,0.8000000000,100,110,100,110,103,110
23,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8573.8840800000,0.2000000000,0.3500000000,0.3000000000,2.5000000000,0.9000000000,100,110,100,110,102,110
24,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.4000000000,0.3000000000,3.0000000000,1.0000000000,100,110,100,110,100,110
25,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8573.8840800000,0.2000000000,0.4500000000,0.4500000000,2.5000000000,0.9000000000,102,110,100,110,102,110
26,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,8573.8840800000,0.2000000000,0.5000000000,0.3000000000,2.5000000000,1.0000000000,100,110,102,110,100,112
27,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.4000000000,0.3000000000,3.5000000000,1.0000000000,100,111,100,110,100,111
28,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2250000000,0.5000000000,0.3000000000,3.5000000000,1.0000000000,100,110,100,110,103,110
29,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,8573.8840800000,0.2000000000,0.5000000000,0.3500000000,2.5000000000,1.0000000000,100,110,100,110,102,111
30,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8573.8840800000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,1.0000000000,102,110,100,110,101,110
31,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8573.8840800000,0.2000000000,0.3500000000,0.4500000000,2.5000000000,1.0000000000,100,110,100,110,100,110
32,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.5000000000,0.5000000000,3.5000000000,1.0000000000,100,110,101,112,102,110
33,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2250000000,0.3500000000,0.5500000000,3.5000000000,0.9000000000,101,110,100,111,103,110
34,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,8573.8840800000,0.2000000000,0.3500000000,0.3000000000,3.5000000000,0.9000000000,101,110,102,111,102,112
35,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,8573.8840800000,0.2000000000,0.3000000000,0.3500000000,3.0000000000,0.9000000000,101,111,100,111,100,110
36,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,8573.8840800000,0.2250000000,0.3500000000,0.3000000000,3.5000000000,1.0000000000,101,111,100,110,102,111
37,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2500000000,0.3000000000,0.4000000000,3.0000000000,0.8000000000,100,111,100,110,102,110
38,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8573.8840800000,0.2250000000,0.3500000000,0.3000000000,2.5000000000,1.0000000000,101,112,102,111,103,110
39,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,8573.8840800000,0.2000000000,0.5000000000,0.3000000000,2.5000000000,1.0000000000,101,111,100,112,103,110
40,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.5000000000,0.3000000000,2.5000000000,0.9000000000,100,110,100,110,100,110
41,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.5000000000,0.3000000000,3.5000000000,1.0000000000,101,112,102,111,103,111
42,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8573.8840800000,0.2000000000,0.3500000000,0.3500000000,2.5000000000,1.0000000000,102,110,102,110,103,111
43,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,8573.8840800000,0.2250000000,0.3000000000,0.4000000000,3.5000000000,0.9000000000,103,112,100,110,102,110
44,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,8573.8840800000,0.2250000000,0.4500000000,0.3500000000,2.5000000000,1.0000000000,101,111,100,111,101,111
45,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,8573.8840800000,0.2000000000,0.3000000000,0.3000000000,2.5000000000,1.0000000000,100,112,101,110,100,110
