No.,Rejected,Passed,Passed and Better value
0,,,21582.53
1,,,18155.89
2,,,14990.07
3,,15046.41,
4,16820.57,,
5,,16348.23,
6,,16317.98,
7,11771.72,,
8,15630.85,,
9,,,13766.74
10,,18336.38,
11,,13933.97,
12,13766.89,,
13,,14006.39,
14,13643.46,,
15,,,12919.38
16,15249.57,,
17,,14824.87,
18,12189.37,,
19,13936.14,,
20,11960.34,,
21,13322.04,,
22,11623.81,,
23,10323.96,,
24,12282.01,,
25,11029.15,,
26,13113.17,,
27,,16858.64,
28,14523.31,,
29,12679.09,,
30,,14948.44,
31,,15463.80,
32,13724.19,,
33,,14007.54,
34,12644.79,,
35,11949.00,,
36,10034.52,,
37,,14065.35,
38,13960.32,,
39,11954.01,,
40,11698.30,,
41,11888.29,,
42,12784.83,,
43,,13408.69,
44,,14881.06,
45,11792.07,,
46,9461.70,,
47,10805.65,,
48,11606.44,,
49,,15021.69,
50,13082.62,,
51,14919.89,,
52,15046.79,,
53,10044.02,,
54,11629.41,,
55,,12961.89,
56,11674.86,,
57,,16564.56,
58,,16103.01,
59,12545.90,,
60,12118.39,,
61,16503.50,,
62,11666.89,,
63,,14518.64,
64,15204.25,,
65,13203.96,,
66,11166.11,,
67,10837.38,,
68,10673.01,,
69,10574.39,,
70,,,11933.17
71,11348.75,,
72,11056.53,,
73,10881.21,,
74,,12919.38,
75,,12006.22,
76,11549.64,,
77,11275.69,,
78,,14460.34,
79,,13033.53,
80,,12320.12,
81,,,11892.08
82,,15549.28,
83,,13759.49,
84,,12864.59,
85,,12327.65,
86,,,11446.91
87,,,11402.49
88,11380.27,,
89,11366.95,,
90,,11550.57,
91,,11471.59,
92,,11432.10,
93,,11408.41,
94,,11683.84,
95,,11560.44,
96,,11498.74,
97,,11461.72,
98,,11892.08,
99,,11699.26,
100,,11602.86,
101,,11545.01,
102,12039.23,,
103,,11797.37,
104,,11676.43,
105,,11603.88,
106,11124.69,,
107,11005.63,,
108,10946.10,,
109,10910.39,,
110,,11402.49,
111,11190.83,,
112,11085.00,,
113,11021.51,,
114,,11759.66,
115,,11428.94,
116,11263.59,,
117,11164.37,,
118,,12317.73,
119,,11800.99,
120,,11542.63,
121,,,11387.60
122,12712.11,,
123,,12063.91,
124,,11739.81,
125,,11545.35,
126,12681.33,,
127,10391.72,,
128,9979.42,,
129,11653.71,,
130,11440.76,,
131,13379.79,,
132,10795.84,,
133,,12887.50,
134,10405.84,,
135,12556.15,,
136,11421.38,,
137,11732.28,,
138,12253.95,,
139,11855.27,,
140,11487.14,,
141,,14145.31,
142,10624.76,,
143,12072.44,,
144,11646.83,,
145,11053.08,,
146,11966.16,,
147,11229.84,,
148,13313.91,,
149,12450.17,,
150,,12002.14,
151,10458.41,,
152,10660.39,,
153,11903.72,,
154,12329.44,,
155,10472.64,,
156,11429.42,,
157,10805.82,,
158,12005.99,,
159,,13362.35,
160,12706.13,,
161,,13777.57,
162,10622.82,,
163,,12613.10,
164,11207.44,,
165,11007.56,,
166,10656.62,,
167,13873.26,,
168,11292.05,,
169,11443.05,,
170,11304.82,,
171,12694.86,,
172,11873.20,,
173,10739.35,,
174,11534.66,,
175,12594.84,,
176,10661.64,,
177,10332.90,,
178,10168.54,,
179,10069.91,,
180,,11428.70,
181,10844.27,,
182,10552.06,,
183,10376.74,,
184,,12414.91,
185,,11501.75,
186,11045.17,,
187,10771.22,,
188,,13955.87,
189,,12529.05,
190,,11815.65,
191,,11387.60,
192,,15044.81,
193,,13255.02,
194,,12360.12,
195,,11823.18,
196,,11432.03,
197,,11387.60,
198,11365.39,,
199,11352.07,,
200,,11535.68,
201,,11456.71,
202,,11417.22,
203,,11393.53,
204,,11668.96,
205,,11545.56,
206,,11483.86,
