No.,Rejected,Passed,Passed and Better value
0,,,8573.88
1,12066.78,,
2,8135.55,,
3,8563.14,,
4,10439.35,,
5,9935.08,,
6,7608.75,,
7,10081.87,,
8,8020.01,,
9,7836.17,,
10,,9681.25,
11,7713.99,,
12,10379.76,,
13,7815.85,,
14,7505.59,,
15,9852.02,,
16,7350.87,,
17,7844.24,,
18,8372.19,,
19,8243.57,,
20,8435.80,,
21,10447.51,,
22,7203.33,,
23,7553.91,,
24,10277.31,,
25,7900.45,,
26,7580.41,,
27,10171.61,,
28,8087.10,,
29,8400.92,,
30,7599.34,,
31,10960.63,,
32,12174.59,,
33,8853.51,,
34,7431.43,,
35,8469.53,,
36,8329.74,,
37,7735.78,,
38,8391.27,,
39,7648.41,,
40,9482.44,,
41,9557.40,,
42,10411.60,,
43,7931.04,,
44,6121.37,,
45,8349.91,,
46,9144.58,,
47,9773.89,,
48,14426.62,,
49,7698.81,,
50,9322.79,,
51,7462.81,,
52,9276.98,,
53,10217.11,,
54,10034.47,,
55,12373.31,,
56,9593.43,,
57,7104.07,,
58,6175.28,,
59,9701.16,,
60,8749.09,,
61,8894.72,,
62,8891.23,,
63,7179.05,,
64,9209.83,,
65,10992.41,,
66,9014.89,,
67,6413.18,,
68,11600.66,,
69,7461.51,,
70,,11005.80,
71,14221.70,,
72,8254.52,,
73,10632.18,,
74,6774.63,,
75,9111.04,,
76,8237.02,,
77,8529.89,,
78,8906.81,,
79,9259.23,,
80,10683.32,,
81,11403.87,,
82,9472.12,,
83,9890.50,,
84,10899.65,,
85,8379.40,,
86,13991.12,,
87,12170.92,,
88,6838.60,,
89,7696.92,,
90,7502.35,,
91,7327.44,,
92,8930.04,,
93,9523.56,,
94,7905.17,,
95,7176.76,,
96,9064.41,,
97,8657.51,,
98,7907.87,,
99,8423.18,,
100,8080.32,,
101,11300.43,,
102,9673.06,,
103,6740.22,,
104,8201.40,,
105,7799.03,,
106,8656.08,,
107,8026.46,,
108,7404.96,,
109,9982.83,,
110,8482.41,,
111,10738.72,,
112,7549.79,,
113,8157.57,,
114,13121.76,,
115,11837.42,,
116,9339.51,,
117,9050.02,,
118,7165.38,,
119,10470.84,,
120,11718.42,,
121,6560.62,,
122,7841.71,,
123,12789.64,,
124,7660.92,,
