No.,Rejected,Passed,Passed and Better value
0,21582.53,,
1,16683.06,,
2,18882.28,,
3,20270.88,,
4,14680.58,,
5,19071.36,,
6,20618.28,,
7,19508.70,,
8,17151.02,,
9,20489.17,,
10,18245.86,,
11,18881.00,,
12,20061.45,,
13,21049.14,,
14,18712.67,,
15,20936.70,,
16,18438.39,,
17,19359.02,,
18,17708.24,,
19,18113.73,,
20,17965.33,,
21,19662.49,,
22,18205.60,,
23,18404.37,,
24,16765.83,,
25,19514.49,,
26,19266.78,,
27,17215.11,,
28,16719.55,,
29,16885.93,,
30,19100.14,,
31,20005.72,,
32,19237.50,,
33,14628.53,,
34,16000.55,,
35,18708.01,,
36,19290.15,,
37,19396.34,,
38,16946.48,,
39,18224.22,,
40,16519.58,,
41,19893.30,,
42,18755.97,,
43,18235.97,,
44,17751.60,,
45,18094.86,,
46,20145.86,,
47,18033.06,,
48,16714.42,,
49,19208.52,,
50,19135.46,,
51,20660.18,,
52,19632.36,,
53,18850.56,,
54,16451.37,,
55,17035.78,,
56,18680.17,,
57,18121.63,,
58,17069.35,,
59,19351.90,,
60,21170.28,,
61,18124.10,,
62,16193.56,,
63,19966.88,,
64,19802.90,,
65,17625.84,,
66,17329.08,,
67,17180.71,,
68,17091.68,,
69,18318.26,,
70,17790.70,,
71,17526.92,,
72,17368.65,,
73,19208.52,,
74,18384.20,,
75,17972.05,,
76,17724.75,,
77,20599.54,,
78,19311.55,,
79,18667.56,,
80,18281.16,,
81,21582.53,,
82,19966.88,,
83,19159.06,,
84,18674.36,,
85,20705.90,,
86,20640.15,,
87,20607.28,,
88,20587.56,,
89,20859.31,,
90,20742.43,,
91,20683.98,,
92,20648.92,,
93,21056.55,,
94,20873.92,,
95,20782.61,,
96,20727.82,,
97,21364.75,,
98,21079.38,,
99,20936.70,,
100,20851.09,,
101,21582.53,,
102,21224.58,,
103,21045.60,,
104,20938.21,,
105,19852.96,,
106,19723.24,,
107,19658.38,,
108,19619.47,,
109,20155.64,,
110,19925.03,,
111,19809.72,,
112,19740.54,,
113,20544.79,,
114,20184.46,,
115,20004.30,,
116,19896.20,,
117,21152.84,,
118,20589.83,,
119,20308.32,,
120,20139.42,,
121,21582.53,,
122,20876.29,,
123,20523.17,,
124,20311.30,,
