No.,Rejected,Passed,Passed and Better value
0,,,13713.67
1,,,9917.09
2,11530.32,,
3,,,9523.14
4,,,7745.13
5,9479.35,,
6,8946.19,,
7,9229.50,,
8,,,
9,8966.82,,
10,,7841.65,
11,,8813.53,
12,9363.83,,
13,9765.87,,
14,7885.80,,
15,,,
16,,,
17,8852.02,,
18,7501.57,,
19,7239.59,,
20,,,
21,,,
22,,,
23,,,
24,9023.86,,
25,8509.73,,
26,7549.11,,
27,6937.41,,
28,7660.08,,
29,,,7248.33
30,,8551.17,
31,,9604.10,
32,,8904.65,
33,6262.88,,
34,6957.95,,
35,7598.85,,
36,,,7145.15
37,,,
38,6327.23,,
39,6603.26,,
40,6675.56,,
41,9146.89,,
42,7990.24,,
43,,,
44,,7905.36,
45,8170.99,,
46,9072.45,,
47,7263.42,,
48,7483.28,,
49,,7483.24,
50,9338.07,,
51,,,
52,8538.79,,
53,7034.95,,
54,7870.10,,
55,7313.99,,
56,,8896.16,
57,7908.93,,
58,7201.17,,
59,7696.59,,
60,,9423.89,
61,7414.21,,
62,6258.39,,
63,8269.54,,
64,,,
65,6576.15,,
66,6318.49,,
67,6189.66,,
68,6112.36,,
69,,7177.35,
70,,,6719.29
71,6490.26,,
72,6352.85,,
73,,7950.33,
74,,7234.61,
75,,6876.75,
76,6662.04,,
77,,9158.11,
78,,8039.80,
79,,7480.64,
80,,7145.15,
81,,10011.61,
82,,8608.79,
83,,7907.39,
84,,7486.55,
85,,6745.47,
86,,,6715.27
87,6700.16,,
88,6691.10,,
89,,6815.96,
90,,6762.26,
91,,6735.41,
92,,6719.29,
93,,6906.59,
94,,6822.67,
95,,6780.72,
96,,6755.54,
97,7048.19,,
98,,6917.07,
99,,6851.52,
100,,6812.18,
101,7148.25,,
102,,6983.78,
103,,6901.55,
104,,6852.21,
105,,6784.57,
106,,6715.27,
107,6680.62,,
108,6659.82,,
109,,6946.27,
110,,6823.07,
111,,6761.47,
112,,6724.51,
113,,7154.18,
114,,6961.67,
115,,6865.42,
116,,6807.67,
117,7479.03,,
118,,7178.24,
119,,7027.84,
120,,6937.61,
121,7708.59,,
122,,7331.28,
123,,7142.63,
124,,7029.43,
