evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,True,PASS_IMPLEMENTED_PROJECT_CHECKS,13713.6691200000,13713.6691200000,0.4500000000,0.4500000000,0.6000000000,2.5000000000,0.8000000000,104,110,104,110,104,110
2,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,9917.0917200000,9917.0917200000,0.4250000000,0.4500000000,0.6000000000,2.0000000000,0.7000000000,104,112,104,110,103,111
3,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,9917.0917200000,0.4000000000,0.4500000000,0.6000000000,2.5000000000,0.8000000000,103,110,104,110,101,113
4,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,9523.1372200000,9523.1372200000,0.4250000000,0.4500000000,0.6000000000,2.0000000000,0.6000000000,104,112,103,110,103,113
5,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,7745.1290800000,7745.1290800000,0.4500000000,0.4500000000,0.4000000000,2.0000000000,0.4000000000,103,113,102,111,101,112
6,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7745.1290800000,0.4250000000,0.4500000000,0.5500000000,2.0000000000,0.4000000000,104,111,102,111,100,111
7,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,7745.1290800000,0.4500000000,0.4500000000,0.3000000000,2.5000000000,0.6000000000,104,112,103,110,101,112
8,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,7745.1290800000,0.4500000000,0.4500000000,0.3000000000,2.0000000000,0.6000000000,104,111,103,110,101,111
9,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,7745.1290800000,0.4750000000,0.4500000000,0.6000000000,2.0000000000,0.4000000000,104,113,102,113,100,113
10,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7745.1290800000,0.4250000000,0.4500000000,0.5000000000,2.5000000000,0.4000000000,103,112,101,110,101,113
11,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,7841.6537500000,7745.1290800000,0.4500000000,0.4500000000,0.3000000000,2.0000000000,0.6000000000,103,113,103,112,103,111
