No.,Rejected,Passed,Passed and Better value
0,,,13713.67
1,,,9626.13
2,10901.87,,
3,,,9219.84
4,,,7404.39
5,9159.91,,
6,8712.72,,
7,8762.56,,
8,8496.00,,
9,8311.85,,
10,,7491.45,
11,,8197.26,
12,8939.01,,
13,9473.68,,
14,,,7288.45
15,9073.28,,
16,7905.86,,
17,7365.05,,
18,6681.70,,
19,6832.38,,
20,8107.43,,
21,5842.45,,
22,7085.68,,
23,5724.43,,
24,6658.01,,
25,6297.26,,
26,6524.96,,
27,5057.83,,
28,4560.72,,
29,5095.93,,
30,4483.40,,
31,,,6331.71
32,7849.24,,
33,7454.47,,
34,4291.96,,
35,6601.46,,
36,6555.62,,
37,,,5954.64
38,,6342.32,
39,4812.91,,
40,5306.45,,
41,5431.35,,
42,,7299.72,
43,,6368.58,
44,,6532.01,
45,6559.05,,
46,,7135.61,
47,7365.71,,
48,5946.12,,
49,6018.53,,
50,6209.04,,
51,8645.71,,
52,8542.34,,
53,6644.30,,
54,5494.71,,
55,,6750.26,
56,5814.14,,
57,7194.81,,
58,5830.51,,
59,,,5741.70
60,6503.29,,
61,7293.13,,
62,,,5531.44
63,5763.40,,
