No.,Rejected,Passed,Passed and Better value
0,8828.11,,
1,5698.12,,
2,7089.35,,
3,8104.04,,
4,,,5122.90
5,6639.91,,
6,6973.02,,
7,7164.16,,
8,,5132.76,
9,,5994.58,
10,5135.81,,
11,5487.10,,
12,,5895.56,
13,,6237.83,
14,4703.70,,
15,,6015.53,
16,5469.49,,
17,,5446.85,
18,,,4303.84
19,4033.20,,
20,5132.16,,
21,,,3873.26
22,,4415.43,
23,3465.42,,
24,4007.14,,
25,3931.01,,
26,,4016.48,
27,3779.72,,
28,3124.18,,
29,,,3559.15
30,,,3130.58
31,,3954.99,
32,,4081.85,
33,,3931.59,
34,2897.80,,
35,3364.43,,
36,,3389.97,
37,,,3064.14
38,,3669.30,
39,2926.70,,
40,3266.23,,
41,3054.71,,
42,3604.55,,
43,,3635.28,
44,,4006.90,
45,,3500.58,
46,3558.73,,
47,,3687.67,
48,3474.31,,
49,3364.42,,
50,,3645.10,
51,4850.18,,
52,4298.75,,
53,3459.39,,
54,3119.16,,
55,3970.75,,
56,3252.38,,
57,,4049.85,
58,,3280.56,
59,3127.39,,
60,3298.76,,
61,,3785.21,
62,,3064.14,
63,,,3061.20
