No.,Rejected,Passed,Passed and Better value
0,,,13713.67
1,,,9626.13
2,10901.87,,
3,,,9219.84
4,,,7404.39
5,9159.91,,
6,8712.72,,
7,8762.56,,
8,8496.00,,
9,8311.85,,
10,,7491.45,
11,,8197.26,
12,8939.01,,
13,9473.68,,
14,,,7288.45
15,9073.28,,
16,7905.86,,
17,7365.05,,
18,6681.70,,
19,6832.38,,
20,8107.43,,
21,9361.08,,
22,8161.80,,
23,7479.15,,
24,7551.78,,
25,7336.85,,
26,7134.50,,
27,6936.93,,
28,6393.20,,
29,5793.29,,
30,,8735.80,
31,,9072.55,
32,,8025.58,
33,5159.09,,
34,6513.80,,
35,7235.95,,
36,6906.43,,
37,8445.08,,
38,6028.39,,
39,6353.63,,
40,6986.53,,
41,,8511.99,
42,7171.73,,
43,9349.16,,
44,7890.87,,
45,,,7244.11
46,,9374.11,
47,8450.38,,
48,7096.95,,
49,7355.64,,
50,,9544.60,
51,9712.63,,
52,,7904.84,
53,7942.35,,
54,8128.70,,
55,6505.03,,
56,,9362.56,
57,,7932.98,
58,,,6188.83
59,6589.91,,
60,8172.93,,
61,6304.86,,
62,5084.28,,
63,7522.46,,
