evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,True,PASS_IMPLEMENTED_PROJECT_CHECKS,13713.6691200000,13713.6691200000,0.4500000000,0.4500000000,0.6000000000,2.5000000000,0.8000000000,104,110,104,110,104,110
2,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,9626.1317200000,9626.1317200000,0.4000000000,0.4000000000,0.6000000000,2.0000000000,0.7000000000,104,112,104,110,103,111
3,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,9626.1317200000,0.3500000000,0.3500000000,0.6000000000,2.5000000000,0.8000000000,103,110,104,110,101,113
4,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,9219.8372200000,9219.8372200000,0.4000000000,0.4000000000,0.6000000000,2.0000000000,0.6000000000,104,112,103,110,103,113
5,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,7404.3890800000,7404.3890800000,0.3750000000,0.4500000000,0.4000000000,2.0000000000,0.4000000000,103,113,102,111,101,112
6,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7404.3890800000,0.4000000000,0.4000000000,0.5500000000,2.0000000000,0.4000000000,104,111,102,111,100,111
7,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,7404.3890800000,0.4000000000,0.4500000000,0.3000000000,2.5000000000,0.6000000000,104,112,103,110,101,112
8,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,7404.3890800000,0.3500000000,0.4500000000,0.3000000000,2.0000000000,0.6000000000,104,111,103,110,101,111
9,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7404.3890800000,0.4250000000,0.4500000000,0.6000000000,2.0000000000,0.4000000000,104,113,102,113,100,113
10,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7404.3890800000,0.3250000000,0.4000000000,0.5000000000,2.5000000000,0.4000000000,103,112,101,110,101,113
11,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,7491.4487500000,7404.3890800000,0.3750000000,0.4500000000,0.3000000000,2.0000000000,0.6000000000,103,113,103,112,103,111
12,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,8197.2564740000,7404.3890800000,0.3500000000,0.3500000000,0.5000000000,2.0000000000,0.5000000000,104,113,104,110,103,112
13,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7404.3890800000,0.3750000000,0.4000000000,0.6000000000,2.5000000000,0.4000000000,103,112,103,112,100,113
14,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7404.3890800000,0.4000000000,0.4000000000,0.6000000000,2.5000000000,0.4000000000,103,113,101,112,102,110
15,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,7288.4547700000,7288.4547700000,0.3500000000,0.3500000000,0.6000000000,2.0000000000,0.4000000000,101,112,101,111,103,112
16,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3750000000,0.4000000000,0.6000000000,2.5000000000,0.5000000000,102,112,100,113,103,111
17,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3750000000,0.4500000000,0.4500000000,2.0000000000,0.4000000000,103,113,100,113,104,112
18,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3000000000,0.3000000000,0.6000000000,2.5000000000,0.4000000000,100,111,101,110,102,113
19,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3000000000,0.3000000000,0.6000000000,2.0000000000,0.5000000000,100,113,102,113,103,111
20,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3000000000,0.3500000000,0.5500000000,2.0000000000,0.4000000000,100,111,103,111,104,113
21,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3250000000,0.4000000000,0.6000000000,2.5000000000,0.6000000000,100,112,103,113,104,113
22,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3250000000,0.4000000000,0.6000000000,2.5000000000,0.4000000000,103,111,100,113,102,113
23,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3250000000,0.4500000000,0.5500000000,2.5000000000,0.4000000000,100,113,102,112,102,110
24,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3750000000,0.4500000000,0.6000000000,2.0000000000,0.5000000000,101,113,100,112,103,113
25,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.2500000000,0.2500000000,0.6000000000,2.5000000000,0.4000000000,103,113,103,113,101,113
26,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3250000000,0.3500000000,0.6000000000,2.0000000000,0.4000000000,101,111,100,113,103,112
27,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3500000000,0.3500000000,0.4000000000,2.5000000000,0.4000000000,100,112,101,111,104,112
28,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3000000000,0.3000000000,0.4500000000,2.5000000000,0.5000000000,100,112,100,113,103,111
29,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.5000000000,101,113,102,110,101,110
30,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,7288.4547700000,0.3000000000,0.3000000000,0.4000000000,2.0000000000,0.4000000000,101,113,101,113,101,110
31,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,8735.8020400000,7288.4547700000,0.3500000000,0.3500000000,0.5500000000,2.5000000000,0.6000000000,103,113,100,110,104,112
32,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,9072.5452800000,7288.4547700000,0.2500000000,0.2500000000,0.4000000000,2.5000000000,0.4000000000,102,110,102,111,104,110
33,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,8025.5813520000,7288.4547700000,0.3000000000,0.4000000000,0.4000000000,2.0000000000,0.5000000000,102,110,103,111,104,113
34,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3000000000,0.3000000000,0.3500000000,2.0000000000,0.4000000000,100,112,101,112,101,113
35,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.2500000000,0.2500000000,0.6000000000,2.0000000000,0.4000000000,100,113,103,110,102,110
36,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3500000000,0.3500000000,0.6000000000,2.0000000000,0.4000000000,101,112,100,113,104,113
37,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3000000000,0.3500000000,0.6000000000,2.0000000000,0.5000000000,101,112,100,111,103,113
38,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3750000000,0.4500000000,0.5000000000,2.5000000000,0.4000000000,102,112,100,112,101,110
39,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3000000000,0.3000000000,0.5500000000,2.0000000000,0.6000000000,100,112,102,113,101,113
40,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,7288.4547700000,0.2500000000,0.2500000000,0.6000000000,2.0000000000,0.5000000000,100,111,101,110,104,113
41,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3000000000,0.3500000000,0.6000000000,2.0000000000,0.4000000000,100,111,103,112,104,113
42,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,8511.9895400000,7288.4547700000,0.3000000000,0.4000000000,0.6000000000,2.5000000000,0.6000000000,100,110,103,110,103,113
43,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3750000000,0.4000000000,0.4000000000,2.0000000000,0.5000000000,102,111,100,112,101,112
44,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7288.4547700000,0.3000000000,0.4500000000,0.4500000000,2.5000000000,0.4000000000,103,113,100,112,104,110
45,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,7288.4547700000,0.2500000000,0.2500000000,0.6000000000,2.5000000000,0.4000000000,102,113,103,113,102,110
46,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,7244.1126000000,7244.1126000000,0.3250000000,0.3500000000,0.6000000000,2.0000000000,0.4000000000,102,113,102,112,103,113
47,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,9374.1112240000,7244.1126000000,0.2750000000,0.3500000000,0.6000000000,2.5000000000,0.4000000000,103,111,102,113,104,113
48,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7244.1126000000,0.3750000000,0.4000000000,0.6000000000,2.5000000000,0.4000000000,100,113,103,110,104,113
49,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7244.1126000000,0.3000000000,0.3000000000,0.6000000000,2.0000000000,0.4000000000,103,113,102,113,101,113
50,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7244.1126000000,0.3250000000,0.3500000000,0.6000000000,2.0000000000,0.5000000000,100,111,102,112,104,111
51,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,9544.6029600000,7244.1126000000,0.3750000000,0.4000000000,0.6000000000,2.0000000000,0.4000000000,104,111,103,111,103,113
52,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,7244.1126000000,0.3500000000,0.4500000000,0.6000000000,2.5000000000,0.4000000000,103,111,100,110,102,113
