No.,Rejected,Passed,Passed and Better value
0,8828.11,,
1,5698.12,,
2,7089.35,,
3,8104.04,,
4,,,5122.90
5,6639.91,,
6,6973.02,,
7,7164.16,,
8,,5132.76,
9,,5994.58,
10,5135.81,,
11,5487.10,,
12,,5895.56,
13,,6237.83,
14,4703.70,,
15,,6015.53,
16,5469.49,,
17,,5446.85,
18,,,4303.84
19,4033.20,,
20,5132.16,,
21,,5429.85,
22,4529.32,,
23,4308.23,,
24,4470.32,,
25,,,4302.77
26,4878.21,,
27,4138.54,,
28,,,3839.81
29,,,3447.97
30,,4914.08,
31,,4742.51,
32,,4086.14,
33,2897.80,,
34,3364.43,,
35,,3693.24,
36,,,3221.05
37,,4293.78,
38,2926.70,,
39,3266.23,,
40,3206.88,,
41,4296.48,,
42,3792.20,,
43,,4706.01,
44,,4032.45,
45,3711.34,,
46,,4284.43,
47,4128.78,,
48,3364.42,,
49,,3773.43,
50,5003.87,,
51,5006.67,,
52,3988.04,,
53,3711.66,,
54,4127.47,,
55,3252.38,,
56,,4864.39,
57,,3751.67,
58,3286.09,,
59,3298.76,,
60,,4637.99,
61,3363.98,,
62,3067.62,,
63,,3754.62,
