algorithm,trial,evaluations,best_cost,best_evaluation,valid,FS_OT,FS_SL,FS_BC,recoveries,tb,TBase,Base,wall_height,fc
BA,1,5000,4985.5646400000,771,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,2,5000,4985.5646400000,349,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,3,5000,4985.5646400000,204,True,2.0731099839,2.0290809122,3.0628253035,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,4,5000,4985.5646400000,460,True,2.0731099839,2.0290809122,3.0628253035,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,5,5000,4985.5646400000,933,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,6,5000,4985.5646400000,232,True,2.0731099839,2.0290809122,3.0628253035,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,7,5000,4985.5646400000,691,True,2.0731099839,2.0290809122,3.0628253035,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,8,5000,4985.5646400000,354,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,9,5000,4985.5646400000,1349,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,10,5000,4985.5646400000,227,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,11,5000,4985.5646400000,189,True,2.0261169729,1.9755309122,3.2051007992,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
BA,12,5000,4985.5646400000,671,True,2.1134092449,2.0826309122,2.9153694925,0,0.3000000000,0.3000000000,2.0000000000,4.0000000000,280.0000000000
