evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,True,PASS_IMPLEMENTED_PROJECT_CHECKS,21582.5343600000,21582.5343600000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,110,104,110
2,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,16296.8212200000,16296.8212200000,0.5500000000,0.5500000000,0.7500000000,3.0000000000,0.9000000000,104,112,104,110,103,111
3,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,16296.8212200000,0.5000000000,0.5000000000,0.7500000000,3.5000000000,1.0000000000,103,110,104,110,101,113
4,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,15683.0172800000,15683.0172800000,0.5500000000,0.5500000000,0.7500000000,3.0000000000,0.8000000000,104,112,103,110,103,113
5,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,15683.0172800000,0.5250000000,0.6000000000,0.5500000000,2.5000000000,0.6000000000,103,113,102,111,101,112
6,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,15683.0172800000,0.5000000000,0.5000000000,0.7500000000,2.5000000000,0.7000000000,104,110,103,110,101,112
7,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,16944.2389200000,15683.0172800000,0.5500000000,0.5500000000,0.6000000000,3.5000000000,1.0000000000,104,111,104,110,103,113
8,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,15683.0172800000,0.5250000000,0.5500000000,0.6500000000,2.5000000000,1.0000000000,104,110,104,110,103,112
9,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,15683.0172800000,0.6000000000,0.6000000000,0.7500000000,2.5000000000,0.7000000000,104,113,103,112,102,113
10,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,16833.7360400000,15683.0172800000,0.5000000000,0.5000000000,0.7500000000,3.5000000000,0.6000000000,104,111,102,110,103,113
11,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,14268.8837400000,14268.8837400000,0.5500000000,0.5500000000,0.5500000000,3.0000000000,1.0000000000,104,113,104,111,104,112
12,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,14141.2219320000,14141.2219320000,0.4500000000,0.4500000000,0.6500000000,3.0000000000,1.0000000000,104,113,104,110,104,112
13,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,15126.8217600000,14141.2219320000,0.4000000000,0.4000000000,0.7500000000,3.5000000000,0.8000000000,104,112,104,111,103,113
14,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,16287.7393440000,14141.2219320000,0.4000000000,0.4000000000,0.7500000000,3.5000000000,0.8000000000,104,113,103,111,104,110
15,neighbor,False,STEM_STRESS_OR_INTERVAL_BOUND,999999999.0000000000,14141.2219320000,0.3500000000,0.3500000000,0.7500000000,3.0000000000,1.0000000000,102,112,103,110,104,112
16,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,15406.4963270000,14141.2219320000,0.4750000000,0.5000000000,0.6500000000,3.5000000000,1.0000000000,104,113,103,112,104,111
17,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,13265.5724640000,13265.5724640000,0.4750000000,0.5500000000,0.5000000000,3.0000000000,0.8000000000,104,113,103,112,104,112
18,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,15199.2575000000,13265.5724640000,0.4750000000,0.5000000000,0.7000000000,3.5000000000,0.6000000000,103,112,103,110,103,113
19,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,13265.5724640000,0.4750000000,0.5000000000,0.6500000000,3.0000000000,0.9000000000,102,113,104,113,104,111
20,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,13265.5724640000,0.4250000000,0.5500000000,0.4500000000,3.0000000000,0.7000000000,102,112,104,112,104,113
21,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,13265.5724640000,0.4500000000,0.6000000000,0.7000000000,3.5000000000,1.0000000000,102,113,104,113,104,113
22,reset,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,13265.5724640000,0.3500000000,0.3500000000,0.4000000000,2.5000000000,0.8000000000,104,113,103,112,104,112
23,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,10967.9127400000,10967.9127400000,0.3250000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,104,112,102,113,103,113
24,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,10226.6140000000,10226.6140000000,0.3000000000,0.5000000000,0.3500000000,3.0000000000,0.5000000000,103,113,103,113,102,111
25,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,11260.7881500000,10226.6140000000,0.3250000000,0.5500000000,0.5000000000,3.0000000000,0.6000000000,103,113,102,113,102,113
26,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3000000000,0.4000000000,0.5000000000,3.0000000000,0.5000000000,104,113,104,113,100,113
27,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,10226.6140000000,0.2750000000,0.5000000000,0.5000000000,2.5000000000,0.5000000000,103,112,102,113,102,111
28,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3000000000,0.5000000000,0.3000000000,3.0000000000,0.5000000000,102,113,103,113,103,111
29,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3250000000,0.4500000000,0.3000000000,3.0000000000,0.6000000000,101,113,101,113,102,110
30,neighbor,False,MEMBER_FLEXURE,999999999.0000000000,10226.6140000000,0.3250000000,0.5000000000,0.3000000000,3.0000000000,0.6000000000,103,113,104,112,100,110
31,neighbor,False,MEMBER_FLEXURE,999999999.0000000000,10226.6140000000,0.2500000000,0.4500000000,0.3000000000,3.0000000000,0.5000000000,103,113,103,113,100,110
32,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,10916.0536000000,10226.6140000000,0.3000000000,0.5000000000,0.3000000000,3.0000000000,0.7000000000,104,113,101,111,104,111
33,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3000000000,0.4000000000,0.3000000000,3.0000000000,0.5000000000,104,111,104,113,104,110
34,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.2500000000,0.5500000000,0.3000000000,3.0000000000,0.6000000000,104,111,104,113,103,113
35,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3500000000,0.4500000000,0.3000000000,2.5000000000,0.5000000000,101,113,103,113,100,112
36,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.2750000000,0.4000000000,0.5000000000,2.5000000000,0.5000000000,101,113,104,111,101,110
37,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3000000000,0.5000000000,0.4500000000,2.5000000000,0.5000000000,103,113,101,113,103,112
38,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,10226.6140000000,0.2500000000,0.5000000000,0.3500000000,2.5000000000,0.6000000000,103,113,102,113,102,112
39,neighbor,False,MEMBER_FLEXURE,999999999.0000000000,10226.6140000000,0.3250000000,0.5500000000,0.3000000000,3.0000000000,0.5000000000,104,113,102,113,100,110
40,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.2750000000,0.4500000000,0.3000000000,2.5000000000,0.7000000000,102,113,104,113,100,113
41,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3250000000,0.4000000000,0.4000000000,3.0000000000,0.6000000000,101,112,103,112,104,112
42,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.2500000000,0.5000000000,0.3500000000,2.5000000000,0.5000000000,101,112,104,113,104,113
43,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,11242.3080000000,10226.6140000000,0.2500000000,0.5500000000,0.5000000000,3.0000000000,0.7000000000,102,111,104,112,102,112
44,neighbor,False,MEMBER_FLEXURE,999999999.0000000000,10226.6140000000,0.3250000000,0.5500000000,0.3000000000,3.0000000000,0.6000000000,104,112,102,113,100,111
45,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,11222.7692360000,10226.6140000000,0.2500000000,0.5500000000,0.3000000000,3.0000000000,0.5000000000,104,113,101,113,103,110
46,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,10269.6146760000,10226.6140000000,0.2750000000,0.4000000000,0.4000000000,3.0000000000,0.5000000000,104,113,104,113,101,110
47,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,11311.2393180000,10226.6140000000,0.2750000000,0.5000000000,0.5000000000,3.0000000000,0.5000000000,104,113,104,113,102,112
48,neighbor,False,MAXIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.2500000000,0.5000000000,0.3500000000,3.0000000000,0.5000000000,104,111,103,113,103,113
49,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3500000000,0.5500000000,0.4000000000,3.0000000000,0.5000000000,101,113,104,111,103,113
50,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3500000000,0.4500000000,0.4000000000,2.5000000000,0.5000000000,104,113,103,113,100,113
51,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3000000000,0.5000000000,0.4500000000,3.0000000000,0.6000000000,101,111,103,113,104,110
52,neighbor,False,ENVELOPE_BASE_CONTACT,999999999.0000000000,10226.6140000000,0.3500000000,0.5500000000,0.5000000000,2.5000000000,0.5000000000,104,111,104,112,102,113
53,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,13083.7763500000,10226.6140000000,0.3250000000,0.5500000000,0.5000000000,3.0000000000,0.5000000000,104,111,101,111,101,111
54,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3000000000,0.4500000000,0.5000000000,3.0000000000,0.5000000000,103,112,104,113,101,113
55,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3000000000,0.5500000000,0.3500000000,3.0000000000,0.6000000000,101,113,104,113,102,111
56,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3000000000,0.5500000000,0.4000000000,2.5000000000,0.7000000000,104,113,104,113,100,113
57,neighbor,False,MINIMUM_MAIN_STEEL,999999999.0000000000,10226.6140000000,0.3000000000,0.4500000000,0.5000000000,3.0000000000,0.5000000000,101,113,102,113,104,112
58,neighbor,True,PASS_IMPLEMENTED_PROJECT_CHECKS,12862.0004880000,10226.6140000000,0.3500000000,0.5500000000,0.4500000000,3.0000000000,0.5000000000,104,113,103,113,103,110
