No.,Rejected,Passed,Passed and Better value
0,,,21582.53
1,,,16683.06
2,18479.49,,
3,,,16081.59
4,12644.89,,
5,16940.80,,
6,,17357.53,
7,17359.39,,
8,14074.77,,
9,,17371.34,
10,,,14676.57
11,,15334.85,
12,,16858.89,
13,,17890.11,
14,14720.84,,
15,,15811.69,
16,,,13618.25
17,,15409.66,
18,13682.44,,
19,12449.06,,
20,14706.34,,
21,,14461.45,
22,,14503.96,
23,14775.95,,
24,,14582.09,
25,13960.80,,
26,,,13283.82
27,12290.33,,
28,,13459.07,
29,,,13198.48
30,14655.94,,
31,16142.69,,
32,,14980.96,
33,10545.82,,
34,12005.56,,
35,,,13031.93
36,11938.50,,
37,13193.16,,
38,10401.58,,
39,12140.77,,
40,11310.34,,
41,,15744.72,
42,12883.91,,
43,14903.43,,
44,,14164.17,
45,,14429.20,
46,,15382.56,
47,13192.25,,
48,12134.31,,
49,13943.80,,
50,14798.16,,
51,17071.26,,
52,,14480.02,
53,13115.36,,
54,12590.45,,
55,13343.25,,
56,16464.17,,
57,14156.08,,
58,12328.18,,
59,12675.61,,
60,16638.04,,
61,12321.90,,
62,10434.21,,
63,15456.07,,
64,14997.80,,
65,12788.51,,
66,15441.85,,
67,13213.14,,
68,13456.32,,
69,11946.50,,
70,11439.45,,
71,11777.84,,
72,10354.09,,
73,13603.38,,
74,12118.03,,
75,12640.79,,
76,14402.71,,
77,,13247.48,
78,12922.52,,
79,11942.66,,
80,,14354.98,
81,13926.08,,
82,14295.99,,
83,11549.88,,
84,13368.25,,
85,10402.82,,
86,10731.57,,
87,10281.43,,
88,13536.39,,
89,11564.01,,
90,12432.20,,
91,11825.01,,
92,,15368.48,
93,13387.03,,
94,13088.05,,
95,16028.19,,
96,13027.88,,
97,10189.33,,
98,11957.34,,
99,,14978.57,
100,,,12785.69
101,11935.48,,
102,13326.21,,
103,,13463.30,
104,12803.57,,
105,,13625.75,
106,,,12601.20
107,12138.29,,
108,12995.47,,
109,13359.97,,
110,,13563.25,
111,12627.14,,
112,,15789.13,
113,11029.12,,
114,14101.19,,
115,13496.96,,
116,13843.38,,
117,11284.98,,
118,15224.27,,
119,,13455.92,
120,12525.18,,
121,,13879.41,
122,12608.73,,
123,12616.64,,
124,13504.05,,
125,13438.83,,
126,14446.20,,
127,12249.03,,
128,11601.05,,
129,11848.99,,
130,14117.52,,
131,,15598.89,
132,13293.59,,
133,12427.07,,
134,11680.86,,
135,,,12434.62
136,11624.93,,
137,,16550.25,
138,12674.73,,
139,14432.53,,
140,15855.07,,
141,11088.44,,
142,,13321.07,
143,12214.77,,
144,11845.88,,
145,11138.20,,
146,16716.01,,
147,11184.81,,
148,,13733.50,
149,11104.48,,
150,11233.03,,
151,14896.16,,
152,,15100.88,
153,12535.29,,
154,10840.27,,
155,12971.28,,
156,10926.40,,
157,11981.41,,
158,11559.12,,
159,,14593.17,
160,11805.59,,
161,11704.16,,
162,12715.36,,
163,15294.46,,
164,14272.57,,
165,12115.62,,
166,13058.99,,
167,,14674.95,
168,12742.92,,
169,11859.65,,
170,12724.67,,
171,11921.55,,
172,12267.66,,
173,14968.33,,
174,11372.34,,
175,11162.73,,
176,,14429.10,
177,10959.03,,
178,15779.11,,
179,,13237.15,
180,10547.84,,
181,12361.42,,
182,14596.85,,
183,10645.28,,
184,13082.78,,
185,16401.70,,
186,,14825.52,
187,,16478.43,
188,12032.26,,
189,13238.91,,
190,13011.37,,
191,12805.59,,
192,10742.70,,
193,12927.51,,
194,12182.03,,
195,13172.14,,
196,12867.56,,
197,,14689.66,
198,15296.49,,
199,17976.33,,
200,,12606.41,
201,10596.75,,
202,13077.29,,
203,10670.14,,
204,11960.29,,
205,10996.64,,
206,11825.97,,
207,11811.31,,
208,11112.75,,
209,12819.56,,
210,,13892.82,
211,13004.89,,
212,11052.93,,
213,15987.54,,
214,14651.72,,
215,11697.33,,
216,11988.70,,
217,11194.84,,
218,15220.75,,
219,10352.55,,
220,12253.08,,
221,11485.56,,
222,11909.45,,
223,12563.35,,
224,12251.57,,
225,,13214.38,
226,12142.53,,
227,11502.12,,
228,,13287.70,
229,,16260.61,
230,14763.91,,
231,13449.90,,
232,10472.10,,
233,12285.19,,
234,,15681.48,
235,10851.44,,
236,14613.65,,
237,12156.74,,
238,11172.25,,
239,12822.10,,
240,13100.27,,
241,12935.30,,
242,12793.19,,
243,,12668.73,
244,,13375.31,
245,,15548.57,
246,,16115.29,
247,10970.97,,
248,11003.53,,
249,12293.95,,
250,14449.85,,
251,,16530.18,
252,13163.34,,
253,15799.59,,
254,12946.82,,
255,12720.26,,
256,12976.01,,
257,13936.47,,
258,13116.17,,
259,14400.51,,
260,11120.58,,
261,11293.34,,
262,18184.76,,
263,,14064.60,
264,11143.30,,
265,13977.05,,
266,12182.55,,
267,16400.47,,
268,,15493.38,
269,11251.58,,
270,11625.92,,
271,12021.39,,
272,12301.33,,
273,13729.03,,
274,12527.85,,
275,10641.06,,
276,11758.41,,
277,14700.30,,
278,12424.02,,
279,11574.85,,
280,10764.93,,
281,11870.58,,
282,14032.08,,
283,12637.89,,
284,,14434.53,
285,11697.50,,
286,13007.64,,
287,10856.42,,
288,12991.38,,
289,13664.40,,
290,12766.78,,
291,14183.94,,
292,,14334.06,
293,12076.64,,
294,11887.92,,
295,12173.23,,
296,10934.20,,
297,12870.63,,
298,15083.46,,
299,12958.31,,
300,12534.86,,
301,14729.63,,
302,,13756.18,
303,11242.21,,
304,11452.46,,
305,12450.05,,
306,12255.31,,
307,12485.16,,
308,11147.21,,
309,12656.72,,
310,14120.81,,
311,11921.94,,
312,13055.70,,
313,12754.87,,
314,10493.20,,
315,14732.99,,
316,13770.16,,
317,,16145.33,
318,,14507.83,
319,12023.55,,
320,14645.12,,
321,13316.09,,
322,13446.40,,
323,12692.61,,
324,,13794.84,
325,10582.06,,
326,11122.19,,
327,,13358.90,
328,12939.26,,
329,12761.11,,
330,11024.92,,
331,,12920.31,
332,14703.91,,
333,11777.93,,
334,,14198.37,
335,14275.09,,
336,11255.23,,
337,12633.54,,
338,13647.13,,
339,,14904.16,
340,14620.61,,
341,16047.05,,
342,10763.81,,
343,11540.50,,
344,11562.55,,
345,,14569.23,
346,,13635.41,
347,11706.43,,
348,13306.60,,
