No.,Rejected,Passed,Passed and Better value
0,8828.11,,
1,5698.12,,
2,7089.35,,
3,8104.04,,
4,5122.90,,
5,7148.39,,
6,8543.26,,
7,7516.27,,
8,6225.04,,
9,8019.69,,
10,7324.26,,
11,6846.71,,
12,7778.16,,
13,8393.48,,
14,6753.01,,
15,8461.56,,
16,7300.51,,
17,7309.42,,
18,6331.19,,
19,6644.48,,
20,6631.30,,
21,8828.11,,
22,7701.84,,
23,6802.11,,
24,6999.45,,
25,5612.32,,
26,7455.75,,
27,7925.21,,
28,6326.59,,
29,6465.10,,
30,6372.20,,
31,7390.68,,
32,8003.25,,
33,7813.27,,
34,5154.47,,
35,5176.23,,
36,7123.81,,
37,7296.26,,
38,7700.81,,
39,6051.00,,
40,6460.62,,
41,5689.01,,
42,7698.35,,
43,7703.27,,
44,6961.22,,
45,6357.86,,
46,6702.97,,
47,7881.69,,
48,6710.27,,
49,5821.70,,
50,7392.33,,
51,7369.82,,
52,8333.34,,
53,7549.86,,
54,7189.16,,
55,5885.17,,
56,5953.71,,
57,7115.72,,
58,6649.45,,
59,6716.22,,
60,7256.57,,
61,8564.33,,
62,8828.11,,
63,6707.13,,
64,5430.25,,
65,7850.98,,
66,7638.03,,
67,7486.45,,
68,8238.51,,
69,6689.34,,
70,7167.13,,
71,5712.52,,
72,5813.04,,
73,5533.99,,
74,5480.24,,
75,6265.30,,
76,5943.77,,
77,7322.56,,
78,7131.47,,
79,7741.82,,
80,6651.43,,
81,5899.14,,
82,8156.50,,
83,7199.04,,
84,8110.00,,
85,5879.17,,
86,6510.61,,
87,6140.90,,
88,5324.19,,
89,5277.30,,
90,7092.41,,
91,5282.99,,
92,7655.21,,
93,6312.45,,
94,7362.42,,
95,5930.29,,
96,6460.41,,
97,8481.51,,
98,7395.12,,
99,5254.00,,
100,5213.03,,
101,8551.46,,
102,7672.55,,
103,5798.60,,
104,7134.48,,
105,6855.49,,
106,7927.98,,
107,7282.50,,
108,6502.32,,
109,5634.79,,
110,7268.72,,
111,6569.32,,
112,6685.21,,
113,7797.17,,
114,8164.39,,
115,5317.35,,
116,7053.27,,
117,7348.89,,
118,7106.63,,
119,5257.44,,
120,8127.60,,
121,6946.95,,
122,7315.97,,
123,8828.11,,
124,8543.26,,
