evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,104,110,104,110,104,110
2,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.4000000000,1.5000000000,0.5000000000,104,112,104,110,103,111
3,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.4000000000,2.0000000000,0.6000000000,103,110,104,110,102,112
4,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.5000000000,104,110,103,110,104,112
5,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3250000000,0.3500000000,0.3000000000,1.5000000000,0.4000000000,103,112,103,111,102,110
6,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.4000000000,1.5000000000,0.5000000000,104,110,104,110,102,110
7,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.3000000000,2.0000000000,0.6000000000,104,110,104,110,104,110
8,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,999999999.0000000000,0.3250000000,0.3500000000,0.3000000000,1.5000000000,0.6000000000,104,110,104,110,104,110
9,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,1.5000000000,0.5000000000,104,111,104,112,103,111
10,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.4000000000,2.0000000000,0.4000000000,104,110,103,110,104,111
11,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.3000000000,2.0000000000,0.6000000000,104,111,104,111,104,110
12,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.2500000000,0.2500000000,0.4000000000,2.0000000000,0.6000000000,104,112,104,110,104,110
13,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.4000000000,2.0000000000,0.4000000000,104,110,104,111,103,111
14,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.4000000000,2.0000000000,0.4000000000,104,110,103,111,104,110
15,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.2500000000,0.2500000000,0.4000000000,2.0000000000,0.6000000000,102,110,103,110,104,110
16,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,104,110,103,112,104,110
17,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.3000000000,2.0000000000,0.4000000000,104,111,103,112,104,110
18,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.4000000000,2.0000000000,0.4000000000,103,110,104,110,103,111
19,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.4000000000,2.0000000000,0.6000000000,102,111,104,112,104,110
20,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3500000000,0.3500000000,2.0000000000,0.5000000000,102,110,104,110,104,111
21,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3250000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,102,110,104,112,104,111
22,reset,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,104,110,104,110,104,110
23,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3250000000,0.3500000000,0.4000000000,2.0000000000,0.4000000000,104,110,103,112,103,112
24,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3250000000,0.3500000000,0.3500000000,2.0000000000,0.4000000000,103,111,104,111,103,110
25,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,2.0000000000,0.6000000000,104,111,103,111,104,112
26,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.2500000000,0.2500000000,0.4000000000,2.0000000000,0.6000000000,104,112,104,112,102,112
27,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3250000000,0.3500000000,0.4000000000,1.5000000000,0.4000000000,104,110,103,112,104,110
28,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.3000000000,2.0000000000,0.6000000000,103,110,104,110,104,110
29,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.3000000000,2.0000000000,0.6000000000,102,110,102,112,104,110
30,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.3000000000,2.0000000000,0.6000000000,104,112,104,110,102,110
31,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.3000000000,2.0000000000,0.4000000000,104,111,104,112,102,110
32,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.3500000000,2.0000000000,0.6000000000,104,111,102,110,104,110
33,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.2500000000,0.2500000000,0.3000000000,2.0000000000,0.4000000000,104,110,104,110,104,110
34,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3500000000,0.3000000000,2.0000000000,0.6000000000,104,110,104,110,104,112
35,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.3000000000,1.5000000000,0.4000000000,102,110,104,111,102,111
36,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.2500000000,0.2500000000,0.4000000000,1.5000000000,0.6000000000,102,111,104,110,103,110
37,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.4000000000,1.5000000000,0.6000000000,104,110,102,112,104,111
38,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,999999999.0000000000,0.3000000000,0.3500000000,0.4000000000,1.5000000000,0.6000000000,104,110,103,110,104,111
39,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.3500000000,0.3500000000,0.3000000000,2.0000000000,0.5000000000,104,110,103,111,102,110
40,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,999999999.0000000000,0.3000000000,0.3000000000,0.3500000000,1.5000000000,0.6000000000,103,110,104,112,102,112
41,neighbor,False,ENVELOPE_STABILITY,999999999.0000000000,999999999.0000000000,0.2500000000,0.2500000000,0.4000000000,2.0000000000,0.6000000000,102,110,104,110,104,111
42,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,999999999.0000000000,0.3000000000,0.3500000000,0.4000000000,1.5000000000,0.6000000000,102,110,104,111,104,112
