No.,Rejected,Passed,Passed and Better value
0,8828.11,,
1,5698.12,,
2,7089.35,,
3,8104.04,,
4,5122.90,,
5,7148.39,,
6,8543.26,,
7,7516.27,,
8,6225.04,,
9,8019.69,,
10,7324.26,,
11,6846.71,,
12,7778.16,,
13,8393.48,,
14,6753.01,,
15,8461.56,,
16,7300.51,,
17,7309.42,,
18,6331.19,,
19,6644.48,,
20,6631.30,,
21,7701.84,,
22,6802.11,,
23,6999.45,,
24,5612.32,,
25,7455.75,,
26,7925.21,,
27,6326.59,,
28,6465.10,,
29,6372.20,,
30,7390.68,,
31,8003.25,,
32,7813.27,,
33,5154.47,,
34,5176.23,,
35,7123.81,,
36,7296.26,,
37,7700.81,,
38,6051.00,,
39,6460.62,,
40,5689.01,,
41,7698.35,,
42,7703.27,,
43,6961.22,,
44,6357.86,,
45,6702.97,,
46,7881.69,,
47,6710.27,,
48,5821.70,,
49,7392.33,,
50,7369.82,,
51,8333.34,,
52,7549.86,,
53,7189.16,,
54,5885.17,,
55,5953.71,,
56,7115.72,,
57,6649.45,,
58,6716.22,,
59,7256.57,,
60,8564.33,,
61,6707.13,,
62,5430.25,,
63,7850.98,,
64,7638.03,,
65,7486.45,,
66,8238.51,,
67,6689.34,,
68,7167.13,,
69,5712.52,,
70,5813.04,,
71,5533.99,,
72,5480.24,,
73,6265.30,,
74,5943.77,,
75,7322.56,,
76,7131.47,,
77,7741.82,,
78,6651.43,,
79,5899.14,,
80,8156.50,,
81,7199.04,,
82,8110.00,,
83,5879.17,,
84,6510.61,,
85,6140.90,,
86,5324.19,,
87,5277.30,,
88,7092.41,,
89,5282.99,,
90,7655.21,,
91,6312.45,,
92,7362.42,,
93,5930.29,,
94,6460.41,,
95,8481.51,,
96,7395.12,,
97,5254.00,,
98,5213.03,,
99,8551.46,,
100,7672.55,,
101,5798.60,,
102,7134.48,,
103,6855.49,,
104,7927.98,,
105,7282.50,,
106,6502.32,,
107,5634.79,,
108,7268.72,,
109,6569.32,,
110,6685.21,,
111,7797.17,,
112,8164.39,,
113,5317.35,,
114,7053.27,,
115,7348.89,,
116,7106.63,,
117,5257.44,,
118,8127.60,,
119,6946.95,,
120,7315.97,,
121,8543.26,,
122,6312.45,,
123,5827.84,,
124,7701.13,,
