No.,Rejected,Passed,Passed and Better value
0,13713.67,,
1,9626.13,,
2,11500.41,,
3,12826.41,,
4,8467.90,,
5,11535.85,,
6,13111.68,,
7,11990.45,,
8,10304.92,,
9,12667.58,,
10,11266.34,,
11,11041.53,,
12,12364.35,,
13,13057.06,,
14,10910.22,,
15,13207.48,,
16,11400.36,,
17,11784.65,,
18,10374.62,,
19,10882.79,,
20,10840.17,,
21,12514.75,,
22,11682.67,,
23,10106.51,,
24,11478.09,,
25,12280.37,,
26,10793.42,,
27,10924.31,,
28,11379.92,,
29,10442.77,,
30,11309.95,,
31,9500.58,,
32,8903.92,,
33,12098.09,,
34,10357.90,,
35,8919.75,,
36,9425.94,,
37,10950.58,,
38,10738.84,,
39,12042.75,,
40,9020.26,,
41,8375.41,,
42,11665.47,,
43,11076.54,,
44,9972.07,,
45,11043.61,,
46,12033.32,,
47,10213.03,,
48,7993.27,,
49,12051.64,,
50,8854.94,,
51,10627.74,,
52,9008.71,,
53,12272.88,,
54,12112.40,,
55,12709.80,,
56,8476.39,,
57,11281.56,,
58,10648.70,,
59,11015.87,,
60,10286.19,,
61,7186.37,,
62,10883.02,,
63,7251.68,,
64,9124.01,,
65,8108.33,,
66,6644.51,,
67,8767.70,,
68,10891.86,,
69,10966.91,,
70,8068.42,,
71,12025.15,,
72,8988.77,,
73,9506.86,,
74,8870.62,,
75,10026.11,,
76,8187.84,,
77,8734.36,,
78,7879.25,,
79,9572.15,,
80,9030.11,,
81,10711.02,,
82,8878.26,,
83,11170.90,,
84,7058.60,,
85,8518.91,,
86,9299.75,,
87,7244.81,,
88,9600.75,,
89,9287.40,,
90,9400.90,,
91,11284.39,,
92,8702.94,,
93,8920.78,,
94,7668.26,,
95,12607.11,,
96,9927.28,,
97,8531.49,,
98,8589.07,,
99,11134.70,,
100,11289.93,,
101,9308.21,,
102,10558.64,,
103,10667.88,,
104,9432.80,,
105,8587.64,,
106,8892.54,,
107,10631.36,,
108,10574.53,,
109,12199.48,,
110,8561.52,,
111,8902.31,,
112,9467.66,,
113,10050.14,,
114,7627.22,,
115,8228.42,,
116,10205.67,,
117,8343.07,,
118,7092.93,,
119,7298.71,,
120,7592.07,,
121,10952.50,,
122,10466.23,,
123,10566.26,,
124,9902.04,,
