No.,Rejected,Passed,Passed and Better value
0,8828.11,,
1,5698.12,,
2,7089.35,,
3,8104.04,,
4,5122.90,,
5,7148.39,,
6,8543.26,,
7,7516.27,,
8,6225.04,,
9,8019.69,,
10,7324.26,,
11,6846.71,,
12,7778.16,,
13,8393.48,,
14,6753.01,,
15,8461.56,,
16,7300.51,,
17,7309.42,,
18,6331.19,,
19,6644.48,,
20,6631.30,,
21,8273.25,,
22,7519.43,,
23,6626.20,,
24,7335.16,,
25,7854.61,,
26,6888.18,,
27,7257.43,,
28,7474.67,,
29,6826.23,,
30,7434.72,,
31,5578.05,,
32,5586.46,,
33,7772.01,,
34,6947.78,,
35,5921.40,,
36,5849.90,,
37,6965.48,,
38,6812.02,,
39,8215.21,,
40,5935.19,,
41,5448.13,,
42,7799.44,,
43,7030.03,,
44,6104.52,,
45,6970.55,,
46,7701.13,,
47,6542.18,,
48,5286.97,,
49,7896.40,,
50,5842.45,,
51,6502.27,,
52,5510.24,,
53,8108.79,,
54,8258.08,,
55,8025.23,,
56,5398.21,,
57,7211.67,,
58,6633.40,,
59,7073.61,,
60,6641.12,,
61,4269.24,,
62,7328.28,,
63,4412.80,,
64,6165.30,,
65,5308.73,,
66,4425.97,,
67,5794.35,,
68,6988.08,,
69,7690.41,,
70,5430.25,,
71,8273.70,,
72,6279.07,,
73,6516.19,,
74,6014.55,,
75,6670.12,,
76,4966.41,,
77,6057.78,,
78,5519.85,,
79,6539.27,,
80,6023.07,,
81,7055.32,,
82,5471.00,,
83,7177.01,,
84,4574.18,,
85,5625.35,,
86,6316.62,,
87,4811.00,,
88,6535.15,,
89,5980.04,,
90,6575.01,,
91,7684.66,,
92,5889.67,,
93,5992.53,,
94,4961.03,,
95,8624.95,,
96,6758.37,,
97,5369.37,,
98,5493.62,,
99,7844.35,,
100,7119.08,,
101,6340.88,,
102,6931.31,,
103,6835.68,,
104,6425.98,,
105,5634.79,,
106,5993.01,,
107,6970.55,,
108,6975.20,,
109,8340.09,,
110,5636.35,,
111,6305.39,,
112,5996.43,,
113,6825.43,,
114,5312.09,,
115,5378.53,,
116,6943.27,,
117,5687.58,,
118,4766.30,,
119,4820.97,,
120,5111.12,,
121,7311.47,,
122,7028.50,,
123,7152.11,,
124,6797.07,,
