No.,Rejected,Passed,Passed and Better value
0,21582.53,,
1,16296.82,,
2,18480.00,,
3,20270.88,,
4,14535.01,,
5,18683.90,,
6,20618.28,,
7,19366.40,,
8,17151.02,,
9,20110.78,,
10,18245.86,,
11,18162.93,,
12,19675.22,,
13,20690.11,,
14,17994.60,,
15,20936.70,,
16,18438.39,,
17,18972.79,,
18,17349.20,,
19,17832.40,,
20,17826.31,,
21,19523.46,,
22,18064.93,,
23,18404.37,,
24,15961.27,,
25,19375.46,,
26,19266.78,,
27,16841.35,,
28,16719.55,,
29,16478.84,,
30,19100.14,,
31,19248.39,,
32,18946.36,,
33,14206.65,,
34,15490.71,,
35,18708.01,,
36,19012.09,,
37,19396.34,,
38,16539.30,,
39,17467.44,,
40,16241.52,,
41,19615.24,,
42,18755.97,,
43,17948.10,,
44,17241.76,,
45,17955.83,,
46,19867.81,,
47,18033.06,,
48,16312.15,,
49,19208.52,,
50,19135.46,,
51,20660.18,,
52,19238.41,,
53,18850.56,,
54,16451.37,,
55,16657.40,,
56,18680.17,,
57,17752.78,,
58,16774.94,,
59,18981.09,,
60,21031.25,,
61,18124.10,,
62,15422.50,,
63,19966.88,,
64,19802.90,,
65,18428.76,,
66,20402.76,,
67,17952.08,,
68,19037.69,,
69,16204.42,,
70,16486.22,,
71,15741.29,,
72,15727.94,,
73,17134.08,,
74,16832.26,,
75,18739.57,,
76,18569.59,,
77,19506.96,,
78,18041.56,,
79,16802.88,,
80,20260.46,,
81,18985.68,,
82,20381.75,,
83,16396.89,,
84,16760.65,,
85,16874.63,,
86,15490.99,,
87,14646.30,,
88,18620.72,,
89,15368.76,,
90,19082.28,,
91,17343.20,,
92,19159.06,,
93,16568.53,,
94,17505.76,,
95,20883.63,,
96,18382.76,,
97,15295.23,,
98,15380.67,,
99,21105.75,,
100,19021.98,,
101,16295.05,,
102,18710.45,,
103,17466.15,,
104,20031.25,,
105,18635.52,,
106,16818.67,,
107,15108.59,,
108,18990.73,,
109,17737.31,,
110,17869.59,,
111,19733.87,,
112,20396.41,,
113,15722.61,,
114,18501.37,,
115,19054.48,,
116,18508.80,,
117,14584.45,,
118,20174.15,,
119,17539.61,,
120,19065.84,,
121,20939.70,,
122,17061.32,,
123,15978.25,,
124,19491.80,,
