evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,True,VERIFIED_CONFIGURED_CHECKS_ONLY,23236.8841200000,23236.8841200000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,110,104,110
2,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,17803.3054750000,17803.3054750000,0.5750000000,0.6000000000,0.7500000000,3.0000000000,0.9000000000,104,112,104,110,103,111
3,neighbor,False,MINIMUM_STEEL,19542.5778460000,17803.3054750000,0.5500000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,103,110,104,110,101,113
4,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16972.7741150000,16972.7741150000,0.5750000000,0.6000000000,0.7500000000,3.0000000000,0.8000000000,104,112,103,110,103,113
5,neighbor,False,STABILITY_OR_BASE_CONTACT,13098.3370800000,16972.7741150000,0.6000000000,0.6000000000,0.5500000000,2.5000000000,0.6000000000,103,113,102,111,101,112
6,neighbor,False,STABILITY_OR_BASE_CONTACT,18021.8910700000,16972.7741150000,0.5500000000,0.6000000000,0.7500000000,2.5000000000,0.7000000000,104,110,103,110,101,112
7,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,18452.4621200000,16972.7741150000,0.5750000000,0.6000000000,0.6000000000,3.5000000000,1.0000000000,104,111,104,110,103,113
8,neighbor,False,INVALID_GEOMETRY_OR_INPUT,18682.0959050000,16972.7741150000,0.5750000000,0.6000000000,0.6500000000,2.5000000000,1.0000000000,104,110,104,110,103,112
9,neighbor,False,STABILITY_OR_BASE_CONTACT,14627.6965920000,16972.7741150000,0.6000000000,0.6000000000,0.7500000000,2.5000000000,0.7000000000,104,113,103,112,102,113
10,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,18196.1688200000,16972.7741150000,0.5500000000,0.5500000000,0.7500000000,3.5000000000,0.6000000000,104,111,102,110,103,113
11,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15540.5101430000,15540.5101430000,0.5750000000,0.6000000000,0.5500000000,3.0000000000,1.0000000000,104,113,104,111,104,112
12,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16382.6001150000,15540.5101430000,0.5250000000,0.6000000000,0.6500000000,3.0000000000,1.0000000000,104,113,104,110,104,112
13,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,17586.1893100000,15540.5101430000,0.5500000000,0.6000000000,0.7500000000,3.5000000000,0.8000000000,104,112,104,112,103,113
14,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,18881.9485420000,15540.5101430000,0.5500000000,0.6000000000,0.7500000000,3.5000000000,0.8000000000,104,113,103,112,104,110
15,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15430.3121050000,15430.3121050000,0.5250000000,0.6000000000,0.7500000000,3.0000000000,1.0000000000,102,112,103,111,104,112
16,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,17528.5244900000,15430.3121050000,0.5500000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,103,112,102,113,104,111
17,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15149.8244240000,15149.8244240000,0.5750000000,0.6000000000,0.6000000000,3.0000000000,0.8000000000,104,113,102,113,104,112
18,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16811.1262500000,15149.8244240000,0.5500000000,0.6000000000,0.7500000000,3.5000000000,0.6000000000,103,112,102,111,103,113
19,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15337.0520700000,15149.8244240000,0.5500000000,0.6000000000,0.7500000000,3.0000000000,0.9000000000,102,113,103,113,104,111
20,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,14082.2577910000,14082.2577910000,0.5750000000,0.6000000000,0.5500000000,3.0000000000,0.7000000000,102,112,104,113,104,113
21,neighbor,False,CONCRETE_OR_STEEL_STRESS,15756.9486960000,14082.2577910000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,0.9000000000,100,112,104,113,104,113
22,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,17148.5842800000,14082.2577910000,0.6000000000,0.6000000000,0.5500000000,3.5000000000,0.5000000000,104,111,103,113,103,113
23,neighbor,False,CONCRETE_OR_STEEL_STRESS,14534.1972000000,14082.2577910000,0.6000000000,0.6000000000,0.5000000000,3.5000000000,0.5000000000,101,113,104,113,103,111
24,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15036.3129600000,14082.2577910000,0.6000000000,0.6000000000,0.7500000000,3.0000000000,0.8000000000,102,113,103,113,104,113
