evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,True,VERIFIED_CONFIGURED_CHECKS_ONLY,23154.0841200000,23154.0841200000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,110,104,110
2,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16352.3852800000,16352.3852800000,0.6000000000,0.6000000000,0.5500000000,3.0000000000,1.0000000000,104,111,102,110,102,112
3,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,17929.7008000000,16352.3852800000,0.6000000000,0.6000000000,0.6000000000,3.0000000000,1.0000000000,104,110,101,111,101,111
4,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,17054.9735550000,16352.3852800000,0.5750000000,0.6000000000,0.7500000000,3.0000000000,1.0000000000,104,112,104,110,100,110
5,neighbor,False,MINIMUM_STEEL,999999999.0000000000,16352.3852800000,0.5750000000,0.6000000000,0.5500000000,3.0000000000,1.0000000000,104,110,100,110,100,111
6,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,17689.6139400000,16352.3852800000,0.5500000000,0.5500000000,0.7500000000,2.5000000000,0.9000000000,104,110,101,110,104,112
7,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15729.7916800000,15729.7916800000,0.6000000000,0.6000000000,0.6500000000,3.0000000000,1.0000000000,104,113,102,111,103,111
8,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15804.4737600000,15729.7916800000,0.6000000000,0.6000000000,0.6000000000,3.5000000000,0.9000000000,103,113,100,110,102,110
9,neighbor,False,MINIMUM_STEEL,999999999.0000000000,15729.7916800000,0.6000000000,0.6000000000,0.6500000000,3.5000000000,1.0000000000,104,113,100,113,101,113
10,neighbor,False,MINIMUM_STEEL,999999999.0000000000,15729.7916800000,0.5750000000,0.6000000000,0.7000000000,3.0000000000,0.9000000000,103,113,100,112,104,112
11,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15755.7096840000,15729.7916800000,0.5500000000,0.6000000000,0.7000000000,3.0000000000,1.0000000000,104,112,100,110,104,113
12,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,14167.5222000000,14167.5222000000,0.6000000000,0.6000000000,0.5000000000,3.0000000000,0.9000000000,102,113,103,110,103,112
13,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,14167.5222000000,0.5750000000,0.6000000000,0.5500000000,2.5000000000,0.7000000000,100,113,103,110,102,110
14,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,14468.2480000000,14167.5222000000,0.6000000000,0.6000000000,0.5000000000,3.0000000000,0.7000000000,103,113,102,111,103,111
15,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,14167.5222000000,0.6000000000,0.6000000000,0.7500000000,3.0000000000,0.8000000000,100,111,102,110,104,112
16,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,14167.5222000000,0.6000000000,0.6000000000,0.7000000000,2.5000000000,1.0000000000,104,111,101,110,101,110
17,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,14167.5222000000,0.5750000000,0.6000000000,0.4000000000,3.0000000000,0.8000000000,103,111,104,112,101,112
18,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,14167.5222000000,0.5750000000,0.6000000000,0.3000000000,3.0000000000,1.0000000000,101,113,102,112,104,113
19,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16526.3017800000,14167.5222000000,0.5500000000,0.6000000000,0.7000000000,3.5000000000,1.0000000000,103,113,103,112,104,112
20,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,14167.5222000000,0.6000000000,0.6000000000,0.7000000000,2.5000000000,0.7000000000,101,113,104,111,104,113
21,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,14167.5222000000,0.6000000000,0.6000000000,0.5500000000,2.5000000000,0.9000000000,100,111,104,112,101,113
22,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,14167.5222000000,0.6000000000,0.6000000000,0.3000000000,3.0000000000,1.0000000000,101,113,101,110,104,111
23,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15376.5964560000,14167.5222000000,0.6000000000,0.6000000000,0.4500000000,3.5000000000,0.9000000000,104,113,102,110,103,112
24,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,14167.5222000000,0.6000000000,0.6000000000,0.5000000000,3.0000000000,1.0000000000,101,113,101,110,101,110
25,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15922.9230000000,14167.5222000000,0.6000000000,0.6000000000,0.6500000000,3.5000000000,0.9000000000,102,113,103,110,103,113
26,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,14167.5222000000,0.6000000000,0.6000000000,0.6000000000,2.5000000000,0.9000000000,101,113,101,111,101,112
27,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,14167.5222000000,0.5500000000,0.6000000000,0.3000000000,2.5000000000,1.0000000000,101,113,104,112,102,110
28,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,14379.4007880000,14167.5222000000,0.5500000000,0.6000000000,0.3000000000,3.5000000000,0.9000000000,104,113,102,110,103,111
29,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,14003.3580000000,14003.3580000000,0.6000000000,0.6000000000,0.3000000000,3.0000000000,0.7000000000,102,111,103,110,103,111
30,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,14003.3580000000,0.6000000000,0.6000000000,0.4500000000,2.5000000000,0.5000000000,104,110,101,110,104,113
31,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,14003.3580000000,0.5750000000,0.6000000000,0.3500000000,2.5000000000,0.6000000000,103,112,101,110,104,112
32,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,14003.3580000000,0.6000000000,0.6000000000,0.3000000000,2.5000000000,0.9000000000,102,113,104,110,102,110
33,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16258.7742900000,14003.3580000000,0.5750000000,0.6000000000,0.3000000000,3.0000000000,0.8000000000,102,110,104,110,104,110
34,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,14003.3580000000,0.5750000000,0.6000000000,0.3000000000,2.5000000000,0.5000000000,100,111,103,111,103,112
35,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,14003.3580000000,0.6000000000,0.6000000000,0.3000000000,3.5000000000,0.5000000000,101,112,104,111,104,110
36,neighbor,False,STABILITY_OR_BASE_CONTACT,999999999.0000000000,14003.3580000000,0.6000000000,0.6000000000,0.3000000000,2.5000000000,0.5000000000,100,112,103,110,102,110
37,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,14879.4486400000,14003.3580000000,0.6000000000,0.6000000000,0.3000000000,3.0000000000,0.8000000000,102,110,104,110,102,111
