No.,Rejected,Passed,Passed and Better value
0,,,10482.46
1,,,8586.35
2,,,5660.19
3,,,5105.48
4,4815.64,,
5,,6115.83,
6,,,4961.25
7,,5017.38,
8,,5672.84,
9,,,4108.42
10,,4318.84,
11,,4429.13,
12,,4824.43,
13,,5479.10,
14,,4851.42,
15,4181.31,,
16,,4574.29,
17,,,4104.84
18,,,3629.93
19,,,3359.10
20,,4250.40,
21,,3510.02,
22,,3546.03,
23,,,3162.63
24,,3829.16,
25,,3920.78,
26,,3309.82,
27,,,3031.19
28,,3547.69,
29,,3056.78,
30,,3494.62,
31,,3176.19,
32,,,2849.23
33,,3119.33,
34,,2981.67,
35,,3105.11,
36,,3031.19,
37,,3669.71,
38,,3396.06,
39,,3669.71,
40,,3726.57,
41,,2933.10,
42,,3257.69,
43,,3622.33,
44,,2979.07,
45,,3252.01,
46,,3046.83,
47,,3209.68,
48,,2963.90,
49,,3076.68,
50,,2917.46,
51,,3524.24,
52,,3246.64,
53,,3140.18,
54,,2939.02,
55,,2915.57,
56,,3590.34,
57,,2970.54,
58,,3576.84,
59,,3050.14,
60,,3502.91,
61,,3064.36,
62,,3082.37,
63,,3207.46,
64,,2849.23,
65,,2933.10,
66,,3319.29,
67,,3106.30,
68,,3397.01,
69,,2972.19,
70,,3438.47,
71,,2866.29,
72,,3395.43,
73,,3172.40,
74,,3877.18,
75,,2915.33,
76,,3091.84,
77,,3053.94,
78,,2988.54,
79,,3194.20,
80,,3194.20,
81,,3381.84,
82,,3019.58,
83,,3082.60,
84,,3024.32,
85,,3875.29,
86,,3118.62,
87,,3975.74,
88,,3516.42,
89,,3381.84,
90,,3795.68,
91,,3046.83,
92,,3081.18,
93,,2929.55,
94,,2849.23,
95,,3185.04,
96,,3044.69,
97,,2868.42,
98,,2900.41,
99,,3593.42,
100,,2915.33,
101,,3177.14,
102,,3098.48,
103,,2928.84,
104,,3368.26,
105,,3091.84,
106,,3189.77,
107,,2976.22,
108,,3543.90,
109,,3366.05,
110,,3031.19,
111,,3832.40,
112,,2934.52,
113,,2936.66,
114,,3479.38,
115,,3037.35,
116,,2940.21,
117,,3391.72,
118,,3449.13,
119,,3149.18,
120,,2915.57,
121,,3161.97,
122,,2975.04,
123,,3147.52,
124,,3638.44,
125,,2929.55,
126,,3207.46,
127,,3273.57,
128,,2849.23,
129,,2902.30,
130,,3099.50,
131,,3503.47,
132,,2940.21,
133,,3892.82,
134,,3853.72,
135,,2874.82,
136,,2849.23,
137,,2915.57,
138,,2870.55,
139,,3221.68,
140,,3110.80,
141,,3000.86,
142,,2911.78,
143,,3764.09,
144,,2940.21,
145,,3120.27,
146,,3516.42,
147,,3387.37,
148,,3251.69,
149,,3016.03,
150,,3319.29,
151,,3155.34,
152,,3153.44,
153,,2915.33,
154,,3066.97,
155,,3051.80,
156,,3251.69,
157,,3808.95,
158,,2976.93,
159,,3497.15,
160,,3975.74,
161,,3158.82,
162,,3090.42,
163,,3258.64,
164,,3082.60,
165,,2922.20,
166,,3093.74,
167,,3565.46,
168,,3054.88,
169,,3354.36,
170,,3054.88,
171,,3726.18,
172,,3984.04,
173,,3524.24,
174,,3248.61,
175,,3502.91,
176,,3046.83,
177,,3167.66,
178,,3808.95,
179,,3172.40,
180,,3111.75,
181,,2849.23,
182,,2935.47,
183,,4215.83,
184,,3245.37,
185,,3079.21,
186,,2849.23,
187,,3184.72,
188,,3530.16,
189,,2988.54,
190,,3030.01,
191,,3190.41,
192,,3114.59,
193,,3298.92,
194,,3197.43,
195,,3763.53,
196,,3716.70,
197,,3191.35,
198,,2972.19,
199,,3528.50,
200,,3637.73,
201,,3500.31,
202,,3305.08,
203,,2988.54,
204,,3016.03,
205,,3390.69,
206,,3564.67,
207,,3608.11,
208,,3526.37,
209,,3834.53,
210,,2923.15,
211,,3229.26,
212,,3192.30,
213,,3090.90,
214,,2906.09,
215,,2981.67,
216,,3370.47,
217,,3098.48,
218,,3158.82,
219,,3103.45,
220,,2922.20,
221,,3319.29,
222,,3102.51,
223,,2894.72,
224,,3565.46,
225,,3524.24,
226,,2981.67,
227,,3123.12,
228,,3566.96,
229,,3146.81,
230,,3138.04,
231,,3181.88,
232,,3000.86,
233,,3425.44,
234,,2915.57,
235,,3601.71,
236,,3691.03,
237,,3361.31,
238,,3469.98,
239,,3486.09,
240,,2923.15,
241,,3148.47,
242,,3449.13,
243,,3054.88,
244,,3368.26,
245,,3347.01,
246,,2915.57,
247,,3181.88,
248,,3099.50,
249,,3107.95,
250,,3257.69,
251,,3249.56,
252,,3025.50,
253,,3801.21,
254,,2915.57,
255,,2849.23,
256,,3518.95,
257,,3036.64,
258,,3684.87,
259,,3060.10,
260,,3126.20,
261,,3270.96,
262,,3222.31,
263,,2902.30,
264,,3121.22,
265,,3017.92,
266,,3172.40,
267,,3340.62,
268,,2978.12,
269,,3397.01,
270,,3156.37,
271,,3198.93,
272,,2953.48,
273,,3548.40,
274,,2970.54,
275,,2911.78,
276,,2900.41,
277,,3447.00,
278,,3297.18,
279,,3444.39,
280,,2915.33,
281,,3622.33,
282,,3099.74,
283,,2915.57,
284,,3140.18,
285,,3050.14,
286,,2849.23,
287,,2978.12,
288,,3296.55,
289,,3114.59,
290,,3024.32,
291,,3025.50,
292,,2894.01,
293,,2953.48,
294,,3240.63,
295,,3600.21,
296,,2932.63,
297,,3133.07,
298,,3580.86,
299,,3224.92,
300,,4032.61,
301,,3708.80,
302,,3288.02,
303,,3343.93,
304,,3255.88,
305,,3090.90,
306,,3871.49,
307,,3072.89,
308,,3376.16,
309,,3764.09,
310,,3267.17,
311,,3340.62,
312,,3496.52,
313,,2928.84,
314,,3131.33,
315,,4149.49,
316,,3319.29,
317,,2943.53,
318,,3236.37,
319,,3554.01,
320,,2849.23,
321,,3167.66,
322,,3830.27,
323,,3372.37,
324,,3622.33,
325,,3054.88,
326,,3144.68,
327,,3053.94,
328,,3000.86,
329,,3385.63,
330,,3105.82,
331,,3016.03,
332,,3336.35,
333,,3033.40,
334,,4062.22,
335,,3445.58,
336,,3666.16,
