No.,Rejected,Passed,Passed and Better value
0,,,10482.46
1,8882.01,,
2,,,6394.21
3,,,6206.65
4,,,6169.14
5,4873.81,,
6,5441.77,,
7,5065.05,,
8,,,5489.70
9,,6414.19,
10,,6397.57,
11,,,5377.23
12,,6096.46,
13,,,4958.79
14,,,4812.06
15,,4842.17,
16,,,4569.64
17,,5105.64,
18,,5286.74,
19,,6072.50,
20,,7385.44,
21,,8035.49,
22,,5311.95,
23,,5264.00,
24,,4836.25,
25,,,3947.00
26,,3963.04,
27,,5141.75,
28,,4571.57,
29,,,3535.14
30,,4313.36,
31,,4080.22,
32,,3676.98,
33,,4449.91,
34,,4448.96,
35,,3718.62,
36,,4717.86,
37,,3622.56,
38,,4744.80,
39,,4406.17,
40,,3944.45,
41,,4029.59,
42,,6178.31,
43,,3685.02,
44,,3777.55,
45,,3991.83,
46,,4204.77,
47,,4218.36,
48,,4016.81,
49,,4297.47,
50,,4762.42,
51,,4933.38,
52,,4241.89,
53,,4205.78,
54,,3994.64,
55,,4484.64,
56,,4721.01,
57,,4482.21,
58,,4249.15,
59,,4686.02,
60,,5169.53,
61,,4005.19,
62,,3618.40,
63,,,3382.63
64,,3973.37,
65,,4487.03,
66,,4709.42,
67,,3885.48,
68,,3465.35,
69,,4024.70,
70,,4206.41,
71,,3859.97,
72,,3955.64,
73,,3886.33,
74,,4280.48,
75,,3469.50,
76,,,3245.85
77,,4630.25,
78,,3790.14,
79,,4881.23,
80,,4288.17,
81,,3533.11,
82,,3802.45,
83,,4410.41,
84,,4329.06,
85,,,3232.10
86,,3978.58,
87,,4187.33,
88,,4338.32,
89,,5146.54,
90,,4024.14,
91,,3331.69,
92,,,2874.82
93,,3448.97,
94,,4267.34,
95,,3518.62,
96,,4384.66,
97,,4478.68,
98,,3969.16,
99,,3017.92,
100,,3364.07,
101,,3805.88,
102,,3543.64,
103,,5304.01,
104,,4383.55,
105,,4523.63,
106,,3849.20,
107,,4250.08,
108,,3793.46,
109,,3940.20,
110,,3420.31,
111,,4021.80,
112,,4795.41,
113,,3224.52,
114,,4419.09,
115,,3614.45,
116,,3307.35,
117,,3853.62,
118,,2938.79,
119,,3387.32,
120,,3370.61,
121,,3808.31,
122,,4342.09,
123,,3949.94,
124,,4806.50,
125,,3416.07,
126,,3767.81,
127,,3789.20,
128,,3539.00,
129,,4454.01,
130,,3592.07,
131,,3830.27,
132,,3721.30,
133,,3980.33,
134,,3945.58,
135,,3361.97,
136,,3888.49,
137,,3376.71,
138,,3510.57,
139,,3559.10,
140,,3460.03,
141,,4203.76,
142,,4564.22,
143,,3800.44,
144,,4067.62,
145,,3673.15,
146,,3092.71,
147,,3339.98,
148,,3291.81,
149,,3621.40,
150,,3139.23,
151,,3355.62,
152,,4551.47,
153,,3677.21,
154,,3554.71,
155,,3812.65,
156,,3556.13,
157,,3785.82,
158,,4020.74,
159,,3692.67,
160,,3293.07,
161,,4494.03,
162,,4153.59,
163,,3290.49,
164,,4030.23,
165,,3585.81,
166,,4877.15,
167,,3360.62,
168,,3734.57,
169,,3577.21,
170,,3788.72,
171,,4117.83,
172,,3107.24,
173,,3838.89,
174,,3538.43,
175,,3219.15,
176,,4076.83,
177,,3349.78,
178,,3472.97,
179,,4566.77,
180,,3082.37,
181,,3429.54,
182,,3393.22,
183,,4746.48,
184,,3462.03,
185,,4757.10,
186,,3305.08,
187,,3368.80,
188,,4400.80,
189,,3229.97,
190,,3515.10,
191,,4239.51,
192,,4782.54,
193,,4195.19,
194,,3879.38,
195,,3256.38,
196,,4672.62,
197,,2984.75,
198,,4007.82,
199,,3723.41,
200,,3634.32,
201,,3440.20,
202,,3548.95,
203,,3547.37,
204,,4214.25,
205,,4398.75,
206,,4208.72,
207,,3730.91,
208,,3817.10,
209,,3670.09,
210,,4363.81,
211,,3862.01,
212,,3458.39,
213,,3399.21,
214,,2952.53,
215,,3533.03,
216,,3385.98,
217,,3775.72,
218,,3489.57,
219,,3551.95,
220,,3293.78,
221,,3434.75,
222,,3966.57,
223,,3576.06,
224,,4156.30,
225,,3239.69,
226,,4066.18,
227,,3708.80,
228,,3750.50,
229,,4390.79,
230,,4957.63,
231,,3934.37,
232,,3186.48,
233,,4067.24,
234,,3252.74,
235,,4760.48,
236,,3613.07,
237,,3836.74,
238,,3871.14,
239,,3275.14,
240,,4284.75,
241,,3896.76,
242,,3122.33,
243,,3451.32,
244,,4250.08,
245,,3308.74,
246,,4448.80,
247,,3762.66,
248,,3684.64,
249,,4885.84,
250,,3719.77,
251,,3573.93,
252,,3643.08,
253,,3870.70,
254,,3938.29,
255,,3717.96,
256,,3834.05,
257,,3764.13,
258,,3444.62,
259,,3475.03,
260,,3949.71,
261,,3870.16,
262,,4499.17,
263,,3977.95,
264,,3773.90,
265,,4293.83,
266,,4029.00,
267,,3283.42,
268,,4776.46,
269,,3915.54,
270,,3722.23,
271,,3389.74,
272,,3944.54,
273,,4255.62,
274,,3788.42,
275,,3656.58,
276,,3878.08,
277,,4335.94,
278,,3082.37,
279,,3777.62,
280,,3969.42,
281,,3508.98,
282,,3757.76,
283,,3468.32,
284,,3720.95,
285,,3230.52,
286,,2915.33,
287,,4804.53,
288,,4684.45,
289,,4216.44,
290,,3311.71,
291,,4505.71,
292,,3217.10,
293,,3399.99,
294,,3250.89,
295,,4597.73,
296,,3922.09,
297,,3957.57,
298,,4860.56,
299,,3075.09,
300,,3311.55,
301,,4020.75,
302,,3793.40,
303,,3901.34,
304,,3723.01,
305,,4334.27,
306,,4550.50,
307,,3318.06,
308,,3184.83,
309,,4202.70,
310,,3457.36,
311,,3406.67,
312,,4567.33,
313,,3931.31,
314,,3714.16,
315,,3643.15,
316,,3107.95,
317,,3117.66,
318,,3641.43,
319,,3626.09,
320,,3784.25,
321,,3726.44,
322,,3792.18,
323,,3759.50,
324,,3128.80,
325,,3834.68,
326,,,2849.23
327,,3710.97,
328,,3762.97,
329,,3967.25,
330,,4209.31,
331,,3310.29,
332,,2849.23,
333,,4739.10,
334,,4006.07,
335,,3374.26,
336,,3173.01,
337,,4447.92,
338,,3515.38,
339,,3852.37,
340,,3703.47,
341,,3128.80,
342,,3818.27,
343,,4332.70,
344,,3753.49,
345,,3256.38,
346,,4296.12,
347,,4335.50,
348,,3717.05,
349,,3247.41,
350,,3327.19,
351,,3303.97,
352,,4077.49,
353,,3408.05,
354,,4051.55,
355,,3290.49,
356,,3550.13,
357,,2908.94,
358,,3412.63,
359,,3711.64,
360,,3680.15,
361,,3360.52,
362,,4136.45,
363,,3626.34,
364,,3430.01,
365,,3525.93,
366,,3530.63,
367,,3454.89,
368,,4513.07,
369,,4023.12,
370,,4596.42,
371,,3310.20,
372,,4143.17,
373,,3070.99,
374,,3514.15,
375,,3245.53,
376,,3776.84,
377,,3199.67,
378,,3914.75,
379,,3141.12,
380,,3762.30,
381,,3549.97,
382,,4203.88,
383,,4009.68,
384,,3210.18,
385,,3441.78,
386,,4596.00,
387,,3224.67,
388,,3774.04,
389,,3388.23,
390,,3700.72,
391,,2960.11,
392,,3569.41,
393,,3791.04,
394,,3224.95,
395,,3777.69,
396,,3215.15,
397,,3823.77,
398,,3210.81,
399,,3239.12,
400,,4428.96,
401,,3894.33,
402,,4828.18,
403,,3891.82,
404,,3588.54,
405,,3992.62,
406,,3934.23,
407,,3461.92,
408,,3766.76,
409,,3651.61,
410,,3294.32,
411,,3219.15,
412,,3470.81,
413,,3721.98,
414,,3434.44,
415,,3405.54,
416,,3081.13,
417,,3652.84,
418,,3943.66,
419,,3358.73,
420,,3617.48,
421,,3740.76,
422,,3089.27,
423,,4212.97,
424,,4544.36,
425,,4204.77,
426,,3888.55,
427,,3858.79,
428,,3173.01,
429,,4059.43,
430,,4242.18,
431,,4336.96,
432,,3507.52,
433,,4050.72,
434,,3920.26,
435,,4051.02,
436,,3997.01,
437,,3030.24,
438,,4044.63,
439,,3018.87,
440,,3996.88,
441,,3272.86,
442,,3555.49,
443,,3859.82,
444,,3865.49,
445,,3078.34,
446,,4216.09,
447,,3581.65,
448,,3937.83,
449,,3705.64,
450,,3278.41,
451,,3775.14,
452,,3187.36,
453,,4095.88,
454,,3378.67,
455,,4075.07,
456,,3338.19,
457,,3439.65,
458,,3267.17,
459,,3806.26,
460,,4121.23,
461,,3173.01,
462,,3709.17,
463,,3733.18,
464,,3590.33,
465,,3706.57,
466,,3725.14,
467,,3425.07,
468,,4275.36,
469,,3829.16,
470,,3591.52,
471,,3650.36,
