option,tt,tb,TBase,Base,toe,heel,DB,spacing,stem_height,d,Mstem,Mtoe,Mheel,FSot,FSsl,FSbc,known_checks_only,complete_WSD
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,12,0.1000000000,4.7000000000,0.2190000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,12,0.1500000000,4.7000000000,0.2190000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,12,0.2000000000,4.7000000000,0.2190000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,12,0.2500000000,4.7000000000,0.2190000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,16,0.1000000000,4.7000000000,0.2170000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,16,0.1500000000,4.7000000000,0.2170000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,16,0.2000000000,4.7000000000,0.2170000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,16,0.2500000000,4.7000000000,0.2170000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,20,0.1000000000,4.7000000000,0.2150000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,20,0.1500000000,4.7000000000,0.2150000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,20,0.2000000000,4.7000000000,0.2150000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,20,0.2500000000,4.7000000000,0.2150000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,25,0.1000000000,4.7000000000,0.2125000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,True,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,25,0.1500000000,4.7000000000,0.2125000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,25,0.2000000000,4.7000000000,0.2125000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,25,0.2500000000,4.7000000000,0.2125000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,28,0.1000000000,4.7000000000,0.2110000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,True,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,28,0.1500000000,4.7000000000,0.2110000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,True,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,28,0.2000000000,4.7000000000,0.2110000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
1,0.2000000000,0.3000000000,0.3000000000,3.0000000000,0.6000000000,2.1000000000,28,0.2500000000,4.7000000000,0.2110000000,10.3823000000,1.8072257376,8.8618219680,3.2292404310,1.8986808511,1.5304938745,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,12,0.1000000000,4.6500000000,0.2690000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,12,0.1500000000,4.6500000000,0.2690000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,12,0.2000000000,4.6500000000,0.2690000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,12,0.2500000000,4.6500000000,0.2690000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,16,0.1000000000,4.6500000000,0.2670000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,16,0.1500000000,4.6500000000,0.2670000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,16,0.2000000000,4.6500000000,0.2670000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,16,0.2500000000,4.6500000000,0.2670000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,20,0.1000000000,4.6500000000,0.2650000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,True,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,20,0.1500000000,4.6500000000,0.2650000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,20,0.2000000000,4.6500000000,0.2650000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,20,0.2500000000,4.6500000000,0.2650000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,25,0.1000000000,4.6500000000,0.2625000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,True,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,25,0.1500000000,4.6500000000,0.2625000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,True,UNVERIFIED
2,0.2000000000,0.3500000000,0.3500000000,3.0000000000,0.6000000000,2.0500000000,25,0.2000000000,4.6500000000,0.2625000000,10.0544625000,1.7839900456,8.5511246648,3.2351451759,1.8949180645,1.5437151642,False,UNVERIFIED
