algorithm,trial,evaluations,best_cost,best_evaluation,valid,FS_OT,FS_SL,FS_BC,recoveries,tb,TBase,Base
BA,1,5000,2942.3419200000,147,True,2.4400500000,2.7150000000,5.4871490968,0,0.2000000000,0.3000000000,1.5000000000
BA,2,5000,2942.3419200000,418,True,2.4400500000,2.7150000000,5.4871490968,0,0.2000000000,0.3000000000,1.5000000000
BA,3,5000,2942.3419200000,212,True,2.4400500000,2.7150000000,5.4871490968,0,0.2000000000,0.3000000000,1.5000000000
BA,4,5000,2942.3419200000,536,True,2.4400500000,2.7150000000,5.4871490968,0,0.2000000000,0.3000000000,1.5000000000
BA,5,5000,2942.3419200000,221,True,2.4400500000,2.7150000000,5.4871490968,0,0.2000000000,0.3000000000,1.5000000000
BA,6,5000,2942.3419200000,221,True,2.5216500000,2.8374000000,4.6966878957,0,0.2000000000,0.3000000000,1.5000000000
BA,7,5000,2942.3419200000,314,True,2.5216500000,2.8374000000,4.6966878957,0,0.2000000000,0.3000000000,1.5000000000
BA,8,5000,2942.3419200000,217,True,2.5216500000,2.8374000000,4.6966878957,0,0.2000000000,0.3000000000,1.5000000000
BA,9,5000,2942.3419200000,133,True,2.5216500000,2.8374000000,4.6966878957,0,0.2000000000,0.3000000000,1.5000000000
BA,10,5000,2942.3419200000,179,True,2.5216500000,2.8374000000,4.6966878957,0,0.2000000000,0.3000000000,1.5000000000
HCA,1,5000,2942.3419200000,616,True,2.5216500000,2.8374000000,4.6966878957,0,0.2000000000,0.3000000000,1.5000000000
HCA,2,5000,2942.3419200000,267,True,2.4400500000,2.7150000000,5.4871490968,0,0.2000000000,0.3000000000,1.5000000000
HCA,3,5000,2942.3419200000,477,True,2.4859500000,2.7762000000,5.0899910416,0,0.2000000000,0.3000000000,1.5000000000
HCA,4,5000,2942.3419200000,144,True,2.4859500000,2.7762000000,5.0899910416,0,0.2000000000,0.3000000000,1.5000000000
HCA,5,5000,2942.3419200000,248,True,2.5216500000,2.8374000000,4.6966878957,0,0.2000000000,0.3000000000,1.5000000000
HCA,6,5000,2942.3419200000,418,True,2.4400500000,2.7150000000,5.4871490968,0,0.2000000000,0.3000000000,1.5000000000
HCA,7,5000,2942.3419200000,446,True,2.4400500000,2.7150000000,5.4871490968,0,0.2000000000,0.3000000000,1.5000000000
HCA,8,5000,2942.3419200000,341,True,2.4400500000,2.7150000000,5.4871490968,0,0.2000000000,0.3000000000,1.5000000000
HCA,9,5000,2942.3419200000,984,True,2.5216500000,2.8374000000,4.6966878957,0,0.2000000000,0.3000000000,1.5000000000
HCA,10,5000,2942.3419200000,304,True,2.4859500000,2.7762000000,5.0899910416,0,0.2000000000,0.3000000000,1.5000000000
