trial,seed,evaluations,status,valid_candidates,best_cost_baht_per_m,folder,evaluations_sha256
1,12345,5000,NO_SOLUTION,0,,results\BA-25690908-215550-seed12345,9352ca5897c69a6f1ff66c7fd86b159eed18f99b34b7e5f65102f9e940ae2915
2,12346,5000,NO_SOLUTION,0,,results\BA-25690908-215650-seed12346,da9f10b4e8cb6bc9a5e9d8a4cc0351a81d1007289071a19f2971a651206e7805
3,12347,5000,NO_SOLUTION,0,,results\BA-25690908-215743-seed12347,78e4ba6d19523198e831d61dac00f90fc18288ed935fff9e3fc0ebc7fbe2f139
4,12348,5000,NO_SOLUTION,0,,results\BA-25690908-215849-seed12348,13b89b3abd1155f77dd8886744cf51f2f2ec8d81ecf0dadcd599cf63521832cb
5,12349,5000,NO_SOLUTION,0,,results\BA-25690908-215950-seed12349,f1c8cf4947285f6385e07f27f887c1d07c35eb6b7e8267379b91a8f13fa1bd21
6,12350,5000,NO_SOLUTION,0,,results\BA-25690908-220055-seed12350,cf439fba5780f9befa2c9571f6dc20b84b5a8a4fbda6a38b2fc6b9422cd2e169
7,12351,5000,NO_SOLUTION,0,,results\BA-25690908-220202-seed12351,21aa2a72ff0b2e8e134bb9a430c4127996284f0eeb07dad920d64d406ca56f53
8,12352,5000,NO_SOLUTION,0,,results\BA-25690908-220307-seed12352,194570e83771e2f0f136ed18d7358d8530f2d31656d15a9e0a9da862a6ad15fd
9,12353,5000,NO_SOLUTION,0,,results\BA-25690908-220410-seed12353,3d75829c1858067c87da1c2a54ed51b1378adc93754c8c8211d373fa2268ae42
10,12354,5000,NO_SOLUTION,0,,results\BA-25690908-220509-seed12354,06ddcf3ad575da6c51f6f4ab29e4cade24f4cbe5d18a1cd17dcd8a06278ecc8b
11,12355,5000,NO_SOLUTION,0,,results\BA-25690908-220606-seed12355,eabe3514ac3935cbb896c021be030db604ca9149bdf5b632ab3a033249245d22
12,12356,5000,NO_SOLUTION,0,,results\BA-25690908-220705-seed12356,4223580784bc875804286bb96af1d8b2c249c45e710a04699b843495912c87db
13,12357,5000,NO_SOLUTION,0,,results\BA-25690908-220806-seed12357,9647378edd51c8864faf707b5448ff7383b73febb88e33188bd49212c6695972
14,12358,5000,NO_SOLUTION,0,,results\BA-25690908-220911-seed12358,fe40bb7f785bbeed4631ac602eb9e93c7cd8fe5bbc91daa3c1fcbae2ca14bff5
15,12359,5000,NO_SOLUTION,0,,results\BA-25690908-221015-seed12359,471d0e73232454500993f68257688991cabb0758f9149a277a986391ae0ba0a6
16,12360,5000,NO_SOLUTION,0,,results\BA-25690908-221119-seed12360,d5c6e01901eb0b92d6f65614c494eb5f9500e5070bb0aae136738b8db6e14e1f
17,12361,5000,NO_SOLUTION,0,,results\BA-25690908-221217-seed12361,99b76ee22ffaa87355241007a76f347a7a1dbff2f3c11bf5748bc4558fd3f7a4
18,12362,5000,NO_SOLUTION,0,,results\BA-25690908-221324-seed12362,6a99a50b0ea12a5be57ef0764ecfe0823ac66839bbd5af38b8bcdb98c28bd2bf
19,12363,5000,NO_SOLUTION,0,,results\BA-25690908-221426-seed12363,76a45c204c0e6798eb45022740112689e7b51ca3d234bb435ddc21f1ca55ae86
20,12364,5000,NO_SOLUTION,0,,results\BA-25690908-221528-seed12364,23a093579537ed925fe87953ea7de9ebe8f62293e6570117a0fa7701a2db7883
21,12365,5000,NO_SOLUTION,0,,results\BA-25690908-221627-seed12365,bdbe1a85392f0c752e2d6b41c92ee1cf3f41cdf7a5ddac64f1d0eac654c4eb6b
22,12366,5000,NO_SOLUTION,0,,results\BA-25690908-221728-seed12366,fd28f43962b967d9b7f5fa2987c487de6a8f162ed84fdc8ceee20eeac058477b
23,12367,5000,NO_SOLUTION,0,,results\BA-25690908-221834-seed12367,afc8da5ae9af2062a98d9eb6e1e60154c440bdd5a57379535b854dd19744b4b1
24,12368,5000,NO_SOLUTION,0,,results\BA-25690908-221936-seed12368,9a1ee5bc9622d3f1f694f9d796306554c0211d1e19acefc0cea2ce0359d1cd06
25,12369,5000,NO_SOLUTION,0,,results\BA-25690908-222033-seed12369,458143a3081fa7ac0e68e4afdf846bdcd339a1cedcc7e2c7c0b3560eda406999
26,12370,5000,NO_SOLUTION,0,,results\BA-25690908-222132-seed12370,5bbb71905f834b8745f4cde731cede2a44c498e8d793c91ecec34649aa882e8f
27,12371,5000,NO_SOLUTION,0,,results\BA-25690908-222232-seed12371,3038f2bd62557979861c4b9e2a30d2c3bb064f4d076fe3a695123a4499d41283
28,12372,5000,NO_SOLUTION,0,,results\BA-25690908-222339-seed12372,9e7c2cea7fa75dd146c0d07ad6ac7f3d2029491be75875423894d66d4e187849
29,12373,5000,NO_SOLUTION,0,,results\BA-25690908-222444-seed12373,b6464205e9ae3063e85515fe41898a0924bbce02964e8d622785e631ad9defb5
30,12374,5000,NO_SOLUTION,0,,results\BA-25690908-222550-seed12374,b9aa983d5d2d86dcbcf3985a6c33b2c20bcc14a055f4d2a09e37c818608655cd
