No.,Rejected,Passed,Passed and Better value,Trial,Seed
1,,,21582.5343600000,1,20260908
2,,,18336.3385600000,1,20260908
3,,18975.7656800000,,1,20260908
4,,,17502.1706650000,1,20260908
5,INVALID,,,1,20260908
6,,,15949.9549600000,1,20260908
7,,17387.8837050000,,1,20260908
8,INVALID,,,1,20260908
9,,16032.5640000000,,1,20260908
10,,,12994.3735000000,1,20260908
11,,16733.6944280000,,1,20260908
12,INVALID,,,1,20260908
13,INVALID,,,1,20260908
14,INVALID,,,1,20260908
15,INVALID,,,1,20260908
16,INVALID,,,1,20260908
17,INVALID,,,1,20260908
18,INVALID,,,1,20260908
19,INVALID,,,1,20260908
20,INVALID,,,1,20260908
21,INVALID,,,1,20260908
22,INVALID,,,1,20260908
23,INVALID,,,1,20260908
24,INVALID,,,1,20260908
25,INVALID,,,1,20260908
26,INVALID,,,1,20260908
27,INVALID,,,1,20260908
28,INVALID,,,1,20260908
29,INVALID,,,1,20260908
30,INVALID,,,1,20260908
31,INVALID,,,1,20260908
32,INVALID,,,1,20260908
33,INVALID,,,1,20260908
34,INVALID,,,1,20260908
35,INVALID,,,1,20260908
36,INVALID,,,1,20260908
37,INVALID,,,1,20260908
38,INVALID,,,1,20260908
39,,,10984.7712500000,1,20260908
40,INVALID,,,1,20260908
41,INVALID,,,1,20260908
42,INVALID,,,1,20260908
43,INVALID,,,1,20260908
44,,,10593.0552000000,1,20260908
45,INVALID,,,1,20260908
46,INVALID,,,1,20260908
47,INVALID,,,1,20260908
48,INVALID,,,1,20260908
49,INVALID,,,1,20260908
50,INVALID,,,1,20260908
51,,11087.5014000000,,1,20260908
52,INVALID,,,1,20260908
53,,12029.1248970000,,1,20260908
54,INVALID,,,1,20260908
55,,10967.9824920000,,1,20260908
56,INVALID,,,1,20260908
57,INVALID,,,1,20260908
58,INVALID,,,1,20260908
59,INVALID,,,1,20260908
60,INVALID,,,1,20260908
61,,,10542.9765780000,1,20260908
62,INVALID,,,1,20260908
63,INVALID,,,1,20260908
64,INVALID,,,1,20260908
