No.,Rejected,Passed,Passed and Better value
0,,,23154.08
1,,,16352.39
2,,17786.65,
3,,16651.10,
4,16849.71,,
5,,17165.93,
6,,,15588.36
7,,,15375.31
8,14236.97,,
9,14985.49,,
10,,,15206.59
11,12877.98,,
12,12774.99,,
13,16153.97,,
14,,16515.45,
15,,18173.20,
16,,16703.70,
17,11881.91,,
18,15009.14,,
19,,,14286.99
20,12127.69,,
21,10207.87,,
22,9200.76,,
23,,,12687.63
24,,,12474.43
25,,13339.86,
26,11192.99,,
27,9632.79,,
28,,,11739.72
29,,13517.62,
30,,13549.64,
31,,,11086.54
32,,11395.64,
33,,12919.06,
34,8755.64,,
35,,12812.56,
36,10351.22,,
37,,12669.49,
38,,,10884.76
39,,,10546.39
40,11162.78,,
41,,12690.31,
42,,11735.01,
43,12307.27,,
44,,12946.89,
45,10221.24,,
46,10534.33,,
47,10042.96,,
48,,11066.88,
49,10958.72,,
50,,11325.03,
51,10891.54,,
52,,12211.01,
53,,10709.87,
54,,12418.00,
55,,11349.43,
56,,11173.08,
57,11335.17,,
58,,11261.88,
59,,12897.10,
60,,13101.42,
61,11753.74,,
62,,,9533.59
63,8796.39,,
64,,9642.96,
65,9827.34,,
66,,10152.36,
67,8224.37,,
68,,11109.42,
69,10834.08,,
70,8668.27,,
71,9764.70,,
72,10727.47,,
73,10702.60,,
74,8025.62,,
75,8790.33,,
76,9312.16,,
77,9743.03,,
78,10074.78,,
79,8594.25,,
80,8491.80,,
81,8709.12,,
82,10348.67,,
83,7761.15,,
84,8213.98,,
85,8553.74,,
86,11606.04,,
87,9637.60,,
88,8746.72,,
89,8602.51,,
90,8371.22,,
91,9207.26,,
92,8689.02,,
93,,9770.50,
94,8025.62,,
95,8326.92,,
96,8276.75,,
97,,11839.83,
98,8626.20,,
99,,12258.35,
100,9095.28,,
101,,10565.15,
102,,11507.67,
103,9468.28,,
104,9158.20,,
105,9808.19,,
106,9852.06,,
107,9396.42,,
108,,10594.98,
109,11425.20,,
110,,10311.96,
111,8956.16,,
112,9516.85,,
113,9976.45,,
114,9678.08,,
115,9152.14,,
116,11089.95,,
117,10086.54,,
118,8231.84,,
119,,10341.18,
120,,11088.78,
121,,11346.50,
122,9710.87,,
123,8349.03,,
124,,11807.38,
125,9032.33,,
126,,14065.28,
127,11018.93,,
128,,13297.83,
129,10553.37,,
130,,11418.55,
131,,12626.51,
132,9001.75,,
133,,9642.84,
134,10453.26,,
135,,11313.91,
136,,9685.59,
137,,10505.10,
138,10691.03,,
139,,10378.62,
140,9004.48,,
141,9137.98,,
142,8757.44,,
143,,10264.91,
144,8912.32,,
145,,12134.32,
146,12525.76,,
147,,10516.25,
148,8037.57,,
149,8494.96,,
150,,9992.35,
151,,10394.87,
152,7598.51,,
153,9449.27,,
154,9644.44,,
155,,,9327.49
156,,,9112.27
157,9587.56,,
158,9085.60,,
159,8401.87,,
