No.,Rejected,Passed,Passed and Better value
0,23154.08,,
1,19113.58,,
2,20484.56,,
3,20988.48,,
4,16775.73,,
5,18054.33,,
6,20106.76,,
7,17680.45,,
8,19027.38,,
9,22117.64,,
10,18520.87,,
11,19683.83,,
12,19446.68,,
13,18376.36,,
14,19897.74,,
15,21576.14,,
16,19410.52,,
17,21006.33,,
18,17511.02,,
19,20572.22,,
20,21354.62,,
21,14638.66,,
22,13072.97,,
23,9192.30,,
24,15127.73,,
25,13994.38,,
26,12944.39,,
27,9744.12,,
28,12589.87,,
29,14295.33,,
30,12724.69,,
31,12798.03,,
32,11015.46,,
33,11459.57,,
34,11509.42,,
35,11995.04,,
36,12995.09,,
37,14582.58,,
38,14231.72,,
39,10897.08,,
40,10951.93,,
41,12634.85,,
42,11831.64,,
43,10709.04,,
44,11858.88,,
45,15565.18,,
46,11248.99,,
47,10830.24,,
48,11986.08,,
49,15213.95,,
50,9653.97,,
51,11296.85,,
52,14207.92,,
53,11963.29,,
54,13287.45,,
55,11227.12,,
56,10518.92,,
57,12888.91,,
58,12901.95,,
59,12285.03,,
60,9086.85,,
61,11057.42,,
62,19679.85,,
63,16945.72,,
64,18642.10,,
65,14343.56,,
66,18267.70,,
67,18615.71,,
68,13436.54,,
69,14242.60,,
70,20724.93,,
71,15876.29,,
72,15698.23,,
73,17104.08,,
74,18540.31,,
75,13743.98,,
76,16270.60,,
77,14229.82,,
78,13749.97,,
79,15884.79,,
