No.,Rejected,Passed,Passed and Better value
0,23154.08,,
1,19923.62,,
2,20484.56,,
3,21364.32,,
4,17508.21,,
5,18439.84,,
6,20106.76,,
7,17680.45,,
8,19170.43,,
9,22474.13,,
10,18520.87,,
11,19683.83,,
12,19729.54,,
13,19089.34,,
14,20427.93,,
15,22312.65,,
16,19410.52,,
17,21006.33,,
18,18253.25,,
19,20572.22,,
20,21354.62,,
21,14273.32,,
22,17743.42,,
23,22008.22,,
24,22612.31,,
25,21450.89,,
26,16763.11,,
27,22612.31,,
28,21794.42,,
29,19917.88,,
30,20105.59,,
31,16863.48,,
32,21805.12,,
33,20851.54,,
34,16080.77,,
35,21344.16,,
36,20404.70,,
37,20201.84,,
38,17743.65,,
39,17005.53,,
40,17974.29,,
41,19829.50,,
42,17850.31,,
43,18680.81,,
44,19156.35,,
45,20748.63,,
46,16730.12,,
47,17057.33,,
48,20590.94,,
49,21517.73,,
50,18388.93,,
51,17333.73,,
52,21378.44,,
53,19669.70,,
54,16507.40,,
55,20365.23,,
56,20874.53,,
57,19971.06,,
58,18520.96,,
59,16569.32,,
60,19741.88,,
61,21295.31,,
62,19796.64,,
63,18698.02,,
64,16993.07,,
65,19305.74,,
66,20258.60,,
67,18869.91,,
68,19635.15,,
69,21489.37,,
70,19540.99,,
71,18426.54,,
72,18291.38,,
73,17115.15,,
74,20852.66,,
75,17212.78,,
76,18293.67,,
77,19362.29,,
78,20135.95,,
79,17583.19,,
