evaluation,entry,valid,reason,cost,best_cost,tt,tb,TBase,Base,LToe,StemDB,StemSP,ToeDB,ToeSP,HeelDB,HeelSP
1,initial,True,VERIFIED_CONFIGURED_CHECKS_ONLY,23236.8841200000,23236.8841200000,0.6000000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,110,104,110,104,110
2,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,18170.0991150000,18170.0991150000,0.5750000000,0.6000000000,0.7500000000,3.5000000000,1.0000000000,104,112,103,112,103,111
3,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16670.1451880000,16670.1451880000,0.5500000000,0.5500000000,0.7500000000,3.5000000000,0.8000000000,104,113,104,113,101,110
4,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,17207.2184800000,16670.1451880000,0.5000000000,0.5000000000,0.7500000000,3.5000000000,0.6000000000,104,111,104,112,100,110
5,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,16062.4259060000,16062.4259060000,0.5500000000,0.6000000000,0.6500000000,3.0000000000,0.8000000000,103,111,104,113,103,112
6,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,16062.4259060000,0.5250000000,0.6000000000,0.7500000000,2.5000000000,1.0000000000,103,110,104,112,101,113
7,neighbor,False,INVALID_GEOMETRY_OR_INPUT,999999999.0000000000,16062.4259060000,0.5500000000,0.6000000000,0.7500000000,2.5000000000,1.0000000000,102,110,102,113,104,113
8,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,20927.4712400000,16062.4259060000,0.5750000000,0.6000000000,0.6000000000,3.5000000000,0.9000000000,104,110,102,113,104,110
9,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,15458.1396500000,15458.1396500000,0.5250000000,0.6000000000,0.5000000000,3.0000000000,0.6000000000,104,111,104,113,102,112
10,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,14667.8296060000,14667.8296060000,0.5750000000,0.6000000000,0.5000000000,3.5000000000,0.6000000000,102,112,104,113,104,113
11,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,14667.8296060000,0.5500000000,0.5500000000,0.5500000000,3.0000000000,0.6000000000,101,113,104,113,104,113
12,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,13927.9017600000,13927.9017600000,0.6000000000,0.6000000000,0.4000000000,3.0000000000,0.8000000000,101,110,103,111,104,113
13,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,13967.5934000000,13927.9017600000,0.6000000000,0.6000000000,0.6500000000,2.5000000000,0.6000000000,101,110,104,112,102,112
14,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,12881.6438400000,12881.6438400000,0.6000000000,0.6000000000,0.3000000000,3.0000000000,0.8000000000,101,110,102,113,104,113
15,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,12881.6438400000,0.5500000000,0.5500000000,0.5000000000,3.5000000000,0.9000000000,100,110,104,113,102,112
16,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,12881.6438400000,0.5500000000,0.6000000000,0.3000000000,3.5000000000,0.9000000000,101,110,100,113,104,113
17,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,12881.6438400000,0.6000000000,0.6000000000,0.3000000000,2.5000000000,0.8000000000,102,110,101,113,102,111
18,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,12881.6438400000,0.6000000000,0.6000000000,0.4500000000,3.0000000000,0.6000000000,100,111,103,113,104,113
19,neighbor,False,MINIMUM_STEEL,999999999.0000000000,12881.6438400000,0.6000000000,0.6000000000,0.4000000000,3.5000000000,0.6000000000,102,110,100,113,104,111
20,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,14174.6125000000,12881.6438400000,0.5500000000,0.5500000000,0.3500000000,3.5000000000,1.0000000000,102,110,102,112,103,113
21,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,13031.8626000000,12881.6438400000,0.5500000000,0.6000000000,0.4000000000,3.0000000000,0.8000000000,100,110,102,112,104,111
22,neighbor,False,MINIMUM_STEEL,999999999.0000000000,12881.6438400000,0.6000000000,0.6000000000,0.4500000000,2.5000000000,0.7000000000,100,110,100,113,104,113
23,neighbor,True,VERIFIED_CONFIGURED_CHECKS_ONLY,17147.3647040000,12881.6438400000,0.6000000000,0.6000000000,0.4000000000,3.5000000000,0.8000000000,103,110,101,113,104,112
24,neighbor,False,CONCRETE_OR_STEEL_STRESS,999999999.0000000000,12881.6438400000,0.6000000000,0.6000000000,0.3000000000,2.5000000000,0.6000000000,100,112,101,112,104,113
