No.,Rejected,Passed,Passed and Better value
1,,,21582.5343600000
2,,,18336.3385600000
3,,18975.7656800000,
4,,,17502.1706650000
5,INVALID,,
6,,,15949.9549600000
7,,17387.8837050000,
8,INVALID,,
9,,16032.5640000000,
10,,,12994.3735000000
11,,16733.6944280000,
12,INVALID,,
13,INVALID,,
14,INVALID,,
15,INVALID,,
16,INVALID,,
17,INVALID,,
18,INVALID,,
19,INVALID,,
20,INVALID,,
21,INVALID,,
22,INVALID,,
23,INVALID,,
24,INVALID,,
25,INVALID,,
26,INVALID,,
27,INVALID,,
28,INVALID,,
29,INVALID,,
30,INVALID,,
31,INVALID,,
32,INVALID,,
33,INVALID,,
34,INVALID,,
35,INVALID,,
36,INVALID,,
37,INVALID,,
38,INVALID,,
39,,,10984.7712500000
40,INVALID,,
41,INVALID,,
42,INVALID,,
43,INVALID,,
44,,,10593.0552000000
45,INVALID,,
46,INVALID,,
47,INVALID,,
48,INVALID,,
49,INVALID,,
50,INVALID,,
51,,11087.5014000000,
52,INVALID,,
53,,12029.1248970000,
54,INVALID,,
55,,10967.9824920000,
56,INVALID,,
57,INVALID,,
58,INVALID,,
59,INVALID,,
60,INVALID,,
61,,,10542.9765780000
62,INVALID,,
63,INVALID,,
64,INVALID,,
