No.,Rejected,Passed,Passed and Better value
1,,,21582.5343600000
2,,,19064.2263400000
3,,19781.3283200000,
4,,,18068.5144850000
5,INVALID,,
6,,,16875.3692100000
7,,18303.0332200000,
8,INVALID,,
9,,16944.0608750000,
10,,,14931.7153750000
11,,18694.0776280000,
12,INVALID,,
13,INVALID,,
14,INVALID,,
15,INVALID,,
16,INVALID,,
17,INVALID,,
18,INVALID,,
19,INVALID,,
20,INVALID,,
21,INVALID,,
22,INVALID,,
23,,15811.5271150000,
24,INVALID,,
25,INVALID,,
26,INVALID,,
27,INVALID,,
28,INVALID,,
29,INVALID,,
30,INVALID,,
31,INVALID,,
32,INVALID,,
33,INVALID,,
34,INVALID,,
35,INVALID,,
36,INVALID,,
37,INVALID,,
38,,16251.7934000000,
39,INVALID,,
40,INVALID,,
41,INVALID,,
42,INVALID,,
43,,,14285.9088790000
44,INVALID,,
45,INVALID,,
46,INVALID,,
47,,17617.2466140000,
48,INVALID,,
49,INVALID,,
50,,16241.0199690000,
51,INVALID,,
52,INVALID,,
53,INVALID,,
54,,16411.0066860000,
55,INVALID,,
56,INVALID,,
57,INVALID,,
58,,15123.6274440000,
59,,17053.3306050000,
60,INVALID,,
61,INVALID,,
62,,15385.2217500000,
63,INVALID,,
64,INVALID,,
