No.,Rejected,Passed,Passed and Better value
0,,,21582.53
1,,,18336.34
2,,18975.77,
3,,,17502.17
4,11251.75,,
5,,,15949.95
6,,17387.88,
7,13211.58,,
8,,16032.56,
9,,,12994.37
10,,16733.69,
11,14213.53,,
12,11748.12,,
13,13572.38,,
14,13405.36,,
15,12102.53,,
16,12789.32,,
17,11374.22,,
18,11685.67,,
19,12983.43,,
20,11497.04,,
21,9286.55,,
22,9091.59,,
23,10134.10,,
24,8142.88,,
25,8804.00,,
26,9288.96,,
27,11142.21,,
28,10079.11,,
29,9066.41,,
30,9546.51,,
31,7845.38,,
32,8771.57,,
33,9019.55,,
34,7425.37,,
35,8966.87,,
36,9782.69,,
37,8072.78,,
38,,,10984.77
39,8290.18,,
40,10589.30,,
41,10938.38,,
42,11900.12,,
43,,,10593.06
44,9134.79,,
45,8015.59,,
46,12100.61,,
47,14317.95,,
48,7377.78,,
49,11819.52,,
50,,11087.50,
51,6747.40,,
52,,12029.12,
53,10090.36,,
54,,10967.98,
55,11648.69,,
56,8242.28,,
57,11295.59,,
58,11213.97,,
59,13610.18,,
60,,,10542.98
61,8563.61,,
62,8584.04,,
63,8948.99,,
